CIA - The World Factbook --  Manpower fit for military service   

This entry gives the number of males and females falling in the military age range for a country (defined as being ages 16-49) and who are not otherwise disqualified for health reasons; accounts for the health situation in the country and provides a more realistic estimate of the actual number fit to serve.

| Rank | country | Manpower fit for military service | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 314,668,817.00 | 2010 est. |
| 2 | China | 298,745,786.00 | 2010 est. |
| 3 | India | 244,727,406.00 | 2010 est. |
| 4 | India | 235,662,750.00 | 2010 est. |
| 5 | United States | 60,388,734.00 | 2010 est. |
| 6 | United States | 59,217,809.00 | 2010 est. |
| 7 | Indonesia | 53,624,156.00 | 2010 est. |
| 8 | Indonesia | 52,879,309.00 | 2010 est. |
| 9 | Brazil | 44,560,717.00 | 2010 est. |
| 10 | Brazil | 38,518,822.00 | 2010 est. |
| 11 | Pakistan | 35,774,936.00 | 2010 est. |
| 12 | Pakistan | 34,572,451.00 | 2010 est. |
| 13 | Bangladesh | 32,154,153.00 | 2010 est. |
| 14 | Russia | 27,174,148.00 | 2010 est. |
| 15 | Mexico | 25,401,642.00 | 2010 est. |
| 16 | Bangladesh | 25,310,750.00 | 2010 est. |
| 17 | Mexico | 22,893,649.00 | 2010 est. |
| 18 | Japan | 22,564,075.00 | 2010 est. |
| 19 | Japan | 21,720,375.00 | 2010 est. |
| 20 | Philippines | 21,029,243.00 | 2010 est. |
| 21 | Vietnam | 20,980,830.00 | 2010 est. |
| 22 | Russia | 20,746,777.00 | 2010 est. |
| 23 | Nigeria | 20,298,351.00 | 2010 est. |
| 24 | Vietnam | 20,153,269.00 | 2010 est. |
| 25 | Philippines | 19,650,825.00 | 2010 est. |
| 26 | Nigeria | 19,355,456.00 | 2010 est. |
| 27 | Iran | 17,844,536.00 | 2010 est. |
| 28 | Egypt | 17,733,851.00 | 2010 est. |
| 29 | Turkey | 17,447,579.00 | 2010 est. |
| 30 | Iran | 17,312,808.00 | 2010 est. |
| 31 | Turkey | 17,173,063.00 | 2010 est. |
| 32 | Egypt | 16,942,010.00 | 2010 est. |
| 33 | Germany | 15,564,748.00 | 2010 est. |
| 34 | Germany | 14,723,200.00 | 2010 est. |
| 35 | Thailand | 14,166,227.00 | 2010 est. |
| 36 | Thailand | 13,247,646.00 | 2010 est. |
| 37 | Ethiopia | 12,444,706.00 | 2010 est. |
| 38 | United Kingdom | 12,113,310.00 | 2010 est. |
| 39 | France | 12,053,912.00 | 2010 est. |
| 40 | France | 11,763,951.00 | 2010 est. |
| 41 | United Kingdom | 11,604,784.00 | 2010 est. |
| 42 | Ethiopia | 11,466,713.00 | 2010 est. |
| 43 | Italy | 11,092,984.00 | 2010 est. |
