CIA - The World Factbook --  Manpower fit for military service   

This entry gives the number of males and females falling in the military age range for a country (defined as being ages 16-49) and who are not otherwise disqualified for health reasons; accounts for the health situation in the country and provides a more realistic estimate of the actual number fit to serve.

| Rank | country | Manpower fit for military service | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 318,265,016.00 | 2010 est. |
| 2 | China | 300,323,611.00 | 2010 est. |
| 3 | India | 249,531,562.00 | 2010 est. |
| 4 | India | 240,039,958.00 | 2010 est. |
| 5 | United States | 60,620,143.00 | 2010 est. |
| 6 | United States | 59,401,941.00 | 2010 est. |
| 7 | Indonesia | 54,264,299.00 | 2010 est. |
| 8 | Indonesia | 53,274,361.00 | 2010 est. |
| 9 | Brazil | 44,841,661.00 | 2010 est. |
| 10 | Brazil | 38,993,989.00 | 2010 est. |
| 11 | Pakistan | 37,945,440.00 | 2010 est. |
| 12 | Pakistan | 37,381,549.00 | 2010 est. |
| 13 | Bangladesh | 35,616,093.00 | 2010 est. |
| 14 | Bangladesh | 30,486,086.00 | 2010 est. |
| 15 | Russia | 26,381,518.00 | 2010 est. |
| 16 | Mexico | 25,642,549.00 | 2010 est. |
| 17 | Mexico | 23,239,866.00 | 2010 est. |
| 18 | Japan | 22,390,431.00 | 2010 est. |
| 19 | Japan | 21,540,322.00 | 2010 est. |
| 20 | Philippines | 21,427,792.00 | 2010 est. |
| 21 | Vietnam | 21,098,102.00 | 2010 est. |
| 22 | Nigeria | 20,839,976.00 | 2010 est. |
| 23 | Russia | 20,431,035.00 | 2010 est. |
| 24 | Vietnam | 20,405,847.00 | 2010 est. |
| 25 | Iran | 20,149,222.00 | 2010 est. |
| 26 | Philippines | 20,142,940.00 | 2010 est. |
| 27 | Nigeria | 19,867,683.00 | 2010 est. |
| 28 | Iran | 19,417,275.00 | 2010 est. |
| 29 | Egypt | 18,060,543.00 | 2010 est. |
| 30 | Turkey | 17,664,510.00 | 2010 est. |
| 31 | Turkey | 17,340,816.00 | 2010 est. |
| 32 | Egypt | 17,244,838.00 | 2010 est. |
| 33 | Germany | 15,027,886.00 | 2010 est. |
| 34 | Germany | 14,510,527.00 | 2010 est. |
| 35 | Thailand | 14,182,567.00 | 2010 est. |
| 36 | Thailand | 13,308,372.00 | 2010 est. |
| 37 | Ethiopia | 12,889,260.00 | 2010 est. |
| 38 | United Kingdom | 12,255,452.00 | 2010 est. |
| 39 | France | 12,025,341.00 | 2010 est. |
| 40 | Ethiopia | 11,868,084.00 | 2010 est. |
| 41 | United Kingdom | 11,779,679.00 | 2010 est. |
