CIA - The World Factbook --  Manpower fit for military service   

This entry gives the number of males and females falling in the military age range for a country (defined as being ages 16-49) and who are not otherwise disqualified for health reasons; accounts for the health situation in the country and provides a more realistic estimate of the actual number fit to serve.

| Rank | country | Manpower fit for military service | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 314,459,083.00 | 2009 est. |
| 2 | China | 296,763,134.00 | 2009 est. |
| 3 | India | 243,276,310.00 | 2009 est. |
| 4 | India | 237,042,868.00 | 2009 est. |
| 5 | United States | 59,764,677.00 | 2009 est. |
| 6 | United States | 59,437,663.00 | 2009 est. |
| 7 | Indonesia | 52,997,922.00 | 2009 est. |
| 8 | Indonesia | 52,503,046.00 | 2009 est. |
| 9 | Brazil | 44,267,520.00 | 2009 est. |
| 10 | Brazil | 38,043,555.00 | 2009 est. |
| 11 | Pakistan | 33,690,322.00 | 2009 est. |
| 12 | Pakistan | 32,602,910.00 | 2009 est. |
| 13 | Bangladesh | 31,409,069.00 | 2009 est. |
| 14 | Russia | 27,968,883.00 | 2009 est. |
| 15 | Mexico | 25,149,027.00 | 2009 est. |
| 16 | Bangladesh | 24,946,041.00 | 2009 est. |
| 17 | Japan | 22,757,136.00 | 2009 est. |
| 18 | Mexico | 22,541,654.00 | 2009 est. |
| 19 | Japan | 21,920,703.00 | 2009 est. |
| 20 | Russia | 21,098,306.00 | 2009 est. |
| 21 | Vietnam | 20,768,508.00 | 2009 est. |
| 22 | Philippines | 20,636,853.00 | 2009 est. |
| 23 | Nigeria | 19,763,535.00 | 2009 est. |
| 24 | Vietnam | 19,190,676.00 | 2009 est. |
| 25 | Philippines | 19,169,298.00 | 2009 est. |
| 26 | Nigeria | 18,850,650.00 | 2009 est. |
| 27 | Egypt | 18,490,522.00 | 2009 est. |
| 28 | Egypt | 17,719,905.00 | 2009 est. |
| 29 | Iran | 17,658,573.00 | 2009 est. |
| 30 | Turkey | 17,223,506.00 | 2009 est. |
| 31 | Iran | 17,148,290.00 | 2009 est. |
| 32 | Turkey | 16,995,299.00 | 2009 est. |
| 33 | Germany | 15,747,493.00 | 2009 est. |
| 34 | Germany | 14,899,416.00 | 2009 est. |
| 35 | Thailand | 14,126,398.00 | 2009 est. |
| 36 | Thailand | 13,086,106.00 | 2009 est. |
| 37 | United Kingdom | 12,123,900.00 | 2009 est. |
| 38 | France | 12,087,606.00 | 2009 est. |
| 39 | Ethiopia | 12,017,073.00 | 2009 est. |
| 40 | France | 11,811,260.00 | 2009 est. |
| 41 | United Kingdom | 11,616,769.00 | 2009 est. |
| 42 | Italy | 11,197,487.00 | 2009 est. |
| 43 | Ethiopia | 11,078,847.00 | 2009 est. |
| 44 | Korea, South | 10,991,263.00 | 2009 est. |
| 45 | Italy | 10,574,250.00 | 2009 est. |
| 46 | Korea, South | 10,356,604.00 | 2009 est. |
| 47 | Colombia | 10,045,435.00 | 2009 est. |
| 48 | Burma | 9,520,852.00 | 2009 est. |
| 49 | Ukraine | 9,234,591.00 | 2009 est. |
| 50 | Burma | 9,146,312.00 | 2009 est. |
| 51 | Congo, Democratic Republic of the | 9,047,356.00 | 2009 est. |
| 52 | Congo, Democratic Republic of the | 8,925,355.00 | 2009 est. |
| 53 | Algeria | 8,367,005.00 | 2009 est. |
| 54 | Algeria | 8,317,473.00 | 2009 est. |
| 55 | Argentina | 8,268,498.00 | 2009 est. |
| 56 | Argentina | 8,264,853.00 | 2009 est. |
| 57 | Colombia | 8,212,944.00 | 2009 est. |
| 58 | Spain | 8,139,020.00 | 2009 est. |
| 59 | Spain | 7,899,157.00 | 2009 est. |
| 60 | Poland | 7,898,892.00 | 2009 est. |
| 61 | Poland | 7,888,035.00 | 2009 est. |
| 62 | Morocco | 7,881,024.00 | 2009 est. |
| 63 | Morocco | 7,779,589.00 | 2009 est. |
| 64 | South Africa | 7,641,557.00 | 2009 est. |
| 65 | Saudi Arabia | 7,486,622.00 | 2009 est. |
| 66 | Ukraine | 7,056,742.00 | 2009 est. |
| 67 | Canada | 6,647,513.00 | 2009 est. |
| 68 | Uzbekistan | 6,559,769.00 | 2009 est. |
| 69 | South Africa | 6,518,793.00 | 2009 est. |
| 70 | Canada | 6,413,748.00 | 2009 est. |
| 71 | Peru | 6,359,803.00 | 2009 est. |
| 72 | Uzbekistan | 6,340,446.00 | 2009 est. |
| 73 | Iraq | 6,203,425.00 | 2009 est. |
| 74 | Iraq | 6,065,009.00 | 2009 est. |
| 75 | Sudan | 5,942,043.00 | 2009 est. |
| 76 | Kenya | 5,935,480.00 | 2009 est. |
| 77 | Peru | 5,920,716.00 | 2009 est. |
| 78 | Venezuela | 5,873,563.00 | 2009 est. |
| 79 | Sudan | 5,836,971.00 | 2009 est. |
| 80 | Kenya | 5,662,755.00 | 2009 est. |
| 81 | Saudi Arabia | 5,652,819.00 | 2009 est. |
| 82 | Nepal | 5,525,764.00 | 2009 est. |
| 83 | Malaysia | 5,493,946.00 | 2009 est. |
| 84 | Tanzania | 5,493,188.00 | 2009 est. |
| 85 | Tanzania | 5,473,552.00 | 2009 est. |
