CIA - The World Factbook -- Field Listing - School life expectancy (primary to tertiary education)

| Country | School life expectancy (primary to tertiary education) (years) |
| --- | --- |
| **Afghanistan** | *total:* 8 years |
| | *male:* 11 years |
| | *female:* 4 years (2004) |
| **Albania** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2004) |
| **Algeria** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2005) |
| **Andorra** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2006) |
| **Anguilla** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2006) |
| **Argentina** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 16 years (2005) |
| **Armenia** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 12 years (2006) |
| **Aruba** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **Australia** | *total:* 20 years |
| | *male:* 20 years |
| | *female:* 21 years (2006) |
| **Austria** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2006) |
| **Azerbaijan** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2006) |
| **Bahrain** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 16 years (2006) |
| **Bangladesh** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2004) |
| **Barbados** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2001) |
| **Belarus** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2006) |
| **Belgium** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2006) |
| **Belize** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2004) |
| **Benin** | *total:* 7 years |
| | *male:* 9 years |
| | *female:* 6 years (2001) |
| **Bermuda** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2005) |
| **Bhutan** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2006) |
| **Botswana** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2005) |
| **Brazil** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2005) |
| **British Virgin Islands** | *total:* 17 years |
| | *male:* 15 years |
| | *female:* 19 years (2005) |
| **Brunei** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2006) |
| **Bulgaria** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **Burkina Faso** | *total:* 5 years |
| | *male:* 5 years |
| | *female:* 4 years (2006) |
| **Burma** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2001) |
| **Burundi** | *total:* 7 years |
| | *male:* 8 years |
| | *female:* 7 years (2006) |
| **Cambodia** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 9 years (2006) |
| **Cameroon** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2006) |
| **Canada** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 17 years (2004) |
| **Cape Verde** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2006) |
| **Cayman Islands** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2001) |
| **Chad** | *total:* 6 years |
| | *male:* 7 years |
| | *female:* 4 years (2005) |
| **Chile** | *total:* 14 years |e: 14 years (2006) |
| **China** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2006) |
| **Colombia** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2006) |
| **Comoros** | *total:* 8 years |
| | *male:* 9 years |
| | *female:* 7 years (2004) |
| **Congo, Democratic Republic of the** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2003) |
| **Congo, Republic of the** | *total:* 9 years |
| | *male:* 10 years |
| | *female:* 8 years (2003) |
| **Cook Islands** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 10 years (2005) |
| **Costa Rica** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2005) |
| **Croatia** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **Cuba** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 17 years (2006) |
| **Cyprus** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **Czech Republic** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2006) |
| **Denmark** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 17 years (2006) |
| **Djibouti** | *total:* 4 years |
| | *male:* 5 years |
| | *female:* 4 years (2006) |
| **Dominica** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2005) |
