CIA - The World Factbook -- Field Listing :: School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Country | School life expectancy (primary to tertiary education)(years) |
| --- | --- |
| **Afghanistan** | *total:* 8 years |
| | *male:* 10 years |
| | *female:* 6 years (2009) |
| **Albania** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2003) |
| **Algeria** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Andorra** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2008) |
| **Angola** | *total:* 10 years (2010) |
| **Anguilla** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2008) |
| **Antigua and Barbuda** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Argentina** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 18 years (2010) |
| **Armenia** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2010) |
| **Aruba** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2011) |
| **Australia** | *total:* 20 years |
| | *male:* 19 years |
| | *female:* 20 years (2010) |
| **Austria** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Azerbaijan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Bahamas, The** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2006) |
| **Bahrain** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2006) |
| **Bangladesh** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2007) |
| **Barbados** | *total:* 17 years |
| | *male:* 15 years |
| | *female:* 18 years (2011) |
| **Belarus** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Belgium** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2010) |
| **Belize** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2003) |
| **Benin** | *total:* 9 years |
| | *male:* 11 years |
| | *female:* 8 years (2005) |
| **Bermuda** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 13 years (2011) |
| **Bhutan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Bolivia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 13 years (2007) |
| **Bosnia and Herzegovina** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2011) |
| **Botswana** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2006) |
| **Brazil** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2005) |
| **British Virgin Islands** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2009) |
| **Brunei** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2011) |
| **Bulgaria** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2010) |
| **Burkina Faso** | *total:* 7 years |
| | *male:* 7 years |
| | *female:* 6 years (2011) |
| **Burma** | *total:* 9 years (2007) |
| **Burundi** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 11 years (2010) |
| **Cabo Verde** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2011) |
| **Cambodia** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2008) |
| **Cameroon** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 11 years (2011) |
| **Canada** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 17 years (2004) |
| **Cayman Islands** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 13 years (2008) |
| **Central African Republic** | *total:* 7 years |
| | *male:* 8 years |
| | *female:* 5 years (2011) |
| **Chad** | *total:* 8 years |
| | *male:* 10 years |
| | *female:* 6 years (2011) |
| **Chile** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2011) |
| **China** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2011) |
| **Colombia** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2011) |
| **Comoros** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 9 years (2005) |
| **Congo, Democratic Republic of the** | *total:* 8 years |
| | *male:* 10 years |
| | *female:* 7 years (2011) |
| **Congo, Republic of the** | *total:* 9 years |
