Field Listing :: School life expectancy (primary to tertiary education) :: The World Factbook

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Country | School life expectancy (primary to tertiary education) |
| --- | --- |
| **Afghanistan** | *total:* 10 years |
| | *male:* 13 years |
| | *female:* 8 years (2018) |
| **Albania** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 16 years (2019) |
| **Algeria** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Angola** | *total:* 10 years |
| | *male:* 12 years |
| | *female:* 7 years (2011) |
| **Antigua and Barbuda** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 16 years (2012) |
| **Argentina** | *total:* 18 years |
| | *male:* 16 years |
| | *female:* 19 years (2017) |
| **Armenia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2019) |
| **Aruba** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Australia** | *total:* 21 years |
| | *male:* 20 years |
| | *female:* 21 years (2018) |
| **Austria** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2018) |
| **Azerbaijan** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2019) |
| **Bahrain** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2019) |
| **Bangladesh** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2018) |
| **Barbados** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 17 years (2011) |
| **Belarus** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2018) |
| **Belgium** | *total:* 20 years |
| | *male:* 19 years |
| | *female:* 21 years (2018) |
| **Belize** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2019) |
| **Benin** | *total:* 13 years |
| | *male:* 14 years |
| | *female:* 11 years (2016) |
| **Bermuda** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 14 years (2015) |
| **Bhutan** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2018) |
| **Bosnia and Herzegovina** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2014) |
| **Botswana** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2013) |
| **Brazil** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **British Virgin Islands** | *total:* 12 years |
| | *male:* 12 years NA |
| | *female:* 12 years NA (2018) |
| **Brunei** | *total:* 14 years |
| | *male:* 14 years |
