FIELD LISTING :: SCHOOL LIFE EXPECTANCY (PRIMARY TO TERTIARY EDUCATION)

| Country | SCHOOL LIFE EXPECTANCY (PRIMARY TO TERTIARY EDUCATION)(YEARS) |
| --- | --- |
| **Afghanistan** | *total:* 11 years |
| | *male:* 13 years |
| | *female:* 8 years (2014) |
| **Albania** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2014) |
| **Algeria** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2011) |
| **Angola** | *total:* 10 years |
| | *male:* 13 years |
| | *female:* 8 years (2011) |
| **Antigua and Barbuda** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 15 years (2012) |
| **Argentina** | *total:* 17 years |
| | *male:* 16 years |
| | *female:* 18 years (2013) |
| **Armenia** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 14 years (2009) |
| **Aruba** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Australia** | *total:* 20 years |
| | *male:* 20 years |
| | *female:* 21 years (2013) |
| **Austria** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2014) |
| **Azerbaijan** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2014) |
| **Bangladesh** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 10 years (2011) |
| **Barbados** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 17 years (2011) |
| **Belarus** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2014) |
| **Belgium** | *total:* 20 years |
| | *male:* 19 years |
| | *female:* 21 years (2014) |
| **Belize** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2013) |
| **Benin** | *total:* 12 years |
| | *male:* 14 years |
| | *female:* 11 years (2013) |
| **Bermuda** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2014) |
| **Bhutan** | *total:* 13 years |
| | *male:* 12 years |
| | *female:* 13 years (2013) |
| **Bolivia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2007) |
| **Bosnia and Herzegovina** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2014) |
| **Botswana** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2013) |
| **Brazil** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2013) |
| **British Virgin Islands** | *total:* 14 years |
| | *male:* NA |
| | *female:* NA (2009) |
| **Brunei** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2014) |
| **Bulgaria** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2014) |
| **Burkina Faso** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 7 years (2013) |
| **Burma** | *total:* 8 years |
| | *male:* NA |
| | *female:* NA (2007) |
| **Burundi** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 10 years (2013) |
