FIELD LISTING :: SCHOOL LIFE EXPECTANCY (PRIMARY TO TERTIARY EDUCATION)

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age.

| Country | SCHOOL LIFE EXPECTANCY (PRIMARY TO TERTIARY EDUCATION)(YEARS) |
| --- | --- |
| **Afghanistan** | *total:* 9 years |
| | *male:* 11 years |
| | *female:* 7 years (2011) |
| **Algeria** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2011) |
| **Angola** | *total:* 11 years |
| | *male:* 14 years |
| | *female:* 9 years (2011) |
| **Antigua and Barbuda** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 15 years (2012) |
| **Argentina** | *total:* 18 years |
| | *male:* 17 years |
| | *female:* 19 years (2012) |
| **Armenia** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 14 years (2009) |
| **Aruba** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2012) |
| **Australia** | *total:* 20 years |
| | *male:* 20 years |
| | *female:* 21 years (2012) |
| **Austria** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2012) |
| **Azerbaijan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2012) |
| **Bangladesh** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 10 years (2011) |
| **Barbados** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 17 years (2011) |
| **Belarus** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 16 years (2013) |
| **Belgium** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 17 years (2012) |
| **Belize** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2013) |
| **Benin** | *total:* 11 years |
| | *male:* 13 years |
| | *female:* 9 years (2011) |
| **Bermuda** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 13 years (2012) |
| **Bhutan** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2012) |
| **Bolivia** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2007) |
| **Botswana** | *total:* 12 years |
| | *male:* NA |
| | *female:* NA (2008) |
| **Brazil** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2005) |
| **British Virgin Islands** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2009) |
| **Brunei** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2012) |
| **Bulgaria** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 15 years (2012) |
| **Burkina Faso** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 7 years (2013) |
| **Burma** | *total:* 9 years |
| | *male:* NA |
| | *female:* NA (2007) |
| **Burundi** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2010) |
| **Cabo Verde** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2013) |
| **Cambodia** | *total:* 11 years |
| | *male:* 12 years |
| | *female:* 10 years (2008) |
| **Cameroon** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 10 years (2011) |
| **Central African Republic** | *total:* 7 years |
| | *male:* 9 years |
| | *female:* 6 years (2012) |
| **Chad** | *total:* 7 years |
| | *male:* 9 years |
| | *female:* 6 years (2011) |
| **Chile** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2012) |
| **China** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2012) |
| **Colombia** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2010) |
| **Comoros** | *total:* 11 years |
| | *male:* NA |
| | *female:* NA (2013) |
| **Congo, Democratic Republic of the** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 8 years (2012) |
| **Congo, Republic of the** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2012) |
| **Cook Islands** | *total:* 15 years |
| | *male:* 16 years |
| | *female:* 15 years (2012) |
| **Costa Rica** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2013) |
