Field Listing :: Sex ratio :: The World Factbook

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Country | Sex ratio |
| --- | --- |
| **Afghanistan** | *at birth:* 1.05 male(s)/female |
| | *0-14 years:* 1.03 male(s)/female |
| | *15-24 years:* 1.03 male(s)/female |
| | *25-54 years:* 1.03 male(s)/female |
| | *55-64 years:* 0.97 male(s)/female |
| | *65 years and over:* 0.85 male(s)/female |
| | *total population:* 1.03 male(s)/female (2020 est.) |
| **Albania** | *at birth:* 1.08 male(s)/female |
| | *0-14 years:* 1.11 male(s)/female |
| | *15-24 years:* 1.09 male(s)/female |
| | *25-54 years:* 0.93 male(s)/female |
| | *55-64 years:* 0.95 male(s)/female |
| | *65 years and over:* 0.87 male(s)/female |
| | *total population:* 0.98 male(s)/female (2020 est.) |
| **Algeria** | *at birth:* 1.05 male(s)/female |
| | *0-14 years:* 1.05 male(s)/female |
| | *15-24 years:* 1.05 male(s)/female |
| | *25-54 years:* 1.03 male(s)/female |
| | *55-64 years:* 1.01 male(s)/female |
| | *65 years and over:* 0.89 male(s)/female |
| | *total population:* 1.03 male(s)/female (2020 est.) |
| **American Samoa** | *at birth:* 1.06 male(s)/female |
| | *0-14 years:* 1.06 male(s)/female |
| | *15-24 years:* 1.01 male(s)/female |
| | *25-54 years:* 0.98 male(s)/female |
| | *55-64 years:* 0.96 male(s)/female |
| | *65 years and over:* 0.86 male(s)/female |
| | *total population:* 1 male(s)/female (2020 est.) |
| **Andorra** | *at birth:* 1.07 male(s)/female |
| | *0-14 years:* 1.06 male(s)/female |
| | *15-24 years:* 1.06 male(s)/female |
| | *25-54 years:* 1.04 male(s)/female |
| | *55-64 years:* 1.12 male(s)/female |
| | *65 years and over:* 1.03 male(s)/female |
| | *total population:* 1.06 male(s)/female (2020 est.) |
| **Angola** | *at birth:* 1.03 male(s)/female |
| | *0-14 years:* 0.99 male(s)/female |
| | *15-24 years:* 0.95 male(s)/female |
| | *25-54 years:* 0.91 male(s)/female |
| | *55-64 years:* 0.89 male(s)/female |
| | *65 years and over:* 0.72 male(s)/female |
| | *total population:* 0.95 male(s)/female (2020 est.) |
| **Anguilla** | *at birth:* 1.03 male(s)/female |
| | *0-14 years:* 1.04 male(s)/female |
| | *15-24 years:* 1.02 male(s)/female |
| | *25-54 years:* 0.81 male(s)/female |
| | *55-64 years:* 0.79 male(s)/female |
| | *65 years and over:* 0.98 male(s)/female |
| | *total population:* 0.9 male(s)/female (2020 est.) |
| **Antigua and Barbuda** | *at birth:* 1.05 male(s)/female |
| | *0-14 years:* 1.03 male(s)/female |
| | *15-24 years:* 0.99 male(s)/female |
