CIA - The World Factbook -- Field Listing - Illicit drugs

| Country | Illicit drugs |
| --- | --- |
| **Afghanistan** | world's largest producer of opium; cultivation dropped 48% to 107,400 hectares in 2005; better weather and lack of widespread disease returned opium yields to normal levels, meaning potential opium production declined by only 10% to 4,475 metric tons; if the entire poppy crop were processed, it is estimated that 526 metric tons of heroin could be processed; many narcotics-processing labs throughout the country; drug trade is a source of instability and some antigovernment groups profit from the trade; significant domestic use of opiates; 80-90% of the heroin consumed in Europe comes from Afghan opium; vulnerable to narcotics money laundering through informal financial networks; source of hashish |
| **Albania** | increasingly active transshipment point for Southwest Asian opiates, hashish, and cannabis transiting the Balkan route and - to a lesser extent - cocaine from South America destined for Western Europe; limited opium and growing cannabis production; ethnic Albanian narcotrafficking organizations active and expanding in Europe; vulnerable to money laundering associated with regional trafficking in narcotics, arms, contraband, and illegal aliens |
| **Angola** | used as a transshipment point for cocaine destined for Western Europe and other African states, particularly South Africa |
| **Anguilla** | transshipment point for South American narcotics destined for the US and Europe |
| **Antigua and Barbuda** | considered a minor transshipment point for narcotics bound for the US and Europe; more significant as an offshore financial center |
| **Argentina** | used as a transshipment country for cocaine headed for Europe; some money-laundering activity, especially in the Tri-Border Area; domestic consumption of drugs in urban centers is increasing |
| **Armenia** | illicit cultivation of small amount of cannabis for domestic consumption; minor transit point for illicit drugs - mostly opium and hashish - moving from Southwest Asia to Russia and to a lesser extent the rest of Europe |
| **Aruba** | transit point for US- and Europe-bound narcotics with some accompanying money-laundering activity; relatively high percentage of population consumes cocaine |
| **Australia** | Tasmania is one of the world's major suppliers of licit opiate products; government maintains strict controls over areas of opium poppy cultivation and output of poppy straw concentrate; major consumer of cocaine and amphetamines |
| **Austria** | transshipment point for Southwest Asian heroin and South American cocaine destined for Western Europe; increasing consumption of European-produced synthetic drugs |
| **Azerbaijan** | limited illicit cultivation of cannabis and opium poppy, mostly for CIS consumption; small government eradication program; transit point for Southwest Asian opiates bound for Russia and to a lesser extent the rest of Europe |
| **Bahamas, The** | transshipment point for cocaine and marijuana bound for US and Europe; offshore financial center |
| **Bangladesh** | transit country for illegal drugs produced in neighboring countries |
| **Barbados** | one of many Caribbean transshipment points for narcotics bound for Europe and the US; offshore financial center |
| **Belarus** | limited cultivation of opium poppy and cannabis, mostly for the domestic market; transshipment point for illicit drugs to and via Russia, and to the Baltics and Western Europe; a small and lightly regulated financial center; new anti-money-laundering legislation does not meet international standards; few investigations or prosecutions of money-laundering activities |
| **Belgium** | growing producer of synthetic drugs and cannabis; transit point for US-bound ecstasy; source of precursor chemicals for South American cocaine processors; transshipment point for cocaine, heroin, hashish, and marijuana entering Western Europe; despite a strengthening of legislation, the country remains vulnerable to money laundering related to narcotics, automobiles, alcohol, and tobacco; significant domestic consumption of ecstasy |
| **Belize** | transshipment point for cocaine; small-scale illicit producer of cannabis, primarily for local consumption; money-laundering activity related to narcotics trafficking and offshore sector |
| **Benin** | transshipment point used by Nigerian traffickers for narcotics destined for Western Europe; vulnerable to money laundering due to poorly enforced financial regulations |
| **Bolivia** | world's third-largest cultivator of coca (after Colombia and Peru) with an estimated 26,500 hectares under cultivation in August 2005, an 8% increase from 2004; transit country for Peruvian and Colombian cocaine destined for Brazil, Argentina, Chile, Paraguay, and Europe; cultivation steadily increasing despite eradication and alternative crop programs; money-laundering activity related to narcotics trade, especially along the borders with Brazil and Paraguay; major cocaine consumption |
| **Bosnia and Herzegovina** | increasingly a transit point for heroin being trafficked to Western Europe; minor transit point for marijuana; remains highly vulnerable to money-laundering activity given a primarily cash-based and unregulated economy, weak law enforcement, and instances of corruption |
