CIA - The World Factbook -- Field Listing - Illicit drugs

| Country | Illicit drugs |
| --- | --- |
| **Afghanistan** | world's largest producer of opium; cultivation of opium poppy - used to make heroin - expanded to 30,750 hectares in 2002, despite eradication; potential opium production of 1,278 metric tons; source of hashish; many narcotics-processing labs throughout the country; drug trade source of instability and some government groups profit from the trade; 80-90% of the heroin consumed in Europe comes from Afghan opium; vulnerable to narcotics money laundering through the hawala system |
| **Albania** | increasingly active transshipment point for Southwest Asian opiates, hashish, and cannabis transiting the Balkan route and - to a far lesser extent - cocaine from South America destined for Western Europe; limited opium and growing cannabis production; ethnic Albanian narcotrafficking organizations active and rapidly expanding in Europe; vulnerable to money laundering associated with regional trafficking in narcotics, arms, contraband, and illegal aliens |
| **Angola** | used as a transshipment point for cocaine destined for Western Europe and other African states |
| **Anguilla** | transshipment point for South American narcotics destined for the US and Europe |
| **Antigua and Barbuda** | considered a minor transshipment point for narcotics bound for the US and Europe; more significant as an offshore financial center |
| **Argentina** | used as a transshipment country for cocaine headed for Europe and the US; some money-laundering activity, especially in the Tri-Border Area; domestic consumption of drugs in urban centers is increasing |
| **Armenia** | illicit cultivation of small amount of cannabis for domestic consumption; used as a transit point for illicit drugs - mostly opium and hashish - moving from Southwest Asia to Russia and to a lesser extent the rest of Europe |
| **Aruba** | transit point for US- and Europe-bound narcotics with some accompanying money-laundering activity |
| **Australia** | Tasmania is one of the world's major suppliers of licit opiate products; government maintains strict controls over areas of opium poppy cultivation and output of poppy straw concentrate |
| **Austria** | transshipment point for Southwest Asian heroin and South American cocaine destined for Western Europe |
| **Azerbaijan** | limited illicit cultivation of cannabis and opium poppy, mostly for CIS consumption; small government eradication program; transit point for Southwest Asian opiates bound for Russia and to a lesser extent the rest of Europe |
| **Bahamas, The** | transshipment point for cocaine and marijuana bound for US and Europe; offshore financial center |
| **Bangladesh** | transit country for illegal drugs produced in neighboring countries |
| **Barbados** | one of many Caribbean transshipment points for narcotics bound for Europe and the US; offshore financial center |
| **Belarus** | limited cultivation of opium poppy and cannabis, mostly for the domestic market; transshipment point for illicit drugs to and via Russia, and to the Baltics and Western Europe; lax money-laundering and banking regulations |
| **Belgium** | growing producer of synthetic drugs; transit point for US-bound ecstasy; source of precursor chemicals for South American cocaine processors; transshipment point for cocaine, heroin, hashish, and marijuana entering Western Europe; money laundering related to trafficking of drugs, automobiles, alcohol, and tobacco |
| **Belize** | major transshipment point for cocaine; small-scale illicit producer of cannabis for the international drug trade; some money-laundering activity related to offshore sector |
| **Benin** | transshipment point for narcotics associated with Nigerian trafficking organizations and most commonly destined for Western Europe and the US; vulnerable to money laundering due to a poorly regulated financial infrastructure |
| **Bolivia** | world's third-largest cultivator of coca (after Colombia and Peru) with an estimated 24,400 hectares under cultivation in June 2002, a 23% increase from June 2001; intermediate coca products and cocaine exported to or through Colombia, Brazil, Argentina, and Chile to the US and other international drug markets; eradication and alternative crop programs under the SANCHEZ DE LOZADA administration have been unable to keep pace with farmers' attempts to increase cultivation after significant reductions in 1998 and 1999; money-laundering activity related to narcotics trade, especially along the borders with Brazil and Paraguay |
| **Bosnia and Herzegovina** | minor transit point for marijuana and opiate trafficking routes to Western Europe; organized crime launders money, but the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Brazil** | illicit producer of cannabis; minor coca cultivation in the Amazon region, used for domestic consumption; government has a large-scale eradication program to control cannabis; important transshipment country for Colombian and Peruvian cocaine headed for the US and Europe; also used by traffickers as a way station for narcotics air transshipments between Peru and Colombia; upsurge in drug-related violence and weapons smuggling; important market for Colombian, Bolivian, and Peruvian cocaine; illicit narcotics proceeds earned in Brazil are often laundered through the financial system; significant illicit financial activity in the Tri-Border Area |
| **British Virgin Islands** | transshipment point for South American narcotics destined for the US and Europe; large offshore financial center |
| **Brunei** | drug trafficking and illegally importing controlled substances are serious offenses in Brunei and carry a mandatory death penalty |
| **Bulgaria** | major European transshipment point for Southwest Asian heroin and, to a lesser degree, South American cocaine for the European market; limited producer of precursor chemicals; some money laundering of drug-related proceeds through financial institutions |
| **Burma** | world's second largest producer of illicit opium (potential production in 2002 - 630 metric tons, down 27% due to drought and, to a lesser extent, eradication; cultivation in 2002 - 77,000 hectares, a 27% decline from 2001); surrender of drug warlord KHUN SA's Mong Tai Army in January 1996 was hailed by Rangoon as a major counternarcotics success, but lack of government will and ability to take on major narcotrafficking groups and lack of serious commitment against money laundering continues to hinder the overall antidrug effort; major source of methamphetamine and heroin for regional consumption |
| **Cambodia** | narcotics-related corruption reportedly involving some in the government, military, and police; possible small-scale opium, heroin, and amphetamine production; large producer of cannabis for the international market; vulnerable to money laundering due to its cash-based economy and porous borders |
| **Canada** | illicit producer of cannabis for the domestic drug market; use of hydroponics technology permits growers to plant large quantities of high-quality marijuana indoors; transit point for heroin and cocaine entering the US market; vulnerable to narcotics money laundering because of its mature financial services sector |
| **Cape Verde** | used as a transshipment point for illicit drugs moving from Latin America and Asia destined for Western Europe; the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **Cayman Islands** | offshore financial center; vulnerable to drug transshipment to the US and Europe |
| **Chile** | a growing transshipment country for cocaine destined for the US and Europe; economic prosperity and increasing trade have made Chile more attractive to traffickers seeking to launder drug profits, especially through the Iquique Free Trade Zone; imported precursors passed on to Bolivia; domestic cocaine consumption is rising |
| **China** | major transshipment point for heroin produced in the Golden Triangle; growing domestic drug abuse problem; source country for chemical precursors and methamphetamine |
| **Colombia** | illicit producer of coca, opium poppy, and cannabis; world's leading coca cultivator (cultivation of coca in 2002 was 144,450 hectares, a 15% decline since 2001); potential production of opium between 2001 and 2002 declined by 25% to 91 metric tons; potential production of heroin declined to 11.3 metric tons; the world's largest processor of coca derivatives into cocaine; supplier of about 90% of the cocaine to the US market and the great majority of cocaine to other international drug markets; important supplier of heroin to the US market; active aerial eradication program; a significant portion of non-US narcotics proceeds are either laundered or invested in Colombia through the black market peso exchange |
| **Congo, Democratic Republic of the** | illicit producer of cannabis, mostly for domestic consumption; while rampant corruption and inadequate supervision leaves the banking system vulnerable to money laundering, the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **Costa Rica** | transshipment country for cocaine and heroin from South America; illicit production of cannabis on small, scattered plots; domestic cocaine consumption is rising, particularly crack cocaine |
| **Cote d'Ivoire** | illicit producer of cannabis, mostly for local consumption; transshipment point for Southwest and Southeast Asian heroin to Europe and occasionally to the US, and for Latin American cocaine destined for Europe and South Africa; while rampant corruption and inadequate supervision leave the banking system vulnerable to money laundering, the lack of a developed financial system limits the country's utility as a major money-laundering center |
| **Croatia** | transit point along the Balkan route for Southwest Asian heroin to Western Europe; has been used as a transit point for maritime shipments of South American cocaine bound for Western Europe |
| **Cuba** | territorial waters and air space serve as transshipment zone for cocaine and heroin bound for the US and Europe; established the death penalty for certain drug-related crimes in 1999 |
| **Cyprus** | minor transit point for heroin and hashish via air routes and container traffic to Europe, especially from Lebanon and Turkey; some cocaine transits as well; anti-money-laundering laws strengthened but few convictions |
| **Czech Republic** | transshipment point for Southwest Asian heroin and minor transit point for Latin American cocaine to Western Europe; producer of synthetic drugs for local and regional markets; susceptible to money laundering related to drug trafficking, organized crime |
| **Dominica** | transshipment point for narcotics bound for the US and Europe; minor cannabis producer; anti-money-laundering enforcement is weak, making the country particularly vulnerable to money laundering |
| **Dominican Republic** | transshipment point for South American drugs destined for the US and Europe; has become a transshipment point for ecstasy from the Netherlands and Belgium destined for US and Canada; substantial money-laundering activity; Colombian narcotics traffickers favor the Dominican Republic for illicit financial transactions |
| **East Timor** | NA |
| **Ecuador** | significant transit country for cocaine originating in Colombia and Peru; importer of precursor chemicals used in production of illicit narcotics; dollarization may raise the volume of money-laundering activity, especially along the border with Colombia; increased activity on the northern frontier by trafficking groups and Colombian insurgents |
| **Egypt** | transit point for Southwest Asian and Southeast Asian heroin and opium moving to Europe, Africa, and the US; transit stop for Nigerian couriers; concern as money-laundering site due to lax banking regulations |
| **El Salvador** | transshipment point for cocaine; small amounts of marijuana produced for local consumption; domestic cocaine abuse on the rise |
| **Estonia** | transshipment point for opiates and cannabis from Southwest Asia and the Caucasus via Russia, cocaine from Latin America to Western Europe and Scandinavia, and synthetic drugs from Western Europe to Scandinavia; increasing domestic drug abuse problem; possible precursor manufacturing and/or trafficking |
| **Ethiopia** | transit hub for heroin originating in Southwest and Southeast Asia and destined for Europe and North America as well as cocaine destined for markets in southern Africa; cultivates qat (khat) for local use and regional export, principally to Djibouti and Somalia (legal in all three countries); the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **France** | transshipment point for and consumer of South American cocaine, Southwest Asian heroin, and European synthetics |
| **French Guiana** | small amount of marijuana grown for local consumption; minor transshipment point to Europe |
| **Georgia** | limited cultivation of cannabis and opium poppy, mostly for domestic consumption; used as transshipment point for opiates via Central Asia to Western Europe and Russia |
| **Germany** | source of precursor chemicals for South American cocaine processors; transshipment point for and consumer of Southwest Asian heroin, Latin American cocaine, and European-produced synthetic drugs |
| **Ghana** | illicit producer of cannabis for the international drug trade; major transit hub for Southwest and Southeast Asian heroin and, to a lesser extent, South American cocaine destined for Europe and the US; widespread crime and corruption have made money laundering a problem, but the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Greece** | a gateway to Europe for traffickers smuggling cannabis and heroin from the Middle East and Southwest Asia to the West and precursor chemicals to the East; some South American cocaine transits or is consumed in Greece; money laundering related to drug trafficking and organized crime |
| **Grenada** | small-scale cannabis cultivation; lesser transshipment point for marijuana and cocaine to US |
| **Guatemala** | major transit country for cocaine and heroin; minor producer of illicit opium poppy and cannabis for mostly domestic consumption; proximity to Mexico makes Guatemala a major staging area for drugs (cocaine and heroin shipments); money laundering is a serious problem; corruption is a major problem |
