CIA -- The World Factbook -- Illicit drugs

| Country | Background |
| --- | --- |
| **Afghanistan** | world's largest illicit opium producer, surpassing Burma (potential production in 1999 - 1,670 metric tons; cultivation in 1999 - 51,500 hectares, a 23% increase over 1998); a major source of hashish; increasing number of heroin-processing laboratories being set up in the country; major political factions in the country profit from drug trade |
| **Albania** | increasingly active transshipment point for Southwest Asian opiates, hashish, and cannabis transiting the Balkan route and - to a far lesser extent - cocaine from South America destined for Western Europe; limited opium and cannabis production; ethnic Albanian narcotrafficking organizations active and rapidly expanding in Europe |
| **Angola** | increasingly used as a transshipment point for cocaine and heroin destined for Western Europe and other African states |
| **Anguilla** | transshipment point for South American narcotics destined for the US and Europe |
| **Antigua and Barbuda** | considered a minor transshipment point for narcotics bound for the US and Europe; more significant as a drug-money-laundering center |
| **Argentina** | use as a transshipment country for cocaine headed for Europe and the US; increasing use as a money-laundering center; domestic consumption of drugs in urban centers is increasing |
| **Armenia** | illicit cultivator of cannabis mostly for domestic consumption; increasingly used as a transshipment point for illicit drugs - mostly opium and hashish - to Western Europe and the US via Iran, Central Asia, and Russia |
| **Aruba** | drug-money-laundering center and transit point for narcotics bound for the US and Europe |
| **Australia** | Tasmania is one of the world's major suppliers of licit opiate products; government maintains strict controls over areas of opium poppy cultivation and output of poppy straw concentrate |
| **Austria** | transshipment point for Southwest Asian heroin and South American cocaine destined for Western Europe |
| **Azerbaijan** | limited illicit cultivation of cannabis and opium poppy, mostly for CIS consumption; limited government eradication program; transshipment point for opiates via Iran, Central Asia, and Russia to Western Europe |
| **Bahamas, The** | transshipment point for cocaine and marijuana bound for US and Europe; banking industry vulnerable to money laundering |
| **Bangladesh** | transit country for illegal drugs produced in neighboring countries |
| **Barbados** | one of many Caribbean transshipment points for narcotics bound for Europe and the US |
| **Belarus** | limited cultivation of opium poppy and cannabis, mostly for the domestic market; transshipment point for illicit drugs to and via Russia, and to the Baltics and Western Europe |
| **Belgium** | growing producer of synthetic drugs; transit point for US-bound ecstasy; source of precursor chemicals for South American cocaine processors; transshipment point for cocaine, heroin, hashish, and marijuana entering Western Europe |
| **Belize** | minor transshipment point for cocaine; small-scale illicit producer of cannabis for the international drug trade; minor money-laundering center |
| **Benin** | transshipment point for narcotics associated with Nigerian trafficking organizations and most commonly destined for Western Europe and the US |
