CIA - The World Factbook --  Imports   

This entry provides the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Imports | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 2,397,000,000,000 | 2011 est. |
| 2 | United States | $ 2,303,000,000,000 | 2012 est. |
| 3 | China | $ 1,653,000,000,000 | 2012 est. |
| 4 | Germany | $ 1,222,000,000,000 | 2012 est. |
| 5 | Japan | $ 830,100,000,000 | 2012 est. |
| 6 | United Kingdom | $ 643,500,000,000 | 2012 est. |
| 7 | France | $ 643,400,000,000 | 2012 est. |
| 8 | Korea, South | $ 514,200,000,000 | 2012 est. |
| 9 | India | $ 503,500,000,000 | 2012 est. |
| 10 | Hong Kong | $ 487,400,000,000 | 2012 est. |
| 11 | Netherlands | $ 476,500,000,000 | 2012 est. |
| 12 | Canada | $ 474,900,000,000 | 2012 est. |
| 13 | Italy | $ 453,500,000,000 | 2012 est. |
| 14 | Singapore | $ 374,900,000,000 | 2012 est. |
| 15 | Mexico | $ 371,200,000,000 | 2012 est. |
| 16 | Russia | $ 335,700,000,000 | 2012 est. |
| 17 | Spain | $ 323,600,000,000 | 2012 est. |
| 18 | Belgium | $ 311,100,000,000 | 2012 est. |
| 19 | Switzerland | $ 296,200,000,000 | 2012 est. |
| 20 | Taiwan | $ 268,800,000,000 | 2012 est. |
| 21 | Australia | $ 263,000,000,000 | 2012 est. |
| 22 | Turkey | $ 228,600,000,000 | 2012 est. |
| 23 | Brazil | $ 223,200,000,000 | 2012 est. |
| 24 | United Arab Emirates | $ 221,900,000,000 | 2012 est. |
| 25 | Thailand | $ 217,800,000,000 | 2012 est. |
| 26 | Poland | $ 197,700,000,000 | 2012 est. |
| 27 | Malaysia | $ 186,900,000,000 | 2012 est. |
| 28 | Indonesia | $ 178,700,000,000 | 2012 est. |
| 29 | Austria | $ 167,900,000,000 | 2012 est. |
| 30 | Sweden | $ 163,300,000,000 | 2012 est. |
| 31 | Saudi Arabia | $ 141,800,000,000 | 2012 est. |
| 32 | Czech Republic | $ 124,200,000,000 | 2012 est. |
| 33 | Vietnam | $ 104,700,000,000 | 2012 est. |
| 34 | South Africa | $ 102,600,000,000 | 2012 est. |
| 35 | Denmark | $ 96,770,000,000 | 2012 est. |
| 36 | Ukraine | $ 89,710,000,000 | 2012 est. |
| 37 | Norway | $ 89,050,000,000 | 2012 est. |
| 38 | Hungary | $ 87,370,000,000 | 2012 est. |
| 39 | Slovakia | $ 75,990,000,000 | 2012 est. |
| 40 | Chile | $ 74,860,000,000 | 2012 est. |
| 41 | Finland | $ 72,130,000,000 | 2012 est. |
| 42 | Israel | $ 71,670,000,000 | 2012 est. |
| 43 | Iran | $ 70,030,000,000 | 2012 est. |
| 44 | Portugal | $ 69,480,000,000 | 2012 est. |
| 45 | Argentina | $ 65,550,000,000 | 2012 est. |
| 46 | Ireland | $ 63,630,000,000 | 2012 est. |
| 47 | Romania | $ 62,750,000,000 | 2012 est. |
| 48 | Philippines | $ 61,490,000,000 | 2012 est. |
| 49 | Egypt | $ 60,260,000,000 | 2012 est. |
| 50 | Venezuela | $ 59,310,000,000 | 2012 est. |
| 51 | Colombia | $ 54,640,000,000 | 2012 est. |
| 52 | Greece | $ 53,530,000,000 | 2012 est. |
| 53 | Nigeria | $ 53,360,000,000 | 2012 est. |
| 54 | Algeria | $ 51,570,000,000 | 2012 est. |
| 55 | Iraq | $ 50,160,000,000 | 2012 est. |
| 56 | Kazakhstan | $ 49,080,000,000 | 2012 est. |
| 57 | Puerto Rico | $ 49,000,000,000 | 2012 est. |
| 58 | Belarus | $ 45,010,000,000 | 2012 est. |
| 59 | Peru | $ 41,110,000,000 | 2012 est. |
| 60 | Pakistan | $ 40,070,000,000 | 2012 est. |
| 61 | Morocco | $ 38,880,000,000 | 2012 est. |
| 62 | New Zealand | $ 37,040,000,000 | 2012 est. |
| 63 | Bangladesh | $ 32,290,000,000 | 2012 est. |
| 64 | Bulgaria | $ 31,150,000,000 | 2012 est. |
| 65 | Qatar | $ 30,790,000,000 | 2012 est. |
| 66 | Lithuania | $ 30,440,000,000 | 2012 est. |
| 67 | Slovenia | $ 27,950,000,000 | 2012 est. |
