CIA - The World Factbook --  IMPORTS

Imports compares the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | IMPORTS | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $2,208,000,000,000 | 2016 est. |
| 2 | European Union | $1,727,000,000,000 | 2015 est. |
| 3 | China | $1,495,000,000,000 | 2016 est. |
| 4 | Germany | $1,022,000,000,000 | 2016 est. |
| 5 | United Kingdom | $588,400,000,000 | 2016 est. |
| 6 | Japan | $583,500,000,000 | 2016 est. |
| 7 | France | $536,700,000,000 | 2016 est. |
| 8 | Hong Kong | $520,100,000,000 | 2016 est. |
| 9 | Canada | $413,400,000,000 | 2016 est. |
| 10 | Netherlands | $402,900,000,000 | 2016 est. |
| 11 | Korea, South | $391,300,000,000 | 2016 est. |
| 12 | Mexico | $387,400,000,000 | 2016 est. |
| 13 | Italy | $387,100,000,000 | 2016 est. |
| 14 | India | $376,100,000,000 | 2016 est. |
| 15 | Spain | $300,300,000,000 | 2016 est. |
| 16 | Singapore | $278,800,000,000 | 2016 est. |
| 17 | Belgium | $271,200,000,000 | 2016 est. |
| 18 | Switzerland | $264,900,000,000 | 2016 est. |
| 19 | Taiwan | $239,700,000,000 | 2016 est. |
| 20 | United Arab Emirates | $230,300,000,000 | 2016 est. |
| 21 | Australia | $198,500,000,000 | 2016 est. |
| 22 | Poland | $193,600,000,000 | 2016 est. |
| 23 | Russia | $191,600,000,000 | 2016 est. |
| 24 | Turkey | $191,000,000,000 | 2016 est. |
| 25 | Thailand | $177,700,000,000 | 2016 est. |
| 26 | Vietnam | $162,600,000,000 | 2016 est. |
| 27 | Austria | $143,000,000,000 | 2016 est. |
| 28 | Malaysia | $140,900,000,000 | 2016 est. |
| 29 | Sweden | $139,900,000,000 | 2016 est. |
| 30 | Brazil | $139,400,000,000 | 2016 est. |
| 31 | Indonesia | $129,000,000,000 | 2016 est. |
| 32 | Saudi Arabia | $127,800,000,000 | 2016 est. |
| 33 | Czechia | $120,800,000,000 | 2016 est. |
| 34 | Ireland | $92,090,000,000 | 2016 est. |
| 35 | Denmark | $86,390,000,000 | 2016 est. |
| 36 | Hungary | $85,780,000,000 | 2016 est. |
| 37 | Philippines | $77,520,000,000 | 2016 est. |
| 38 | South Africa | $74,170,000,000 | 2016 est. |
| 39 | Norway | $73,620,000,000 | 2016 est. |
| 40 | Slovakia | $73,010,000,000 | 2016 est. |
| 41 | Romania | $67,940,000,000 | 2016 est. |
| 42 | Portugal | $64,790,000,000 | 2016 est. |
| 43 | Israel | $63,540,000,000 | 2016 est. |
| 44 | Iran | $63,140,000,000 | 2016 est. |
| 45 | Finland | $57,660,000,000 | 2016 est. |
| 46 | Egypt | $56,710,000,000 | 2016 est. |
| 47 | Chile | $55,340,000,000 | 2016 est. |
| 48 | Argentina | $53,240,000,000 | 2016 est. |
| 49 | Algeria | $49,430,000,000 | 2016 est. |
| 50 | Puerto Rico | $48,860,000,000 | 2016 est. |
| 51 | Greece | $45,450,000,000 | 2016 est. |
| 52 | Colombia | $43,240,000,000 | 2016 est. |
| 53 | Pakistan | $41,620,000,000 | 2016 est. |
| 54 | Ukraine | $40,570,000,000 | 2016 est. |
| 55 | Bangladesh | $40,370,000,000 | 2016 est. |
| 56 | Morocco | $36,590,000,000 | 2016 est. |
| 57 | New Zealand | $35,530,000,000 | 2016 est. |
| 58 | Nigeria | $35,240,000,000 | 2016 est. |
| 59 | Peru | $35,130,000,000 | 2016 est. |
| 60 | Qatar | $31,930,000,000 | 2016 est. |
| 61 | Kuwait | $30,820,000,000 | 2016 est. |
| 62 | Kazakhstan | $27,870,000,000 | 2016 est. |
| 63 | Bulgaria | $27,000,000,000 | 2016 est. |
| 64 | Lithuania | $26,350,000,000 | 2016 est. |
| 65 | Slovenia | $25,950,000,000 | 2016 est. |
| 66 | Belarus | $25,570,000,000 | 2016 est. |
| 67 | Panama | $22,080,000,000 | 2016 est. |
