CIA - The World Factbook --  Imports   

Imports compares the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | country | Imports | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 2,312,000,000,000 | 2012 est. |
| 2 | United States | $ 2,273,000,000,000 | 2013 est. |
| 3 | China | $ 1,950,000,000,000 | 2013 est. |
| 4 | Germany | $ 1,233,000,000,000 | 2013 est. |
| 5 | United Kingdom | $ 782,500,000,000 | 2013 est. |
| 6 | Japan | $ 766,600,000,000 | 2013 est. |
| 7 | France | $ 659,800,000,000 | 2013 est. |
| 8 | Hong Kong | $ 520,600,000,000 | 2013 est. |
| 9 | Korea, South | $ 516,600,000,000 | 2013 est. |
| 10 | Netherlands | $ 511,000,000,000 | 2013 est. |
| 11 | Canada | $ 471,000,000,000 | 2013 est. |
| 12 | India | $ 467,500,000,000 | 2013 est. |
| 13 | Italy | $ 435,800,000,000 | 2013 est. |
| 14 | Spain | $ 431,000,000,000 | 2013 est. |
| 15 | Singapore | $ 373,000,000,000 | 2013 est. |
| 16 | Mexico | $ 370,700,000,000 | 2013 est. |
| 17 | Russia | $ 341,000,000,000 | 2013 est. |
| 18 | Belgium | $ 310,200,000,000 | 2013 est. |
| 19 | Taiwan | $ 268,500,000,000 | 2013 est. |
| 20 | United Arab Emirates | $ 249,600,000,000 | 2013 est. |
| 21 | Australia | $ 245,800,000,000 | 2013 est. |
| 22 | Turkey | $ 242,900,000,000 | 2013 est. |
| 23 | Brazil | $ 241,400,000,000 | 2013 est. |
| 24 | Thailand | $ 219,000,000,000 | 2013 est. |
| 25 | Poland | $ 207,400,000,000 | 2013 est. |
| 26 | Switzerland | $ 200,500,000,000 | 2013 est. |
| 27 | Malaysia | $ 192,900,000,000 | 2013 est. |
| 28 | Indonesia | $ 178,600,000,000 | 2013 est. |
| 29 | Austria | $ 167,900,000,000 | 2013 est. |
| 30 | Sweden | $ 158,000,000,000 | 2013 est. |
| 31 | Saudi Arabia | $ 147,000,000,000 | 2013 est. |
| 32 | Czech Republic | $ 143,400,000,000 | 2013 est. |
| 33 | Vietnam | $ 121,400,000,000 | 2013 est. |
| 34 | South Africa | $ 99,550,000,000 | 2013 est. |
| 35 | Denmark | $ 98,450,000,000 | 2013 est. |
| 36 | Norway | $ 90,140,000,000 | 2013 est. |
| 37 | Hungary | $ 89,520,000,000 | 2013 est. |
| 38 | Ukraine | $ 87,210,000,000 | 2013 est. |
| 39 | Slovakia | $ 77,960,000,000 | 2013 est. |
| 40 | Chile | $ 75,700,000,000 | 2013 est. |
| 41 | Romania | $ 73,420,000,000 | 2013 est. |
| 42 | Argentina | $ 71,300,000,000 | 2013 est. |
| 43 | Finland | $ 70,670,000,000 | 2013 est. |
| 44 | Israel | $ 67,030,000,000 | 2013 est. |
| 45 | Iraq | $ 66,610,000,000 | 2013 est. |
| 46 | Iran | $ 64,420,000,000 | 2013 est. |
| 47 | Philippines | $ 63,910,000,000 | 2013 est. |
| 48 | Ireland | $ 61,510,000,000 | 2013 est. |
| 49 | Venezuela | $ 59,320,000,000 | 2013 est. |
| 50 | Egypt | $ 59,220,000,000 | 2013 est. |
| 51 | Portugal | $ 59,000,000,000 | 2013 est. |
| 52 | Nigeria | $ 55,980,000,000 | 2013 est. |
| 53 | Algeria | $ 55,020,000,000 | 2013 est. |
| 54 | Colombia | $ 53,500,000,000 | 2013 est. |
| 55 | Kazakhstan | $ 52,030,000,000 | 2013 est. |
| 56 | Greece | $ 50,580,000,000 | 2013 est. |
| 57 | Puerto Rico | $ 47,320,000,000 | 2013 est. |
| 58 | Belarus | $ 45,170,000,000 | 2013 est. |
| 59 | Peru | $ 42,130,000,000 | 2013 est. |
| 60 | Qatar | $ 39,580,000,000 | 2013 est. |
| 61 | Pakistan | $ 39,270,000,000 | 2013 est. |
| 62 | Morocco | $ 38,660,000,000 | 2013 est. |
| 63 | New Zealand | $ 37,350,000,000 | 2013 est. |
| 64 | Bangladesh | $ 32,940,000,000 | 2013 est. |
| 65 | Bulgaria | $ 32,880,000,000 | 2013 est. |
| 66 | Lithuania | $ 32,520,000,000 | 2013 est. |
| 67 | Oman | $ 30,750,000,000 | 2013 est. |
| 68 | Slovenia | $ 29,490,000,000 | 2013 est. |
| 69 | Libya | $ 27,150,000,000 | 2013 est. |
| 70 | Panama | $ 26,610,000,000 | 2013 est. |
| 71 | Ecuador | $ 26,220,000,000 | 2013 est. |
| 72 | Angola | $ 26,090,000,000 | 2013 est. |
| 73 | Tunisia | $ 24,950,000,000 | 2013 est. |
| 74 | Kuwait | $ 24,420,000,000 | 2013 est. |
| 75 | Luxembourg | $ 23,120,000,000 | 2013 est. |
| 76 | Croatia | $ 21,740,000,000 | 2013 est. |
| 77 | Lebanon | $ 20,970,000,000 | 2013 est. |
| 78 | Serbia | $ 20,540,000,000 | 2013 est. |
| 79 | Jordan | $ 18,610,000,000 | 2013 est. |
| 80 | Ghana | $ 18,490,000,000 | 2013 est. |
| 81 | Sri Lanka | $ 18,000,000,000 | 2013 est. |
| 82 | Costa Rica | $ 17,560,000,000 | 2013 est. |
| 83 | Dominican Republic | $ 16,800,000,000 | 2013 est. |
| 84 | Guatemala | $ 16,700,000,000 | 2013 est. |
| 85 | Estonia | $ 16,380,000,000 | 2013 est. |
| 86 | Kenya | $ 15,860,000,000 | 2013 est. |
| 87 | Latvia | $ 15,560,000,000 | 2013 est. |
| 88 | Bahrain | $ 14,410,000,000 | 2013 est. |
| 89 | Cuba | $ 13,600,000,000 | 2013 est. |
