CIA - The World Factbook --  IMPORTS

Imports compares the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | IMPORTS | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $2,334,000,000,000 | 2014 est. |
| 2 | European Union | $2,312,000,000,000 | 2012 est. |
| 3 | China | $1,949,000,000,000 | 2013 est. |
| 4 | Germany | $1,319,000,000,000 | 2014 est. |
| 5 | Japan | $811,900,000,000 | 2014 est. |
| 6 | United Kingdom | $686,000,000,000 | 2014 est. |
| 7 | France | $634,000,000,000 | 2014 est. |
| 8 | Hong Kong | $560,200,000,000 | 2014 est. |
| 9 | Korea, South | $542,900,000,000 | 2014 est. |
| 10 | India | $508,100,000,000 | 2014 est. |
| 11 | Netherlands | $488,800,000,000 | 2014 est. |
| 12 | Canada | $482,100,000,000 | 2014 est. |
| 13 | Italy | $448,300,000,000 | 2014 est. |
| 14 | Mexico | $407,100,000,000 | 2014 est. |
| 15 | Singapore | $375,500,000,000 | 2014 est. |
| 16 | Belgium | $340,200,000,000 | 2014 est. |
| 17 | Spain | $337,900,000,000 | 2014 est. |
| 18 | Switzerland | $333,800,000,000 | 2014 est. |
| 19 | Russia | $323,900,000,000 | 2014 est. |
| 20 | Taiwan | $277,500,000,000 | 2014 est. |
| 21 | United Arab Emirates | $271,700,000,000 | 2014 est. |
| 22 | Australia | $245,900,000,000 | 2014 est. |
| 23 | Brazil | $241,900,000,000 | 2014 est. |
| 24 | Turkey | $240,400,000,000 | 2014 est. |
| 25 | Thailand | $218,500,000,000 | 2014 est. |
| 26 | Poland | $217,000,000,000 | 2014 est. |
| 27 | Malaysia | $193,600,000,000 | 2014 est. |
| 28 | Indonesia | $166,700,000,000 | 2014 est. |
| 29 | Austria | $166,500,000,000 | 2014 est. |
| 30 | Sweden | $163,800,000,000 | 2014 est. |
| 31 | Saudi Arabia | $162,200,000,000 | 2014 est. |
| 32 | Vietnam | $138,600,000,000 | 2014 est. |
| 33 | Czech Republic | $135,100,000,000 | 2014 est. |
| 34 | South Africa | $102,200,000,000 | 2014 est. |
| 35 | Denmark | $101,600,000,000 | 2014 est. |
| 36 | Hungary | $96,830,000,000 | 2014 est. |
| 37 | Norway | $91,030,000,000 | 2014 est. |
| 38 | Slovakia | $82,480,000,000 | 2014 est. |
| 39 | Portugal | $76,110,000,000 | 2014 est. |
| 40 | Finland | $73,010,000,000 | 2014 est. |
| 41 | Philippines | $72,930,000,000 | 2014 est. |
| 42 | Romania | $72,570,000,000 | 2014 est. |
| 43 | Chile | $70,670,000,000 | 2014 est. |
| 44 | Israel | $69,730,000,000 | 2014 est. |
| 45 | Ireland | $66,940,000,000 | 2014 est. |
| 46 | Argentina | $65,900,000,000 | 2014 est. |
| 47 | Iraq | $62,340,000,000 | 2014 est. |
| 48 | Greece | $62,190,000,000 | 2013 est. |
| 49 | Iran | $61,250,000,000 | 2014 est. |
| 50 | Ukraine | $60,400,000,000 | 2014 est. |
| 51 | Colombia | $56,750,000,000 | 2014 est. |
| 52 | Algeria | $55,360,000,000 | 2014 est. |
| 53 | Egypt | $55,260,000,000 | 2014 est. |
| 54 | Nigeria | $52,790,000,000 | 2014 est. |
| 55 | Venezuela | $50,340,000,000 | 2014 est. |
| 56 | Kazakhstan | $47,560,000,000 | 2014 est. |
| 57 | Puerto Rico | $46,900,000,000 | 2014 est. |
| 58 | Pakistan | $45,070,000,000 | FY2014 est. |
| 59 | New Zealand | $40,710,000,000 | 2014 est. |
| 60 | Belarus | $40,470,000,000 | 2014 est. |
| 61 | Peru | $40,250,000,000 | 2014 est. |
| 62 | Morocco | $40,040,000,000 | 2014 est. |
| 63 | Qatar | $39,120,000,000 | 2014 est. |
| 64 | Bangladesh | $38,500,000,000 | 2014 est. |
| 65 | Lithuania | $35,240,000,000 | 2014 est. |
| 66 | Oman | $34,370,000,000 | 2014 est. |
| 67 | Bulgaria | $33,560,000,000 | 2014 est. |
| 68 | Slovenia | $29,370,000,000 | 2014 est. |
| 69 | Angola | $28,050,000,000 | 2014 est. |
| 70 | Luxembourg | $27,920,000,000 | 2014 est. |
| 71 | Ecuador | $26,400,000,000 | 2014 est. |
| 72 | Kuwait | $26,060,000,000 | 2014 est. |
| 73 | Panama | $25,650,000,000 | 2014 est. |
| 74 | Tunisia | $23,400,000,000 | 2014 est. |
| 75 | Jordan | $22,800,000,000 | 2014 est. |
| 76 | Croatia | $22,440,000,000 | 2014 est. |
| 77 | Serbia | $20,630,000,000 | 2014 est. |
| 78 | Lebanon | $20,080,000,000 | 2014 est. |
| 79 | Sri Lanka | $19,240,000,000 | 2014 est. |
| 80 | Costa Rica | $17,910,000,000 | 2014 est. |
| 81 | Guatemala | $17,150,000,000 | 2014 est. |
| 82 | Estonia | $17,050,000,000 | 2014 est. |
| 83 | Dominican Republic | $16,970,000,000 | 2014 est. |
| 84 | Latvia | $16,560,000,000 | 2014 est. |
| 85 | Kenya | $16,470,000,000 | 2014 est. |
| 86 | Turkmenistan | $16,150,000,000 | 2014 est. |
| 87 | Libya | $16,080,000,000 | 2014 est. |
| 88 | Ghana | $16,000,000,000 | 2014 est. |
| 89 | Cuba | $14,930,000,000 | 2014 est. |
| 90 | Bahrain | $14,280,000,000 | 2014 est. |
| 91 | Burma | $12,530,000,000 | 2014 est. |
| 92 | Uzbekistan | $12,500,000,000 | 2014 est. |
| 93 | Paraguay | $12,370,000,000 | 2014 est. |
| 94 | Ethiopia | $12,080,000,000 | 2014 est. |
| 95 | Uruguay | $12,050,000,000 | 2014 est. |
| 96 | Tanzania | $11,950,000,000 | 2014 est. |
| 97 | Honduras | $11,790,000,000 | 2014 est. |
| 98 | Azerbaijan | $10,680,000,000 | 2014 est. |
| 99 | Yemen | $10,390,000,000 | 2014 est. |
| 100 | Macau | $10,130,000,000 | 2013 est. |
| 101 | El Salvador | $10,110,000,000 | 2014 est. |
| 102 | Cambodia | $10,050,000,000 | 2014 est. |
| 103 | Cote d'Ivoire | $9,788,000,000 | 2014 est. |
| 104 | Congo, Democratic Republic of the | $9,781,000,000 | 2014 est. |
| 105 | Bosnia and Herzegovina | $9,561,000,000 | 2014 est. |
| 106 | Bolivia | $9,513,000,000 | 2014 est. |
| 107 | Sudan | $9,247,000,000 | 2014 est. |
| 108 | Trinidad and Tobago | $9,103,000,000 | 2014 est. |
| 109 | Mozambique | $8,954,000,000 | 2014 est. |
| 110 | Georgia | $8,328,000,000 | 2014 est. |
| 111 | Zambia | $8,081,000,000 | 2014 est. |
| 112 | West Bank | $7,674,000,000 | 2014 est. |
| 113 | Syria | $7,657,000,000 | 2014 est. |
| 114 | Nepal | $7,282,000,000 | 2014 est. |
| 115 | Botswana | $7,141,000,000 | 2014 est. |
| 116 | Namibia | $7,056,000,000 | 2014 est. |
| 117 | Cameroon | $6,937,000,000 | 2014 est. |
| 118 | Equatorial Guinea | $6,436,000,000 | 2014 est. |
