CIA - The World Factbook --  Imports   

This entry provides the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Imports | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 1,903,000,000,000 | 2010 est. |
| 2 | European Union | $ 1,690,000,000,000 | 2007 |
| 3 | China | $ 1,307,000,000,000 | 2010 est. |
| 4 | Germany | $ 1,120,000,000,000 | 2010 est. |
| 5 | Japan | $ 636,800,000,000 | 2010 est. |
| 6 | France | $ 577,700,000,000 | 2010 est. |
| 7 | United Kingdom | $ 546,500,000,000 | 2010 est. |
| 8 | Italy | $ 459,700,000,000 | 2010 est. |
| 9 | Korea, South | $ 417,900,000,000 | 2010 est. |
| 10 | Hong Kong | $ 413,000,000,000 | 2010 est. |
| 11 | Netherlands | $ 408,400,000,000 | 2010 est. |
| 12 | Canada | $ 406,400,000,000 | 2010 est. |
| 13 | India | $ 327,000,000,000 | 2010 est. |
| 14 | Spain | $ 324,600,000,000 | 2010 est. |
| 15 | Singapore | $ 315,600,000,000 | 2010 est. |
| 16 | Mexico | $ 306,000,000,000 | 2010 est. |
| 17 | Belgium | $ 281,700,000,000 | 2010 est. |
| 18 | Taiwan | $ 250,200,000,000 | 2010 est. |
| 19 | Russia | $ 237,300,000,000 | 2010 est. |
| 20 | Switzerland | $ 220,400,000,000 | 2010 est. |
| 21 | Australia | $ 200,400,000,000 | 2010 est. |
| 22 | Brazil | $ 187,700,000,000 | 2010 est. |
| 23 | Poland | $ 167,400,000,000 | 2010 est. |
| 24 | Turkey | $ 166,300,000,000 | 2010 est. |
| 25 | United Arab Emirates | $ 159,000,000,000 | 2010 est. |
| 26 | Sweden | $ 158,600,000,000 | 2010 est. |
| 27 | Thailand | $ 156,900,000,000 | 2010 est. |
| 28 | Austria | $ 156,000,000,000 | 2010 est. |
| 29 | Malaysia | $ 149,200,000,000 | 2010 est. |
| 30 | Indonesia | $ 111,100,000,000 | 2010 est. |
| 31 | Czech Republic | $ 109,200,000,000 | 2010 est. |
| 32 | Saudi Arabia | $ 99,170,000,000 | 2010 est. |
| 33 | Denmark | $ 90,830,000,000 | 2010 est. |
| 34 | Hungary | $ 87,440,000,000 | 2010 est. |
| 35 | Vietnam | $ 81,730,000,000 | 2010 est. |
| 36 | South Africa | $ 77,040,000,000 | 2010 est. |
| 37 | Norway | $ 74,020,000,000 | 2010 est. |
| 38 | Ireland | $ 70,360,000,000 | 2010 est. |
| 39 | Finland | $ 69,110,000,000 | 2010 est. |
| 40 | Portugal | $ 68,220,000,000 | 2010 est. |
| 41 | Slovakia | $ 62,430,000,000 | 2010 est. |
