CIA - The World Factbook --  Imports   

This entry provides the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Imports | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 2,397,000,000,000 | 2011 est. |
| 2 | United States | $ 2,357,000,000,000 | 2012 est. |
| 3 | China | $ 1,780,000,000,000 | 2012 est. |
| 4 | Germany | $ 1,276,000,000,000 | 2012 est. |
| 5 | Japan | $ 856,900,000,000 | 2012 est. |
| 6 | France | $ 658,900,000,000 | 2012 est. |
| 7 | United Kingdom | $ 646,000,000,000 | 2012 est. |
| 8 | Korea, South | $ 520,500,000,000 | 2012 est. |
| 9 | India | $ 500,300,000,000 | 2012 est. |
| 10 | Hong Kong | $ 499,400,000,000 | 2012 est. |
| 11 | Netherlands | $ 490,100,000,000 | 2012 est. |
| 12 | Canada | $ 480,900,000,000 | 2012 est. |
| 13 | Italy | $ 469,700,000,000 | 2012 est. |
| 14 | Singapore | $ 390,400,000,000 | 2012 est. |
| 15 | Mexico | $ 379,400,000,000 | 2012 est. |
| 16 | Russia | $ 358,100,000,000 | 2012 est. |
| 17 | Belgium | $ 325,200,000,000 | 2012 est. |
| 18 | Spain | $ 322,700,000,000 | 2012 est. |
| 19 | Switzerland | $ 289,400,000,000 | 2012 est. |
| 20 | Taiwan | $ 261,600,000,000 | 2012 est. |
| 21 | Australia | $ 258,100,000,000 | 2012 est. |
| 22 | Brazil | $ 238,800,000,000 | 2012 est. |
| 23 | Turkey | $ 225,600,000,000 | 2012 est. |
| 24 | United Arab Emirates | $ 220,300,000,000 | 2012 est. |
| 25 | Thailand | $ 213,700,000,000 | 2012 est. |
| 26 | Poland | $ 206,500,000,000 | 2012 est. |
| 27 | Malaysia | $ 197,200,000,000 | 2012 est. |
| 28 | Indonesia | $ 185,000,000,000 | 2012 est. |
| 29 | Austria | $ 173,900,000,000 | 2012 est. |
| 30 | Sweden | $ 166,400,000,000 | 2012 est. |
| 31 | Saudi Arabia | $ 136,800,000,000 | 2012 est. |
| 32 | Czech Republic | $ 129,000,000,000 | 2012 est. |
| 33 | Vietnam | $ 109,600,000,000 | 2012 est. |
| 34 | South Africa | $ 106,800,000,000 | 2012 est. |
| 35 | Hungary | $ 100,800,000,000 | 2012 est. |
| 36 | Denmark | $ 97,910,000,000 | 2012 est. |
| 37 | Ukraine | $ 86,800,000,000 | 2012 est. |
| 38 | Norway | $ 86,780,000,000 | 2012 est. |
| 39 | Romania | $ 78,310,000,000 | 2012 est. |
| 40 | Israel | $ 77,590,000,000 | 2012 est. |
| 41 | Slovakia | $ 74,290,000,000 | 2012 est. |
| 42 | Finland | $ 72,230,000,000 | 2012 est. |
| 43 | Nigeria | $ 70,580,000,000 | 2012 est. |
| 44 | Chile | $ 70,200,000,000 | 2012 est. |
| 45 | Argentina | $ 67,330,000,000 | 2012 est. |
| 46 | Portugal | $ 67,030,000,000 | 2012 est. |
| 47 | Iran | $ 66,970,000,000 | 2012 est. |
| 48 | Philippines | $ 63,420,000,000 | 2012 est. |
| 49 | Ireland | $ 63,100,000,000 | 2012 est. |
| 50 | Egypt | $ 58,760,000,000 | 2012 est. |
| 51 | Greece | $ 57,920,000,000 | 2012 est. |
| 52 | Iraq | $ 56,890,000,000 | 2012 est. |
| 53 | Venezuela | $ 56,690,000,000 | 2012 est. |
| 54 | Colombia | $ 55,490,000,000 | 2012 est. |
| 55 | Belarus | $ 48,180,000,000 | 2012 est. |
| 56 | Algeria | $ 47,530,000,000 | 2012 est. |
| 57 | Puerto Rico | $ 46,580,000,000 | 2012 est. |
| 58 | Kazakhstan | $ 42,820,000,000 | 2012 est. |
| 59 | Morocco | $ 42,490,000,000 | 2012 est. |
| 60 | Peru | $ 41,150,000,000 | 2012 est. |
| 61 | Pakistan | $ 40,820,000,000 | 2012 est. |
| 62 | New Zealand | $ 35,650,000,000 | 2012 est. |
| 63 | Bangladesh | $ 35,060,000,000 | 2012 est. |
| 64 | Lithuania | $ 31,410,000,000 | 2012 est. |
| 65 | Bulgaria | $ 30,320,000,000 | 2012 est. |
| 66 | Slovenia | $ 29,830,000,000 | 2012 est. |
| 67 | Luxembourg | $ 25,080,000,000 | 2012 est. |
