CIA - The World Factbook --  IMPORTS

Imports compares the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis.

| Rank | Country | IMPORTS | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $2,273,000,000,000 | 2015 est. |
| 2 | European Union | $2,244,000,000,000 | 2014 est. |
| 3 | China | $1,576,000,000,000 | 2015 est. |
| 4 | Germany | $1,017,000,000,000 | 2015 est. |
| 5 | United Kingdom | $627,700,000,000 | 2015 est. |
| 6 | Japan | $627,300,000,000 | 2015 est. |
| 7 | France | $537,500,000,000 | 2015 est. |
| 8 | Hong Kong | $528,500,000,000 | 2015 est. |
| 9 | Canada | $428,700,000,000 | 2015 est. |
| 10 | Korea, South | $428,500,000,000 | 2015 est. |
| 11 | India | $409,200,000,000 | 2015 est. |
| 12 | Mexico | $395,600,000,000 | 2015 est. |
| 13 | Italy | $391,200,000,000 | 2015 est. |
| 14 | Netherlands | $389,600,000,000 | 2015 est. |
| 15 | Spain | $302,600,000,000 | 2015 est. |
| 16 | Singapore | $294,500,000,000 | 2015 est. |
| 17 | Taiwan | $262,900,000,000 | 2015 est. |
| 18 | Belgium | $259,600,000,000 | 2015 est. |
| 19 | Switzerland | $247,700,000,000 | 2015 est. |
| 20 | United Arab Emirates | $243,900,000,000 | 2015 est. |
| 21 | Australia | $207,700,000,000 | 2015 est. |
| 22 | Turkey | $200,100,000,000 | 2015 est. |
| 23 | Russia | $193,000,000,000 | 2015 est. |
| 24 | Poland | $188,400,000,000 | 2015 est. |
| 25 | Thailand | $177,500,000,000 | 2015 est. |
| 26 | Brazil | $172,400,000,000 | 2015 est. |
| 27 | Saudi Arabia | $155,000,000,000 | 2015 est. |
| 28 | Vietnam | $154,700,000,000 | 2015 est. |
| 29 | Malaysia | $147,700,000,000 | 2015 est. |
| 30 | Austria | $140,000,000,000 | 2015 est. |
| 31 | Sweden | $137,300,000,000 | 2015 est. |
| 32 | Indonesia | $135,100,000,000 | 2015 est. |
| 33 | Czechia | $122,500,000,000 | 2015 est. |
| 34 | Denmark | $85,020,000,000 | 2015 est. |
| 35 | Hungary | $84,700,000,000 | 2015 est. |
| 36 | South Africa | $84,330,000,000 | 2015 est. |
| 37 | Norway | $75,790,000,000 | 2015 est. |
| 38 | Ireland | $75,730,000,000 | 2015 est. |
| 39 | Slovakia | $71,090,000,000 | 2015 est. |
| 40 | Philippines | $64,970,000,000 | 2015 est. |
| 41 | Portugal | $64,490,000,000 | 2015 est. |
| 42 | Romania | $63,120,000,000 | 2015 est. |
| 43 | Israel | $59,490,000,000 | 2015 est. |
| 44 | Chile | $58,740,000,000 | 2015 est. |
| 45 | Finland | $58,500,000,000 | 2015 est. |
| 46 | Argentina | $57,180,000,000 | 2015 est. |
| 47 | Egypt | $57,170,000,000 | 2015 est. |
| 48 | Iran | $52,420,000,000 | 2015 est. |
| 49 | Nigeria | $52,330,000,000 | 2015 est. |
| 50 | Colombia | $52,040,000,000 | 2015 est. |
| 51 | Algeria | $50,700,000,000 | 2015 est. |
| 52 | Puerto Rico | $49,710,000,000 | 2015 est. |
| 53 | Greece | $46,620,000,000 | 2015 est. |
| 54 | Iraq | $43,840,000,000 | 2015 est. |
| 55 | Pakistan | $39,290,000,000 | 2015 est. |
| 56 | Ukraine | $38,940,000,000 | 2015 est. |
| 57 | Bangladesh | $37,630,000,000 | 2015 est. |
| 58 | Peru | $36,990,000,000 | 2015 est. |
| 59 | Venezuela | $36,460,000,000 | 2015 est. |
| 60 | New Zealand | $35,800,000,000 | 2015 est. |
| 61 | Kazakhstan | $33,650,000,000 | 2015 est. |
| 62 | Morocco | $32,740,000,000 | 2015 est. |
| 63 | Qatar | $28,500,000,000 | 2015 est. |
| 64 | Belarus | $28,330,000,000 | 2015 est. |
| 65 | Oman | $28,270,000,000 | 2015 est. |
| 66 | Kuwait | $27,340,000,000 | 2015 est. |
| 67 | Lithuania | $26,930,000,000 | 2015 est. |
| 68 | Bulgaria | $26,740,000,000 | 2015 est. |
