CIA - The World Factbook --  STOCK OF DIRECT FOREIGN INVESTMENT - ABROAD

Stock of direct foreign investment - abroad compares the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | Country | STOCK OF DIRECT FOREIGN INVESTMENT - ABROAD | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $9,121,000,000,000 | 2012 |
| 2 | Netherlands | $5,623,000,000,000 | 31 December 2016 est. |
| 3 | United States | $5,352,000,000,000 | 31 December 2016 est. |
| 4 | Germany | $1,981,000,000,000 | 31 December 2016 est. |
| 5 | Hong Kong | $1,723,000,000,000 | 31 December 2016 est. |
| 6 | United Kingdom | $1,611,000,000,000 | 31 December 2016 est. |
| 7 | Switzerland | $1,528,000,000,000 | 31 December 2016 est. |
| 8 | Ireland | $1,404,000,000,000 | 31 December 2016 est. |
| 9 | France | $1,379,000,000,000 | 31 December 2016 est. |
| 10 | Japan | $1,363,000,000,000 | 31 December 2016 est. |
| 11 | Canada | $1,277,000,000,000 | 31 December 2016 est. |
| 12 | China | $1,227,000,000,000 | 31 December 2016 est. |
| 13 | Belgium | $1,016,000,000,000 | 31 December 2016 est. |
| 14 | Spain | $696,900,000,000 | 31 December 2016 est. |
| 15 | Singapore | $682,400,000,000 | 31 December 2016 est. |
| 16 | Italy | $584,100,000,000 | 31 December 2016 est. |
| 17 | Sweden | $479,300,000,000 | 31 December 2016 est. |
| 18 | Australia | $441,400,000,000 | 31 December 2016 est. |
| 19 | Russia | $418,000,000,000 | 31 December 2016 est. |
| 20 | Taiwan | $354,000,000,000 | 31 December 2016 est. |
| 21 | Brazil | $319,100,000,000 | 31 December 2016 est. |
| 22 | Korea, South | $310,300,000,000 | 31 December 2016 est. |
| 23 | Austria | $300,500,000,000 | 31 December 2016 est. |
| 24 | Denmark | $235,400,000,000 | 31 December 2016 est. |
| 25 | Hungary | $222,600,000,000 | 31 December 2016 est. |
| 26 | Norway | $191,700,000,000 | 31 December 2016 est. |
| 27 | Cyprus | $175,300,000,000 | 31 December 2016 est. |
| 28 | South Africa | $172,800,000,000 | 31 December 2016 est. |
| 29 | Finland | $153,700,000,000 | 31 December 2016 est. |
| 30 | Mexico | $148,600,000,000 | 31 December 2016 est. |
| 31 | India | $144,100,000,000 | 31 December 2016 est. |
| 32 | Malaysia | $126,900,000,000 | 31 December 2016 est. |
| 33 | United Arab Emirates | $114,600,000,000 | 31 December 2016 est. |
| 34 | Israel | $98,110,000,000 | 31 December 2016 est. |
| 35 | Thailand | $96,270,000,000 | 31 December 2016 est. |
| 36 | Chile | $90,540,000,000 | 31 December 2016 est. |
| 37 | Portugal | $84,730,000,000 | 31 December 2016 est. |
| 38 | Kuwait | $74,130,000,000 | 31 December 2016 est. |
| 39 | Poland | $64,520,000,000 | 31 December 2016 est. |
| 40 | New Zealand | $59,080,000,000 | 31 December 2009 |
| 41 | Qatar | $57,630,000,000 | 31 December 2016 est. |
| 42 | Colombia | $51,820,000,000 | 31 December 2016 est. |
| 43 | Saudi Arabia | $46,450,000,000 | 31 December 2016 est. |
| 44 | Philippines | $45,380,000,000 | 31 December 2016 est. |
| 45 | Czechia | $43,090,000,000 | 31 December 2016 est. |
| 46 | Argentina | $39,740,000,000 | 31 December 2016 est. |
| 47 | Turkey | $38,310,000,000 | 31 December 2016 est. |
| 48 | Greece | $32,910,000,000 | 31 December 2016 est. |
| 49 | Kazakhstan | $32,740,000,000 | 31 December 2016 est. |
| 50 | Venezuela | $31,120,000,000 | 31 December 2016 est. |
| 51 | Angola | $23,020,000,000 | 31 December 2016 est. |
| 52 | Libya | $22,190,000,000 | 31 December 2016 est. |
| 53 | Indonesia | $18,420,000,000 | 31 December 2016 est. |
| 54 | Iceland | $17,640,000,000 | 31 December 2016 est. |
| 55 | Azerbaijan | $17,050,000,000 | 31 December 2016 est. |
| 56 | Ghana | $16,620,000,000 | 31 December 2013 est. |
| 57 | Tajikistan | $16,300,000,000 | 31 December 2009 |
| 58 | Nigeria | $15,650,000,000 | 31 December 2016 est. |
