CIA - The World Factbook --  Stock of direct foreign investment - abroad   

This entry gives the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | country | Stock of direct foreign investment - abroad | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 3,817,000,000,000 | 31 December 2010 est. |
| 2 | France | $ 1,746,000,000,000 | 31 December 2010 est. |
| 3 | United Kingdom | $ 1,675,000,000,000 | 31 December 2010 est. |
| 4 | Germany | $ 1,427,000,000,000 | 31 December 2010 est. |
| 5 | Netherlands | $ 954,600,000,000 | 31 December 2010 est. |
| 6 | Hong Kong | $ 948,500,000,000 | 31 December 2010 est. |
| 7 | Switzerland | $ 911,500,000,000 | 31 December 2010 est. |
| 8 | Japan | $ 795,700,000,000 | 31 December 2010 est. |
| 9 | Belgium | $ 765,400,000,000 | 31 December 2010 est. |
| 10 | Spain | $ 660,200,000,000 | 31 December 2010 est. |
| 11 | Canada | $ 616,100,000,000 | 31 December 2010 est. |
| 12 | Italy | $ 601,400,000,000 | 31 December 2010 est. |
| 13 | Australia | $ 400,700,000,000 | 31 December 2010 est. |
| 14 | Sweden | $ 336,100,000,000 | 31 December 2010 est. |
| 15 | China | $ 297,600,000,000 | 31 December 2010 est. |
| 16 | Ireland | $ 286,200,000,000 | 31 September 2010 |
| 17 | Russia | $ 274,600,000,000 | 31 December 2010 est. |
| 18 | Austria | $ 269,500,000,000 | 31 December 2010 est. |
| 19 | Norway | $ 213,600,000,000 | 31 December 2010 est. |
| 20 | Denmark | $ 183,000,000,000 | 31 December 2010 est. |
| 21 | Singapore | $ 173,200,000,000 | 31 December 2010 est. |
| 22 | Taiwan | $ 162,900,000,000 | 31 December 2010 est. |
| 23 | Finland | $ 130,600,000,000 | 31 December 2010 est. |
| 24 | Brazil | $ 128,900,000,000 | 31 December 2010 est. |
| 25 | Korea, South | $ 115,600,000,000 | 31 December 2009 |
| 26 | India | $ 91,860,000,000 | 31 December 2010 est. |
| 27 | Malaysia | $ 82,650,000,000 | 31 December 2010 est. |
| 28 | Mexico | $ 78,380,000,000 | 31 December 2010 est. |
| 29 | South Africa | $ 72,970,000,000 | 31 December 2010 est. |
| 30 | Israel | $ 64,970,000,000 | 31 December 2010 est. |
| 31 | Portugal | $ 64,250,000,000 | 31 December 2010 est. |
| 32 | United Arab Emirates | $ 53,430,000,000 | 31 December 2010 est. |
| 33 | Chile | $ 49,690,000,000 | 31 December 2010 est. |
| 34 | Greece | $ 37,880,000,000 | 31 December 2010 est. |
| 35 | Poland | $ 36,840,000,000 | 31 December 2010 est. |
| 36 | Kuwait | $ 36,730,000,000 | 31 December 2010 est. |
| 37 | Indonesia | $ 32,850,000,000 | 31 December 2010 est. |
| 38 | Argentina | $ 30,390,000,000 | 31 December 2010 est. |
| 39 | Thailand | $ 23,450,000,000 | 31 December 2010 est. |
| 40 | Colombia | $ 22,770,000,000 | 31 December 2010 est. |
| 41 | Hungary | $ 22,170,000,000 | 31 December 2010 est. |
| 42 | Cyprus | $ 19,950,000,000 | 31 December 2010 est. |
| 43 | Venezuela | $ 19,890,000,000 | 31 December 2010 est. |
| 44 | Qatar | $ 19,490,000,000 | 31 December 2010 est. |
| 45 | Tajikistan | $ 18,500,000,000 | 31 December 2010 est. |
| 46 | Turkey | $ 16,880,000,000 | 31 December 2010 est. |
| 47 | Czech Republic | $ 15,520,000,000 | 31 December 2010 est. |
| 48 | Libya | $ 15,200,000,000 | 31 December 2010 est. |
| 49 | Saudi Arabia | $ 14,290,000,000 | 31 December 2010 est. |
| 50 | Kazakhstan | $ 13,760,000,000 | 31 December 2010 est. |
| 51 | Nigeria | $ 9,521,000,000 | 31 December 2010 est. |
| 52 | Bahrain | $ 7,883,000,000 | 31 December 2010 est. |
| 53 | Vietnam | $ 7,700,000,000 | 31 December 2009 est. |
| 54 | Slovenia | $ 7,603,000,000 | 31 December 2010 est. |
| 55 | Ecuador | $ 6,848,000,000 | 31 December 2010 est. |
| 56 | Philippines | $ 6,582,000,000 | 31 December 2010 est. |
| 57 | Estonia | $ 6,029,000,000 | 31 December 2010 est. |
| 58 | Azerbaijan | $ 5,790,000,000 | 31 December 2010 est. |
| 59 | Croatia | $ 5,642,000,000 | 31 December 2010 est. |
| 60 | Egypt | $ 5,448,000,000 | 31 December 2010 est. |
| 61 | Angola | $ 5,096,000,000 | 31 December 2010 est. |
| 62 | Cuba | $ 4,138,000,000 | 2006 est. |
| 63 | Trinidad and Tobago | $ 3,829,000,000 | 2007 |
| 64 | Slovakia | $ 2,830,000,000 | 31 December 2010 est. |
| 65 | Ukraine | $ 2,803,000,000 | 31 December 2010 est. |
| 66 | Lithuania | $ 2,117,000,000 | 31 December 2010 est. |
| 67 | Peru | $ 2,095,000,000 | 31 December 2010 est. |
| 68 | Iran | $ 2,075,000,000 | 31 December 2010 est. |
| 69 | Algeria | $ 1,844,000,000 | 31 December 2010 est. |
| 70 | Romania | $ 1,487,000,000 | 31 December 2010 est. |
| 71 | Morocco | $ 1,281,000,000 | 31 December 2010 est. |
| 72 | Malta | $ 1,213,000,000 | 2010 est. |
| 73 | Pakistan | $ 1,148,000,000 | 31 December 2010 est. |
| 74 | Latvia | $ 1,011,000,000 | 31 December 2010 est. |
| 75 | Bulgaria | $ 957,700,000 | 31 December 2010 est. |
| 76 | El Salvador | $ 333,000,000 | 31 December 2010 est. |
| 77 | Kenya | $ 306,400,000 | 31 December 2010 est. |
| 78 | Uruguay | $ 300,000,000 | 2009 est. |
| 79 | Tunisia | $ 285,000,000 | 31 December 2010 est. |
| 80 | Macau | $ 240,000,000 | 2009 est. |
| 81 | Bangladesh | $ 91,200,000 | 31 December 2010 est. |
| 82 | Costa Rica | $ 88,300,000 | 31 December 2010 est. |
| 83 | Moldova | $ 62,440,000 | 1 January 2010 |
| 84 | Dominican Republic | $ 59,000,000 | 31 December 2010 est. |
| 85 | Bolivia | $ 21,000,000 | 31 December 2010 |
