CIA - The World Factbook --  Stock of direct foreign investment - abroad   

This entry gives the cumulative US dollar value of all investments in foreign countries made directly by residents - primarily companies - of the home country, as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | country | Stock of direct foreign investment - abroad | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 4,453,000,000,000 | 31 December 2012 est. |
| 2 | United Kingdom | $ 1,808,000,000,000 | 31 December 2012 est. |
| 3 | Germany | $ 1,788,000,000,000 | 31 December 2012 est. |
| 4 | France | $ 1,497,000,000,000 | 31 December 2012 est. |
| 5 | Switzerland | $ 1,381,000,000,000 | 31 December 2012 est. |
| 6 | Hong Kong | $ 1,310,000,000,000 | 31 December 2012 est. |
| 7 | Belgium | $ 1,185,000,000,000 | 31 December 2012 est. |
| 8 | Japan | $ 1,054,000,000,000 | 31 December 2012 est. |
| 9 | Canada | $ 991,600,000,000 | 31 December 2012 est. |
| 10 | Netherlands | $ 953,800,000,000 | 31 December 2012 est. |
| 11 | Ireland | $ 766,000,000,000 | 31 December 2012 est. |
| 12 | Spain | $ 710,200,000,000 | 31 December 2012 est. |
| 13 | Italy | $ 653,300,000,000 | 31 December 2012 est. |
| 14 | Sweden | $ 527,800,000,000 | 31 December 2012 est. |
| 15 | China | $ 509,000,000,000 | 31 December 2012 est. |
| 16 | Australia | $ 426,000,000,000 | 31 December 2012 est. |
| 17 | Singapore | $ 416,900,000,000 | 31 December 2012 est. |
| 18 | Russia | $ 387,200,000,000 | 31 December 2012 est. |
| 19 | Austria | $ 345,200,000,000 | 31 December 2012 est. |
| 20 | Korea, South | $ 327,500,000,000 | 31 December 2012 |
| 21 | Denmark | $ 241,700,000,000 | 31 December 2012 est. |
| 22 | Norway | $ 241,300,000,000 | 31 December 2012 est. |
| 23 | Taiwan | $ 226,100,000,000 | 31 December 2012 est. |
| 24 | Finland | $ 186,700,000,000 | 31 December 2012 est. |
| 25 | Brazil | $ 177,100,000,000 | 31 December 2012 est. |
| 26 | Mexico | $ 133,000,000,000 | 31 December 2012 est. |
| 27 | Malaysia | $ 120,400,000,000 | 31 December 2012 est. |
| 28 | India | $ 118,100,000,000 | 31 December 2012 est. |
| 29 | Chile | $ 91,300,000,000 | 31 December 2012 est. |
| 30 | South Africa | $ 82,820,000,000 | 31 December 2012 est. |
| 31 | Israel | $ 74,750,000,000 | 31 December 2012 est. |
| 32 | Portugal | $ 71,260,000,000 | 31 December 2012 est. |
| 33 | Poland | $ 70,280,000,000 | 31 December 2012 est. |
| 34 | New Zealand | $ 59,080,000,000 | 31 December 2009 |
| 35 | United Arab Emirates | $ 58,460,000,000 | 31 December 2012 est. |
| 36 | Thailand | $ 56,140,000,000 | 31 December 2012 est. |
| 37 | Kuwait | $ 52,590,000,000 | 31 December 2012 est. |
| 38 | Greece | $ 43,460,000,000 | 31 December 2012 est. |
| 39 | Hungary | $ 41,820,000,000 | 31 December 2012 est. |
| 40 | Argentina | $ 32,910,000,000 | 31 December 2012 est. |
| 41 | Colombia | $ 31,650,000,000 | 31 December 2012 est. |
| 42 | Turkey | $ 30,940,000,000 | 31 December 2012 est. |
| 43 | Qatar | $ 26,860,000,000 | 31 December 2012 est. |
| 44 | Kazakhstan | $ 25,530,000,000 | 31 December 2012 est. |
| 45 | Saudi Arabia | $ 22,120,000,000 | 31 December 2012 est. |
| 46 | Venezuela | $ 21,250,000,000 | 31 December 2012 est. |
| 47 | Tajikistan | $ 18,500,000,000 | 31 December 2010 est. |
| 48 | Libya | $ 17,210,000,000 | 31 December 2012 est. |
| 49 | Czech Republic | $ 15,180,000,000 | 31 December 2012 est. |
| 50 | Indonesia | $ 14,810,000,000 | 31 December 2012 est. |
| 51 | Cyprus | $ 11,160,000,000 | 31 December 2012 est. |
| 52 | Slovakia | $ 11,090,000,000 | 31 December 2012 est. |
| 53 | Angola | $ 9,877,000,000 | 31 December 2012 est. |
| 54 | Bahrain | $ 9,699,000,000 | 31 December 2012 est. |
