CIA - The World Factbook --  Current account balance   

This entry records a country's net trade in goods and services, plus net earnings from rents, interest, profits, and dividends, and net transfer payments (such as pension funds and worker remittances) to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Current account balance | Date of Information |
| --- | --- | --- | --- |
| 1 | Germany | $ 238,500,000,000 | 2012 est. |
| 2 | China | $ 193,100,000,000 | 2012 est. |
| 3 | Saudi Arabia | $ 164,800,000,000 | 2012 est. |
| 4 | Kuwait | $ 80,330,000,000 | 2012 est. |
| 5 | Netherlands | $ 77,020,000,000 | 2012 est. |
| 6 | Norway | $ 71,870,000,000 | 2012 est. |
| 7 | Russia | $ 71,430,000,000 | 2012 est. |
| 8 | United Arab Emirates | $ 66,560,000,000 | 2012 est. |
| 9 | Switzerland | $ 63,820,000,000 | 2012 est. |
| 10 | Qatar | $ 61,590,000,000 | 2012 est. |
| 11 | Japan | $ 60,800,000,000 | 2012 est. |
| 12 | Singapore | $ 51,440,000,000 | 2012 est. |
| 13 | Taiwan | $ 49,920,000,000 | 2012 est. |
| 14 | Korea, South | $ 43,340,000,000 | 2012 est. |
| 15 | Sweden | $ 36,310,000,000 | 2012 est. |
| 16 | Iraq | $ 29,540,000,000 | 2012 est. |
| 17 | Libya | $ 27,170,000,000 | 2012 est. |
| 18 | Nigeria | $ 20,350,000,000 | 2012 est. |
| 19 | Malaysia | $ 18,640,000,000 | 2012 est. |
| 20 | Denmark | $ 17,440,000,000 | 2012 est. |
| 21 | Macau | $ 16,130,000,000 | 2011 est. |
| 22 | Azerbaijan | $ 14,980,000,000 | 2012 est. |
| 23 | Angola | $ 13,850,000,000 | 2012 est. |
| 24 | Algeria | $ 12,300,000,000 | 2012 est. |
| 25 | Venezuela | $ 11,020,000,000 | 2012 est. |
| 26 | Austria | $ 10,600,000,000 | 2012 est. |
| 27 | Ireland | $ 9,245,000,000 | 2012 est. |
| 28 | Vietnam | $ 9,062,000,000 | 2012 est. |
| 29 | Oman | $ 8,312,000,000 | 2012 est. |
| 30 | Philippines | $ 7,126,000,000 | 2012 est. |
| 31 | Hong Kong | $ 6,064,000,000 | 2012 est. |
| 32 | Brunei | $ 3,977,000,000 | 2009 est. |
| 33 | Luxembourg | $ 3,272,000,000 | 2012 est. |
| 34 | Thailand | $ 2,759,000,000 | 2012 est. |
| 35 | Gabon | $ 2,687,000,000 | 2012 est. |
| 36 | Timor-Leste | $ 2,384,000,000 | 2011 est. |
| 37 | Bahrain | $ 2,221,000,000 | 2012 est. |
| 38 | Bolivia | $ 2,127,000,000 | 2012 est. |
| 39 | Slovakia | $ 2,096,000,000 | 2012 est. |
| 40 | Hungary | $ 2,087,000,000 | 2012 est. |
| 41 | Uzbekistan | $ 1,807,000,000 | 2012 est. |
| 42 | Bangladesh | $ 1,754,000,000 | 2012 est. |
| 43 | Slovenia | $ 1,491,000,000 | 2012 est. |
| 44 | Trinidad and Tobago | $ 959,000,000 | 2012 est. |
| 45 | Kazakhstan | $ 640,500,000 | 2012 est. |
| 46 | Turkmenistan | $ 622,700,000 | 2012 est. |
| 47 | Israel | $ 609,000,000 | 2012 est. |
| 48 | British Virgin Islands | $ 362,600,000 | 2010 est. |
| 49 | Nepal | $ 283,900,000 | 2012 est. |
| 50 | Suriname | $ 241,400,000 | 2012 est. |
| 51 | Congo, Republic of the | $ 187,900,000 | 2012 est. |
| 52 | Paraguay | $ 115,600,000 | 2012 est. |
| 53 | Argentina | $ 106,900,000 | 2012 est. |
| 54 | Malta | $ 87,600,000 | 2012 est. |
| 55 | Swaziland | $ 53,000,000 | 2012 est. |
| 56 | Cook Islands | $ 26,670,000 | 2005 |
| 57 | Afghanistan | $ 18,000,000 | 2011 est. |
| 58 | Solomon Islands | $ -1,200,000 | 2012 est. |
| 59 | Tuvalu | $ -7,700,000 | 2010 est. |
| 60 | Palau | $ -20,800,000 | 2010 est. |
| 61 | Belize | $ -27,500,000 | 2012 est. |
| 62 | Micronesia, Federated States of | $ -34,300,000 | FY05 est. |
| 63 | Kiribati | $ -35,010,000 | 2010 est. |
| 64 | Comoros | $ -40,900,000 | 2012 est. |
| 65 | Anguilla | $ -44,800,000 | 2012 est. |
| 66 | Guinea-Bissau | $ -47,400,000 | 2012 est. |
| 67 | Tonga | $ -48,500,000 | 2012 est. |
| 68 | Croatia | $ -51,550,000 | 2012 est. |
| 69 | Dominica | $ -54,900,000 | 2012 est. |
| 70 | Sao Tome and Principe | $ -58,700,000 | 2012 est. |
| 71 | Saint Kitts and Nevis | $ -70,800,000 | 2012 est. |
| 72 | Samoa | $ -76,110,000 | 2011 est. |
| 73 | Antigua and Barbuda | $ -78,500,000 | 2012 est. |
| 74 | Eritrea | $ -110,500,000 | 2012 est. |
| 75 | Vanuatu | $ -128,600,000 | 2012 est. |
| 76 | Cuba | $ -134,400,000 | 2012 est. |
| 77 | Gambia, The | $ -152,500,000 | 2012 est. |
| 78 | Ecuador | $ -177,000,000 | 2012 est. |
| 79 | Saint Lucia | $ -184,400,000 | 2012 est. |
| 80 | Zambia | $ -189,900,000 | 2012 est. |
| 81 | Central African Republic | $ -197,600,000 | 2012 est. |
| 82 | Barbados | $ -204,400,000 | 2012 est. |
| 83 | Seychelles | $ -208,900,000 | 2012 est. |
| 84 | Cabo Verde | $ -209,300,000 | 2012 est. |
| 85 | Grenada | $ -214,400,000 | 2012 est. |
| 86 | Saint Vincent and the Grenadines | $ -215,900,000 | 2012 est. |
| 87 | Djibouti | $ -216,200,000 | 2012 est. |
| 88 | Lithuania | $ -231,000,000 | 2012 est. |
| 89 | Tajikistan | $ -246,200,000 | 2012 est. |
| 90 | Burkina Faso | $ -247,600,000 | 2012 est. |
| 91 | Cote d'Ivoire | $ -266,500,000 | 2012 est. |
| 92 | Estonia | $ -267,700,000 | 2012 est. |
| 93 | Bhutan | $ -311,600,000 | 2012 est. |
| 94 | Malawi | $ -315,100,000 | 2012 est. |
| 95 | Laos | $ -315,500,000 | 2012 est. |
| 96 | Togo | $ -372,200,000 | 2012 est. |
| 97 | Chad | $ -378,900,000 | 2012 est. |
| 98 | Macedonia | $ -385,200,000 | 2012 est. |
| 99 | Guyana | $ -394,800,000 | 2012 est. |
| 100 | Namibia | $ -414,000,000 | 2012 est. |
| 101 | Zimbabwe | $ -416,500,000 | 2012 est. |
| 102 | Fiji | $ -425,100,000 | 2012 est. |
| 103 | Burundi | $ -432,100,000 | 2012 est. |
| 104 | Latvia | $ -473,400,000 | 2012 est. |
| 105 | Moldova | $ -510,900,000 | 2012 est. |
| 106 | Rwanda | $ -569,200,000 | 2012 est. |
| 107 | Lesotho | $ -587,400,000 | 2012 est. |
| 108 | Maldives | $ -600,000,000 | 2012 est. |
| 109 | Bulgaria | $ -669,500,000 | 2012 est. |
| 110 | Benin | $ -684,900,000 | 2012 est. |
| 111 | Mali | $ -737,500,000 | 2012 est. |
| 112 | Iceland | $ -740,000,000 | 2012 est. |
| 113 | Botswana | $ -795,200,000 | 2012 est. |
| 114 | Sierra Leone | $ -862,500,000 | 2012 est. |
| 115 | Liberia | $ -918,800,000 | 2012 est. |
| 116 | Cameroon | $ -956,200,000 | 2012 est. |
| 117 | Yemen | $ -985,000,000 | 2012 est. |
| 118 | Armenia | $ -1,052,000,000 | 2012 est. |
| 119 | Mauritius | $ -1,175,000,000 | 2012 est. |
| 120 | Cambodia | $ -1,208,000,000 | 2012 est. |
| 121 | El Salvador | $ -1,257,000,000 | 2012 est. |
| 122 | Mauritania | $ -1,263,000,000 | 2012 est. |
| 123 | Albania | $ -1,314,000,000 | 2012 est. |
| 124 | Nicaragua | $ -1,350,000,000 | 2012 est. |
| 125 | Haiti | $ -1,358,000,000 | 2012 est. |
| 126 | Bahamas, The | $ -1,424,000,000 | 2012 est. |
| 127 | Niger | $ -1,453,000,000 | 2012 est. |
| 128 | Guatemala | $ -1,489,000,000 | 2012 est. |
| 129 | Kyrgyzstan | $ -1,497,000,000 | 2012 est. |
| 130 | Cyprus | $ -1,506,000,000 | 2012 est. |
| 131 | Senegal | $ -1,618,000,000 | 2012 est. |
| 132 | Bosnia and Herzegovina | $ -1,633,000,000 | 2012 est. |
| 133 | Lebanon | $ -1,663,000,000 | 2012 est. |
| 134 | Belarus | $ -1,688,000,000 | 2012 est. |
| 135 | Honduras | $ -1,744,000,000 | 2012 est. |
| 136 | Guinea | $ -1,754,000,000 | 2012 est. |
| 137 | Burma | $ -1,791,000,000 | 2012 est. |
| 138 | Georgia | $ -1,875,000,000 | 2012 est. |
| 139 | Jamaica | $ -1,905,000,000 | 2012 est. |
| 140 | Montenegro | $ -1,938,000,000 | 2012 est. |
| 141 | Madagascar | $ -1,989,000,000 | 2012 est. |
| 142 | Ethiopia | $ -2,031,000,000 | 2012 est. |
| 143 | Pakistan | $ -2,072,000,000 | 2012 est. |
| 144 | West Bank | $ -2,205,000,000 | 2011 est. |
| 145 | Uganda | $ -2,232,000,000 | 2012 est. |
| 146 | Congo, Democratic Republic of the | $ -2,254,000,000 | 2012 est. |
| 147 | Costa Rica | $ -2,341,000,000 | 2012 est. |
| 148 | Uruguay | $ -2,690,000,000 | 2012 est. |
| 149 | Kosovo | $ -2,880,000,000 | 2012 est. |
| 150 | Equatorial Guinea | $ -2,945,000,000 | 2012 est. |
| 151 | Papua New Guinea | $ -3,030,000,000 | 2012 est. |
| 152 | Panama | $ -3,267,000,000 | 2012 est. |
| 153 | Mongolia | $ -3,362,000,000 | 2012 est. |
| 154 | Portugal | $ -3,365,000,000 | 2012 est. |
| 155 | Finland | $ -3,679,000,000 | 2012 est. |
| 156 | Tunisia | $ -3,773,000,000 | 2012 est. |
| 157 | Sri Lanka | $ -3,931,000,000 | 2012 est. |
| 158 | Dominican Republic | $ -4,037,000,000 | 2012 est. |
