CIA - The World Factbook --  Current account balance   

This entry records a country's net trade in goods and services, plus net earnings from rents, interest, profits, and dividends, and net transfer payments (such as pension funds and worker remittances) to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Current account balance | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 426,100,000,000 | 2008 est. |
| 2 | Germany | $ 243,600,000,000 | 2008 est. |
| 3 | Japan | $ 156,600,000,000 | 2008 est. |
| 4 | Saudi Arabia | $ 132,600,000,000 | 2008 est. |
| 5 | Russia | $ 102,400,000,000 | 2008 est. |
| 6 | Norway | $ 88,340,000,000 | 2008 est. |
| 7 | Kuwait | $ 64,780,000,000 | 2008 est. |
| 8 | European Union | $ 51,400,000,000 | 2008 est. |
| 9 | Netherlands | $ 41,930,000,000 | 2008 est. |
| 10 | Switzerland | $ 41,210,000,000 | 2008 est. |
| 11 | Sweden | $ 40,320,000,000 | 2008 est. |
| 12 | Venezuela | $ 39,210,000,000 | 2008 est. |
| 13 | Libya | $ 37,390,000,000 | 2008 est. |
| 14 | Algeria | $ 35,270,000,000 | 2008 est. |
| 15 | Malaysia | $ 33,760,000,000 | 2008 est. |
| 16 | Hong Kong | $ 30,520,000,000 | 2008 est. |
| 17 | Singapore | $ 25,780,000,000 | 2008 est. |
| 18 | Taiwan | $ 24,890,000,000 | 2008 est. |
| 19 | United Arab Emirates | $ 22,310,000,000 | 2008 est. |
| 20 | Iran | $ 20,190,000,000 | 2008 est. |
| 21 | Angola | $ 17,110,000,000 | 2008 est. |
| 22 | Azerbaijan | $ 16,450,000,000 | 2008 est. |
| 23 | Qatar | $ 15,070,000,000 | 2008 est. |
| 24 | Austria | $ 14,270,000,000 | 2008 est. |
| 25 | Iraq | $ 14,050,000,000 | 2008 est. |
| 26 | Canada | $ 7,610,000,000 | 2008 est. |
| 27 | Brunei | $ 7,101,000,000 | 2007 est. |
| 28 | Argentina | $ 7,077,000,000 | 2008 est. |
| 29 | Kazakhstan | $ 6,978,000,000 | 2008 est. |
| 30 | Denmark | $ 6,938,000,000 | 2008 est. |
| 31 | Uzbekistan | $ 6,257,000,000 | 2008 est. |
| 32 | Oman | $ 5,523,000,000 | 2008 est. |
| 33 | Finland | $ 5,518,000,000 | 2008 est. |
| 34 | Trinidad and Tobago | $ 5,401,000,000 | 2008 est. |
| 35 | Turkmenistan | $ 4,669,000,000 | 2008 est. |
| 36 | Philippines | $ 4,227,000,000 | 2008 est. |
| 37 | Nigeria | $ 3,877,000,000 | 2008 est. |
| 38 | Luxembourg | $ 2,979,000,000 | 2008 est. |
| 39 | Gabon | $ 2,727,000,000 | 2008 est. |
| 40 | Bahrain | $ 2,257,000,000 | 2008 est. |
| 41 | Israel | $ 2,213,000,000 | 2008 est. |
| 42 | Bolivia | $ 2,015,000,000 | 2008 est. |
| 43 | Equatorial Guinea | $ 1,420,000,000 | 2008 est. |
| 44 | Burma | $ 1,281,000,000 | 2008 est. |
