CIA - The World Factbook --  Current account balance   

Current account balance compares a country's net trade in goods and services, plus net earnings, and net transfer payments to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis.

| Rank | country | Current account balance | Date of Information |
| --- | --- | --- | --- |
| 1 | Germany | $ 257,100,000,000 | 2013 est. |
| 2 | China | $ 182,800,000,000 | 2013 est. |
| 3 | Saudi Arabia | $ 132,200,000,000 | 2013 est. |
| 4 | Russia | $ 74,800,000,000 | 2012 est. |
| 5 | Kuwait | $ 69,130,000,000 | 2013 est. |
| 6 | Norway | $ 67,400,000,000 | 2013 est. |
| 7 | Netherlands | $ 65,870,000,000 | 2013 est. |
| 8 | Switzerland | $ 65,600,000,000 | 2013 est. |
| 9 | Taiwan | $ 56,660,000,000 | 2013 est. |
| 10 | Japan | $ 56,600,000,000 | 2013 est. |
| 11 | Korea, South | $ 55,690,000,000 | 2013 est. |
| 12 | Singapore | $ 54,400,000,000 | 2013 est. |
| 13 | United Arab Emirates | $ 52,670,000,000 | 2013 est. |
| 14 | Qatar | $ 47,560,000,000 | 2013 est. |
| 15 | Sweden | $ 39,000,000,000 | 2013 est. |
| 16 | Denmark | $ 19,600,000,000 | 2013 est. |
| 17 | Macau | $ 18,690,000,000 | 2012 est. |
| 18 | Malaysia | $ 16,670,000,000 | 2013 est. |
| 19 | Nigeria | $ 16,160,000,000 | 2013 est. |
| 20 | Azerbaijan | $ 13,280,000,000 | 2013 est. |
| 21 | Iraq | $ 12,850,000,000 | 2013 est. |
| 22 | Angola | $ 10,690,000,000 | 2013 est. |
| 23 | Austria | $ 10,600,000,000 | 2013 est. |
| 24 | Vietnam | $ 8,162,000,000 | 2013 est. |
| 25 | Philippines | $ 7,512,000,000 | 2013 est. |
| 26 | Ireland | $ 7,300,000,000 | 2013 est. |
| 27 | Oman | $ 7,249,000,000 | 2013 est. |
| 28 | Algeria | $ 6,697,000,000 | 2013 est. |
| 29 | Hong Kong | $ 5,614,000,000 | 2013 est. |
| 30 | Israel | $ 5,259,000,000 | 2013 est. |
