CIA - The World Factbook --  Current account balance   

This entry records a country's net trade in goods and services, plus net earnings from rents, interest, profits, and dividends, and net transfer payments (such as pension funds and worker remittances) to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Current account balance | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 305,400,000,000 | 2010 est. |
| 2 | Germany | $ 188,400,000,000 | 2010 est. |
| 3 | Japan | $ 166,500,000,000 | 2010 est. |
| 4 | Russia | $ 71,130,000,000 | 2010 est. |
| 5 | Switzerland | $ 70,360,000,000 | 2010 est. |
| 6 | Saudi Arabia | $ 70,100,000,000 | 2010 est. |
| 7 | Netherlands | $ 60,090,000,000 | 2010 est. |
| 8 | Norway | $ 53,460,000,000 | 2010 est. |
| 9 | Singapore | $ 46,270,000,000 | 2010 est. |
| 10 | Kuwait | $ 43,140,000,000 | 2010 est. |
| 11 | Taiwan | $ 40,620,000,000 | 2010 est. |
| 12 | Korea, South | $ 36,350,000,000 | 2010 est. |
| 13 | Malaysia | $ 34,140,000,000 | 2010 est. |
| 14 | Sweden | $ 28,740,000,000 | 2010 est. |
| 15 | Nigeria | $ 21,850,000,000 | 2010 est. |
| 16 | Denmark | $ 17,080,000,000 | 2010 est. |
| 17 | Libya | $ 16,160,000,000 | 2010 est. |
| 18 | Iran | $ 15,420,000,000 | 2010 est. |
| 19 | Azerbaijan | $ 15,040,000,000 | 2010 est. |
| 20 | Qatar | $ 15,040,000,000 | 2010 est. |
| 21 | Hong Kong | $ 14,800,000,000 | 2010 est. |
| 22 | Venezuela | $ 14,380,000,000 | 2010 est. |
| 23 | Algeria | $ 12,740,000,000 | 2010 est. |
| 24 | Thailand | $ 12,290,000,000 | 2010 est. |
| 25 | Austria | $ 9,700,000,000 | 2010 est. |
| 26 | Philippines | $ 9,510,000,000 | 2010 est. |
| 27 | Finland | $ 7,561,000,000 | 2010 est. |
| 28 | Angola | $ 7,202,000,000 | 2010 est. |
| 29 | Israel | $ 6,699,000,000 | 2010 est. |
| 30 | Indonesia | $ 6,294,000,000 | 2010 est. |
| 31 | Macau | $ 6,230,000,000 | 2009 |
| 32 | United Arab Emirates | $ 6,053,000,000 | 2010 est. |
| 33 | Belgium | $ 6,000,000,000 | 2010 est. |
| 34 | Uzbekistan | $ 5,843,000,000 | 2010 est. |
| 35 | Kazakhstan | $ 4,319,000,000 | 2010 est. |
| 36 | Luxembourg | $ 4,200,000,000 | 2010 est. |
| 37 | Brunei | $ 3,977,000,000 | 2009 est. |
| 38 | Trinidad and Tobago | $ 3,944,000,000 | 2010 est. |
| 39 | Chile | $ 3,802,000,000 | 2010 est. |
| 40 | Bangladesh | $ 3,734,000,000 | 2010 est. |
| 41 | Argentina | $ 3,573,000,000 | 2010 est. |
| 42 | Gabon | $ 3,513,000,000 | 2010 est. |
