CIA - The World Factbook --  Current account balance   

This entry records a country's net trade in goods and services, plus net earnings from rents, interest, profits, and dividends, and net transfer payments (such as pension funds and worker remittances) to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Current account balance | Date of Information |
| --- | --- | --- | --- |
| 1 | Germany | $ 208,100,000,000 | 2012 est. |
| 2 | China | $ 170,800,000,000 | 2012 est. |
| 3 | Saudi Arabia | $ 150,000,000,000 | 2012 est. |
| 4 | Russia | $ 85,060,000,000 | 2012 est. |
| 5 | Japan | $ 84,700,000,000 | 2012 est. |
| 6 | Netherlands | $ 77,200,000,000 | 2012 est. |
| 7 | Norway | $ 76,100,000,000 | 2012 est. |
| 8 | Kuwait | $ 73,260,000,000 | 2012 est. |
| 9 | Switzerland | $ 66,100,000,000 | 2012 est. |
| 10 | Qatar | $ 58,570,000,000 | 2012 est. |
| 11 | Singapore | $ 44,870,000,000 | 2012 est. |
| 12 | Taiwan | $ 40,880,000,000 | 2012 est. |
| 13 | Sweden | $ 37,560,000,000 | 2012 est. |
| 14 | Libya | $ 33,320,000,000 | 2012 est. |
| 15 | United Arab Emirates | $ 26,760,000,000 | 2012 est. |
| 16 | Malaysia | $ 24,180,000,000 | 2012 est. |
| 17 | Korea, South | $ 22,100,000,000 | 2012 est. |
| 18 | Iraq | $ 20,630,000,000 | 2012 est. |
| 19 | Venezuela | $ 20,600,000,000 | 2012 est. |
| 20 | Algeria | $ 19,950,000,000 | 2012 est. |
| 21 | Denmark | $ 18,600,000,000 | 2012 est. |
| 22 | Angola | $ 17,090,000,000 | 2012 est. |
| 23 | Macau | $ 17,010,000,000 | 2011 est. |
| 24 | Hong Kong | $ 12,870,000,000 | 2012 est. |
| 25 | Kazakhstan | $ 12,690,000,000 | 2012 est. |
| 26 | Azerbaijan | $ 12,300,000,000 | 2012 est. |
| 27 | Philippines | $ 12,150,000,000 | 2012 est. |
| 28 | Oman | $ 10,220,000,000 | 2012 est. |
| 29 | Austria | $ 8,170,000,000 | 2012 est. |
| 30 | Nigeria | $ 6,158,000,000 | 2012 est. |
| 31 | Brunei | $ 3,977,000,000 | 2009 est. |
| 32 | Gabon | $ 3,747,000,000 | 2012 est. |
| 33 | Ireland | $ 3,500,000,000 | 2012 est. |
| 34 | Uzbekistan | $ 3,284,000,000 | 2012 est. |
| 35 | Bahrain | $ 2,846,000,000 | 2012 est. |
| 36 | Trinidad and Tobago | $ 2,677,000,000 | 2012 est. |
| 37 | Timor-Leste | $ 2,375,000,000 | 2011 est. |
| 38 | Hungary | $ 2,146,000,000 | 2012 est. |
| 39 | Turkmenistan | $ 1,496,000,000 | 2012 est. |
| 40 | Argentina | $ 1,433,000,000 | 2012 est. |
