CIA - The World Factbook 2000 -- Transportation - note

| Country | Transportation - note |
| --- | --- |
| **Arctic Ocean** | sparse network of air, ocean, river, and land routes; the Northwest Passage (North America) and Northern Sea Route (Eurasia) are important seasonal waterways |
| **Atlantic Ocean** | Kiel Canal and Saint Lawrence Seaway are two important waterways |
| **Baker Island** | there is a day beacon near the middle of the west coast |
| **Georgia** | transportation network is in poor condition and disrupted by ethnic conflict, criminal activities, and fuel shortages; network lacks maintenance and repair |
| **Howland Island** | Earhart Light is a day beacon near the middle of the west coast that was partially destroyed during World War II, but has since been rebuilt; named in memory of famed aviatrix Amelia EARHART |
| **Jarvis Island** | there is a day beacon near the middle of the west coast |
| **Southern Ocean** | Drake Passage offers alternative to transit through the Panama Canal |
| **Wake Island: | formerly an important commercial aviation base, now occasionally used by US military, some commercial cargo planes, and for emergency landings** | 



