CIA - The World Factbook -- Field Listing - Transportation - note

| Country | Transportation - note |
| --- | --- |
| **Arctic Ocean** | sparse network of air, ocean, river, and land routes; the Northwest Passage (North America) and Northern Sea Route (Eurasia) are important seasonal waterways |
| **Atlantic Ocean** | Kiel Canal and Saint Lawrence Seaway are two important waterways; significant domestic commercial and recreational use of Intracoastal Waterway on central and south Atlantic seaboard and Gulf of Mexico coast of US; the International Maritime Bureau reports the territorial waters of littoral states and offshore Atlantic waters as high risk for piracy and armed robbery against ships, particularly in the Gulf of Guinea off West Africa, the east coast of Brazil, and the Caribbean Sea; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crews have been robbed and stores or cargoes stolen |
| **Bangladesh** | the International Maritime Bureau reports the territorial waters of Bangladesh as high risk for armed robbery against ships; numerous commercial vessels have been attacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Brazil** | the International Maritime Bureau reports the territorial and offshore waters in the Atlantic Ocean as a significant risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Djibouti** | the International Maritime Bureau reports offshore waters in the Gulf of Aden are high risk for piracy; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo are held for ransom |
| **French Southern and Antarctic Lands** | *aids to navigation - lighthouses:* Europa Island 18m; Juan de Nova Island (W side) 37m; Tromelin Island (NW point) 11m (all in the Iles Eparses district) |
| **Georgia** | large parts of transportation network are in poor condition because of lack of maintenance and repair |
| **Indian Ocean** | the International Maritime Bureau reports the territorial waters of littoral states and offshore waters as high risk for piracy and armed robbery against ships, particularly in the Gulf of Aden, along the east coast of Africa, the Bay of Bengal, and the Strait of Malacca; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crew and passengers are often held for ransom, murdered, or cast adrift |
| **Indonesia** | the International Maritime Bureau reports the territorial and offshore waters in the Strait of Malacca and South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Malaysia** | the International Maritime Bureau reports the territorial and offshore waters in the Strait of Malacca and South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Nigeria** | the International Maritime Bureau reports the territorial and offshore waters in the Niger Delta and Gulf of Guinea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Pacific Ocean** | Inside Passage offers protected waters from southeast Alaska to Puget Sound (Washington state); the International Maritime Bureau reports the territorial waters of littoral states and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crew and passengers are often held for ransom, murdered, or cast adrift |
| **Philippines** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Saint Barthelemy** | nearest airport for international flights is Princess Juliana International Airport (SXM) located in Sint Maarten (Netherlands Antilles) |
| **Saint Helena** | there is no air connection to Saint Helena or Tristan da Cunha; an international airport for Saint Helena is in development for 2010 |
| **Saint Martin** | nearest airport for international flights is Princess Juliana International Airport (SXM) located in Sint Maarten |
| **Singapore** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Somalia** | the International Maritime Bureau reports the territorial and offshore waters in the Gulf of Aden and Indian Ocean are high risk for piracy and armed robbery against ships; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo are held for ransom |
| **Southern Ocean** | Drake Passage offers alternative to transit through the Panama Canal |
| **Tanzania** | the International Maritime Bureau reports the territorial and offshore waters in the Indian Ocean are high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Venezuela** | the International Maritime Bureau reports the territorial and offshore waters in the Caribbean Sea as a significant risk for piracy and armed robbery against ships; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Vietnam** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Wake Island** | there are no commercial or civilian flights to and from Wake Island, except in direct support of island missions; emergency landing is available |
| **Yemen** | the International Maritime Bureau reports offshore waters in the Gulf of Aden are high risk for piracy; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo are held for ransom |

This page was last updated on 18 December 2008
 
