FIELD LISTING :: TRANSPORTATION - NOTE

| Country | TRANSPORTATION - NOTE |
| --- | --- |
| **Antarctica** | US coastal stations include McMurdo (77 51 S, 166 40 E) and Palmer (64 43 S, 64 03 W); government use only except by permit (see Permit Office under "Legal System"); all ships at port are subject to inspection in accordance with Article 7, Antarctic Treaty; relevant legal instruments and authorization procedures adopted by the states parties to the Antarctic Treaty regulating access to the Antarctic Treaty area to all areas between 60 and 90 degrees of latitude south have to be complied with (see "Legal System"); The Hydrographic Commission on Antarctica (HCA), a commission of the International Hydrographic Organization (IHO), is responsible for hydrographic surveying and nautical charting matters in Antarctic Treaty area; it coordinates and facilitates provision of accurate and appropriate charts and other aids to navigation in support of safety of navigation in region; membership of HCA is open to any IHO Member State whose government has acceded to the Antarctic Treaty and which contributes resources or data to IHO Chart coverage of the area |
| **Arctic Ocean** | sparse network of air, ocean, river, and land routes; the Northwest Passage (North America) and Northern Sea Route (Eurasia) are important seasonal waterways |
| **Atlantic Ocean** | Kiel Canal and Saint Lawrence Seaway are two important waterways; significant domestic commercial and recreational use of Intracoastal Waterway on central and south Atlantic seaboard and Gulf of Mexico coast of US; the International Maritime Bureau reports the territorial waters of littoral states and offshore Atlantic waters as high risk for piracy and armed robbery against ships, particularly in the Gulf of Guinea off West Africa; in 2014, 41 commercial vessels were attacked in the Gulf of Guinea with 5 hijacked and 144 crew members taken hostage; hijacked vessels are often disguised and cargoes stolen; crews have been robbed and stores or cargoes stolen |
| **Bangladesh** | the International Maritime Bureau reports the territorial waters of Bangladesh remain a risk for armed robbery against ships; in 2014, attacks against commercial vessels increased to 21 over 12 such incidents in 2013 |
| **Djibouti** | while attacks continued to decrease, with only 4 in 2014, the International Maritime Bureau reports offshore waters in the Gulf of Aden remain a high risk for piracy; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators, including the use of on-board armed security teams, contributed to the drop in incidents |
| **Ecuador** | the International Maritime Bureau continues to report the territorial and offshore waters as at risk for piracy and armed robbery against ships; vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
| **Howland Island** | Earhart Light, a day beacon near the middle of the west coast, was partially destroyed during World War II but rebuilt during the 1960s; today it is crumbling and in poor repair; named in memory of famed aviatrix Amelia EARHART |
| **Indian Ocean** | although the number of reported incidents of piracy have dropped dramatically in 2014, the International Maritime Bureau continues to report the territorial waters of littoral states and offshore waters as high risk for piracy and armed robbery against ships, particularly in the Gulf of Aden, along the east coast of Africa, the Bay of Bengal, and the Strait of Malacca; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators, including the use of on-board armed security teams, have reduced incidents of piracy; in response, Somali-based pirates, using hijacked fishing trawlers as "mother ships" to extend their range, shifted operations as far south as the Mozambique Channel, eastward to the vicinity of the Maldives, and northeastward to the Strait of Hormuz |
| **Indonesia** | the International Maritime Bureau continues to report the territorial and offshore waters in the Strait of Malacca and South China Sea as high risk for piracy and armed robbery against ships; attacks have increased yearly since 2009; in 2014, 100 commercial vessels were attacked and 90 crew members taken hostage; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Jarvis Island** | there is a day beacon near the middle of the west coast |
| **Malaysia** | the International Maritime Bureau reports that the territorial and offshore waters in the Strait of Malacca and South China Sea remain high risk for piracy and armed robbery against ships; in the past, commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; 24 attacks were reported in 2014 |
| **Midway Islands** | Henderson Field on Sand Island serves as an emergency landing site for aircraft crossing the Pacific Ocean |
| **Nigeria** | the International Maritime Bureau reports the territorial and offshore waters in the Niger Delta and Gulf of Guinea as high risk for piracy and armed robbery of ships; in 2014, 18 commercial vessels were boarded or attacked compared with 31 attacks in 2013; crews were robbed and stores or cargoes stolen; Nigerian pirates have extended the range of their attacks to as far away as Cote d'Ivoire |
| **Pacific Ocean** | the Inside Passage offers protected waters from southeast Alaska to Puget Sound (Washington state); the International Maritime Bureau reports the territorial waters of littoral states and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships accounting for 55% of all attacks in 2014; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crew and passengers are often held for ransom, murdered, or cast adrift |
| **Philippines** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Saint Barthelemy** | nearest airport for international flights is Princess Juliana International Airport (SXM) located on Sint Maarten |
