CIA - The World Factbook -- Field Listing :: Transportation - note   

This entry includes miscellaneous transportation information of significance not included elsewhere.

| Country | Transportation - note |
| --- | --- |
| **Antarctica** | US coastal stations include McMurdo (77 51 S, 166 40 E) and Palmer (64 43 S, 64 03 W); government use only except by permit (see Permit Office under "Legal System"); all ships at port are subject to inspection in accordance with Article 7, Antarctic Treaty; relevant legal instruments and authorization procedures adopted by the states parties to the Antarctic Treaty regulating access to the Antarctic Treaty area to all areas between 60 and 90 degrees of latitude south have to be complied with (see "Legal System"); The Hydrographic Commission on Antarctica (HCA), a commission of the International Hydrographic Organization (IHO), is responsible for hydrographic surveying and nautical charting matters in Antarctic Treaty area; it coordinates and facilitates provision of accurate and appropriate charts and other aids to navigation in support of safety of navigation in region; membership of HCA is open to any IHO Member State whose government has acceded to the Antarctic Treaty and which contributes resources or data to IHO Chart coverage of the area |
| **Arctic Ocean** | sparse network of air, ocean, river, and land routes; the Northwest Passage (North America) and Northern Sea Route (Eurasia) are important seasonal waterways |
| **Atlantic Ocean** | Kiel Canal and Saint Lawrence Seaway are two important waterways; significant domestic commercial and recreational use of Intracoastal Waterway on central and south Atlantic seaboard and Gulf of Mexico coast of US; the International Maritime Bureau reports the territorial waters of littoral states and offshore Atlantic waters as high risk for piracy and armed robbery against ships, particularly in the Gulf of Guinea off West Africa, the east coast of Brazil, and the Caribbean Sea; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crews have been robbed and stores or cargoes stolen |
| **Bangladesh** | the International Maritime Bureau reports the territorial waters of Bangladesh remain a high risk for armed robbery against ships; attacks against vessels increased in 2010 for the second consecutive year; 23 commercial vessels were attacked both at anchor and while underway; crews were robbed and stores or cargoes stolen |
| **Brazil** | the International Maritime Bureau reports that the territorial and offshore waters in the Atlantic Ocean remain a significant risk for piracy and armed robbery against ships; 2010 saw an 80% increase in attacks over 2009; numerous commercial vessels were attacked and hijacked both at anchor and while underway; crews were robbed and stores or cargoes stolen |
| **Djibouti** | the International Maritime Bureau reports offshore waters in the Gulf of Aden are high risk for piracy; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; crew, passengers, and cargo are held for ransom; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators reduced the incidence of piracy in that body of water by more than half in 2010 |
| **French Southern and Antarctic Lands** | *aids to navigation - lighthouses:* Europa Island 18 m; Juan de Nova Island (W side) 37 m; Tromelin Island (NW point) 11m (all in the Iles Eparses district) |
| **Georgia** | large parts of transportation network are in poor condition because of lack of maintenance and repair |
| **Indian Ocean** | the International Maritime Bureau reports the territorial waters of littoral states and offshore waters as high risk for piracy and armed robbery against ships, particularly in the Gulf of Aden, along the east coast of Africa, the Bay of Bengal, and the Strait of Malacca; numerous vessels, including commercial shipping and pleasure craft, have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crew and passengers are often held for ransom, murdered, or cast adrift; the presence of several naval task forces in the Gulf of Aden and additional anti-piracy measures on the part of ship operators have reduced the piracy incidents in that body of water by more than half in 2010; in response, Somali-based pirates, using hijacked fishing trawlers as "mother ships" to extend their range, shifted operations as far south as the Mozambique Channel and eastward to the vicinity of the Maldives |
| **Indonesia** | the International Maritime Bureau reports the territorial and offshore waters in the Strait of Malacca and South China Sea as high risk for piracy and armed robbery against ships; 2010 saw the highest levels of armed robbery against ships since 2007; 40 commercial vessels were attacked, boarded, or hijacked both at anchor or while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Malaysia** | the International Maritime Bureau reports that the territorial and offshore waters in the Strait of Malacca and South China Sea remain high risk for piracy and armed robbery against ships; in the past, commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; increased naval patrols since 2005 in the Strait of Malacca resulted in no reported incidents in 2010 |
| **Nigeria** | the International Maritime Bureau reports the territorial and offshore waters in the Niger Delta and Gulf of Guinea as high risk for piracy and armed robbery against ships; in 2010, 19 commercial vessels were boarded or attacked with most occurring in the vicinity of the port of Lagos; crews were robbed and stores or cargoes stolen |
| **Pacific Ocean** | the Inside Passage offers protected waters from southeast Alaska to Puget Sound (Washington state); the International Maritime Bureau reports the territorial waters of littoral states and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargoes stolen; crew and passengers are often held for ransom, murdered, or cast adrift |
| **Philippines** | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift |
| **Saint Barthelemy** | nearest airport for international flights is Princess Juliana International Airport (SXM) located in Sint Maarten |
