CIA - The World Factbook -- Field Listing - Industries

| Country | Industries |
| --- | --- |
| **Afghanistan** | small-scale production of textiles, soap, furniture, shoes, fertilizer, cement; handwoven carpets; natural gas, coal, copper |
| **Albania** | food processing, textiles and clothing; lumber, oil, cement, chemicals, mining, basic metals, hydropower |
| **Algeria** | petroleum, natural gas, light industries, mining, electrical, petrochemical, food processing |
| **American Samoa** | tuna canneries (largely supplied by foreign fishing vessels), handicrafts |
| **Andorra** | tourism (particularly skiing), cattle raising, timber, banking |
| **Angola** | petroleum; diamonds, iron ore, phosphates, feldspar, bauxite, uranium, and gold; cement; basic metal products; fish processing; food processing; brewing; tobacco products; sugar; textiles |
| **Anguilla** | tourism, boat building, offshore financial services |
| **Antigua and Barbuda** | tourism, construction, light manufacturing (clothing, alcohol, household appliances) |
| **Argentina** | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| **Armenia** | metal-cutting machine tools, forging-pressing machines, electric motors, tires, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, gem cutting, jewelry manufacturing, software development, food processing, brandy |
| **Aruba** | tourism, transshipment facilities, oil refining |
| **Australia** | mining, industrial and transportation equipment, food processing, chemicals, steel |
| **Austria** | construction, machinery, vehicles and parts, food, chemicals, lumber and wood processing, paper and paperboard, communications equipment, tourism |
| **Azerbaijan** | petroleum and natural gas, petroleum products, oilfield equipment; steel, iron ore, cement; chemicals and petrochemicals; textiles |
| **Bahamas, The** | tourism, banking, e-commerce, cement, oil refining and transshipment, salt, rum, aragonite, pharmaceuticals, spiral-welded steel pipe |
| **Bahrain** | petroleum processing and refining, aluminum smelting, offshore banking, ship repairing; tourism |
| **Bangladesh** | cotton textiles, jute, garments, tea processing, paper newsprint, cement, chemical fertilizer, light engineering, sugar |
| **Barbados** | tourism, sugar, light manufacturing, component assembly for export |
| **Belarus** | metal-cutting machine tools, tractors, trucks, earthmovers, motorcycles, television sets, chemical fibers, fertilizer, textiles, radios, refrigerators |
| **Belgium** | engineering and metal products, motor vehicle assembly, processed food and beverages, chemicals, basic metals, textiles, glass, petroleum, coal |
| **Belize** | garment production, food processing, tourism, construction |
| **Benin** | textiles, food processing, chemical production, construction materials (2001) |
| **Bermuda** | tourism, international business, light manufacturing |
| **Bhutan** | cement, wood products, processed fruits, alcoholic beverages, calcium carbide |
| **Bolivia** | mining, smelting, petroleum, food and beverages, tobacco, handicrafts, clothing |
| **Bosnia and Herzegovina** | steel, coal, iron ore, lead, zinc, manganese, bauxite, vehicle assembly, textiles, tobacco products, wooden furniture, tank and aircraft assembly, domestic appliances, oil refining (2001) |
| **Botswana** | diamonds, copper, nickel, salt, soda ash, potash; livestock processing; textiles |
| **Brazil** | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
