CIA - The World Factbook 2000 -- Industries

| Country | Industries |
| --- | --- |
| **Afghanistan** | small-scale production of textiles, soap, furniture, shoes, fertilizer, and cement; handwoven carpets; natural gas, oil, coal, copper |
| **Albania** | food processing, textiles and clothing; lumber, oil, cement, chemicals, mining, basic metals, hydropower |
| **Algeria** | petroleum, natural gas, light industries, mining, electrical, petrochemical, food processing |
| **American Samoa** | tuna canneries (largely dependent on foreign fishing vessels), handicrafts |
| **Andorra** | tourism (particularly skiing), cattle raising, timber, tobacco, banking |
| **Angola** | petroleum; diamonds, iron ore, phosphates, feldspar, bauxite, uranium, and gold; cement; basic metal products; fish processing; food processing; brewing; tobacco products; sugar; textiles |
| **Anguilla** | tourism, boat building, offshore financial services |
| **Antigua and Barbuda** | tourism, construction, light manufacturing (clothing, alcohol, household appliances) |
| **Argentina** | food processing, motor vehicles, consumer durables, textiles, chemicals and petrochemicals, printing, metallurgy, steel |
| **Armenia** | metal-cutting machine tools, forging-pressing machines, electric motors, tires, knitted wear, hosiery, shoes, silk fabric, washing machines, chemicals, trucks, watches, instruments, microelectronics |
| **Aruba** | tourism, transshipment facilities, oil refining |
| **Australia** | mining, industrial and transportation equipment, food processing, chemicals, steel |
| **Austria** | construction, machinery, vehicles and parts, food, chemicals, lumber and wood processing, paper and paperboard, communications equipment, tourism (1997) |
| **Azerbaijan** | petroleum and natural gas, petroleum products, oilfield equipment; steel, iron ore, cement; chemicals and petrochemicals; textiles |
| **Bahamas, The** | tourism, banking, cement, oil refining and transshipment, salt, rum, aragonite, pharmaceuticals, spiral-welded steel pipe |
| **Bahrain** | petroleum processing and refining, aluminum smelting, offshore banking, ship repairing; tourism |
| **Bangladesh** | cotton textiles, jute, garments, tea processing, paper newsprint, cement, chemical fertilizer, light engineering, sugar |
| **Barbados** | tourism, sugar, light manufacturing, component assembly for export |
| **Belarus** | metal-cutting machine tools, tractors, trucks, earth movers, motorcycles, TV sets, chemical fibers, fertilizer, textiles, radios, refrigerators |
| **Belgium** | engineering and metal products, motor vehicle assembly, processed food and beverages, chemicals, basic metals, textiles, glass, petroleum, coal |
| **Belize** | garment production, food processing, tourism, construction |
| **Benin** | textiles, cigarettes; beverages, food; construction materials, petroleum |
| **Bermuda** | tourism, finance, insurance, structural concrete products, paints, perfumes, pharmaceuticals, ship repairing |
| **Bhutan** | cement, wood products, processed fruits, alcoholic beverages, calcium carbide |
| **Bolivia** | mining, smelting, petroleum, food and beverages, tobacco, handicrafts, clothing |
| **Bosnia and Herzegovina** | steel, coal, iron ore, lead, zinc, manganese, bauxite, vehicle assembly, textiles, tobacco products, wooden furniture, tank and aircraft assembly, domestic appliances, oil refining (much of capacity damaged or shut down) (1995) |
| **Botswana** | diamonds, copper, nickel, coal, salt, soda ash, potash; livestock processing |
| **Brazil** | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
| **British Virgin Islands** | tourism, light industry, construction, rum, concrete block, offshore financial center |
| **Brunei** | petroleum, petroleum refining, liquefied natural gas, construction |
| **Bulgaria** | machine building and metal working, food processing, chemicals, construction materials, ferrous and nonferrous metals, nuclear fuel |
| **Burkina Faso** | cotton lint, beverages, agricultural processing, soap, cigarettes, textiles, gold |
| **Burma** | agricultural processing; textiles and footwear; wood and wood products; copper, tin, tungsten, iron; construction materials; pharmaceuticals; fertilizer |
