CIA - The World Factbook --  Oil - proved reserves   

This entry is the stock of proved reserves of crude oil in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 266,700,000,000 | 1 January 2009 est. |
| 2 | Canada | 178,100,000,000 | 1 January 2009 est. |
| 3 | Iran | 136,200,000,000 | 1 January 2009 est. |
| 4 | Iraq | 115,000,000,000 | 1 January 2009 est. |
| 5 | Kuwait | 104,000,000,000 | 1 January 2009 est. |
| 6 | Venezuela | 99,380,000,000 | 1 January 2009 est. |
| 7 | United Arab Emirates | 97,800,000,000 | 1 January 2009 est. |
| 8 | Russia | 60,000,000,000 | 1 January 2009 est. |
| 9 | Libya | 43,660,000,000 | 1 January 2009 est. |
| 10 | Nigeria | 36,220,000,000 | 1 January 2009 est. |
| 11 | Kazakhstan | 30,000,000,000 | 1 January 2009 est. |
| 12 | United States | 21,320,000,000 | 1 January 2009 est. |
| 13 | China | 16,000,000,000 | 1 January 2009 est. |
| 14 | Qatar | 15,210,000,000 | 1 January 2009 est. |
| 15 | Brazil | 12,620,000,000 | 1 January 2009 est. |
| 16 | Algeria | 12,200,000,000 | 1 January 2009 est. |
| 17 | Mexico | 10,500,000,000 | 1 January 2009 est. |
| 18 | Angola | 9,040,000,000 | 1 January 2009 est. |
| 19 | Azerbaijan | 7,000,000,000 | 1 January 2009 est. |
| 20 | Norway | 6,680,000,000 | 1 January 2009 est. |
| 21 | European Union | 5,718,000,000 | 1 January 2008 |
| 22 | India | 5,625,000,000 | 1 January 2009 est. |
| 23 | Oman | 5,500,000,000 | 1 January 2009 est. |
| 24 | Sudan | 5,000,000,000 | 1 January 2009 est. |
| 25 | Ecuador | 4,660,000,000 | 1 January 2009 est. |
| 26 | Malaysia | 4,000,000,000 | 1 January 2009 est. |
| 27 | Indonesia | 3,990,000,000 | 1 January 2009 est. |
| 28 | Egypt | 3,700,000,000 | 1 January 2009 est. |
| 29 | United Kingdom | 3,410,000,000 | 1 January 2009 est. |
| 30 | Yemen | 3,000,000,000 | 1 January 2009 est. |
| 31 | Argentina | 2,616,000,000 | 1 January 2009 est. |
| 32 | Syria | 2,500,000,000 | 1 January 2009 est. |
| 33 | Gabon | 2,000,000,000 | 1 January 2009 est. |
| 34 | Congo, Republic of the | 1,600,000,000 | 1 January 2009 est. |
| 35 | Australia | 1,500,000,000 | 1 January 2009 est. |
| 36 | Chad | 1,500,000,000 | 1 January 2009 est. |
| 37 | Colombia | 1,355,000,000 | 1 January 2009 est. |
| 38 | Brunei | 1,100,000,000 | 1 January 2009 est. |
| 39 | Equatorial Guinea | 1,100,000,000 | 1 January 2009 est. |
| 40 | Denmark | 1,060,000,000 | 1 January 2009 est. |
| 41 | Trinidad and Tobago | 728,300,000 | 1 January 2009 est. |
| 42 | Romania | 600,000,000 | 1 January 2009 est. |
| 43 | Turkmenistan | 600,000,000 | 1 January 2009 est. |
| 44 | Vietnam | 600,000,000 | 1 January 2009 est. |
| 45 | Uzbekistan | 594,000,000 | 1 January 2009 est. |
| 46 | Timor-Leste | 553,800,000 | 1 January 2008 |
| 47 | Bolivia | 465,000,000 | 1 January 2009 est. |
| 48 | Thailand | 441,000,000 | 1 January 2009 est. |
| 49 | Tunisia | 425,000,000 | 1 January 2009 est. |
| 50 | Peru | 415,800,000 | 1 January 2009 est. |
| 51 | Italy | 406,500,000 | 1 January 2009 est. |
| 52 | Ukraine | 395,000,000 | 1 January 2009 est. |
| 53 | Pakistan | 339,000,000 | 1 January 2009 est. |
| 54 | Turkey | 300,000,000 | 1 January 2009 est. |
| 55 | Germany | 276,000,000 | 1 January 2009 est. |
| 56 | Cameroon | 200,000,000 | 1 January 2009 est. |
| 57 | Albania | 199,100,000 | 1 January 2009 est. |
| 58 | Belarus | 198,000,000 | 1 January 2009 est. |
| 59 | Congo, Democratic Republic of the | 180,000,000 | 1 January 2009 est. |
| 60 | Chile | 150,000,000 | 1 January 2009 est. |
| 61 | Spain | 150,000,000 | 1 January 2009 est. |
| 62 | Philippines | 138,500,000 | 1 January 2009 est. |
| 63 | Bahrain | 124,600,000 | 1 January 2009 est. |
| 64 | Cuba | 124,000,000 | 1 January 2009 est. |
| 65 | France | 103,300,000 | 1 January 2009 est. |
| 66 | Cote d'Ivoire | 100,000,000 | 1 January 2009 est. |
| 67 | Mauritania | 100,000,000 | 1 January 2009 est. |
| 68 | Netherlands | 100,000,000 | 1 January 2009 est. |
| 69 | Poland | 96,380,000 | 1 January 2009 est. |
| 70 | Papua New Guinea | 88,000,000 | 1 January 2009 est. |
| 71 | Guatemala | 83,070,000 | 1 January 2009 est. |
| 72 | Suriname | 79,600,000 | 1 January 2009 est. |
| 73 | Croatia | 79,300,000 | 1 January 2009 est. |
| 74 | Serbia | 77,500,000 | 1 January 2009 est. |
| 75 | New Zealand | 60,000,000 | 1 January 2009 est. |
| 76 | Austria | 50,000,000 | 1 January 2009 est. |
| 77 | Burma | 50,000,000 | 1 January 2009 est. |
| 78 | Japan | 44,120,000 | 1 January 2009 est. |
| 79 | Kyrgyzstan | 40,000,000 | 1 January 2009 est. |
| 80 | Georgia | 35,000,000 | 1 January 2009 est. |
| 81 | Bangladesh | 28,000,000 | 1 January 2009 est. |
| 82 | Hungary | 20,180,000 | 1 January 2009 est. |
| 83 | Bulgaria | 15,000,000 | 1 January 2009 est. |
| 84 | Czech Republic | 15,000,000 | 1 January 2009 est. |
