Field Listing :: Population distribution :: The World Factbook - Central Intelligence Agency

This entry provides a summary description of the population dispersion within a country. While it may suggest population density, it does not provide density figures.

| Country | Population distribution |
| --- | --- |
| **Afghanistan** | populations tend to cluster in the foothills and periphery of the rugged Hindu Kush range; smaller groups are found in many of the country's interior valleys; in general, the east is more densely settled, while the south is sparsely populated |
| **Albania** | a fairly even distribution, with somewhat higher concentrations of people in the western and central parts of the country |
| **Algeria** | the vast majority of the populace is found in the extreme northern part of the country along the Mediterranean Coast |
| **Andorra** | population is unevenly distributed and is concentrated in the seven urbanized valleys that make up the country's parishes (political administrative divisions) |
| **Angola** | most people live in the western half of the country; urban areas account for the highest concentrations of people, particularly the capital of Luanda |
| **Anguilla** | most of the population is concentrated in The Valley in the center of the island; settlmement is fairly uniform in the southwest, but rather sparce in the northeast |
| **Antigua and Barbuda** | the island of Antigua is home to approximately 97% of the population; nearly the entire population of Barbuda lives in Codrington |
| **Argentina** | one-third of the population lives in Buenos Aires; pockets of agglomeration occur throughout the northern and central parts of the country; Patagonia to the south remains sparsely populated |
| **Armenia** | most of the population is located in the northern half of the country; the capital of Yerevan is home to more than five times as many people as Gyumri, the second largest city in the country |
| **Aruba** | most residents live in or around Oranjestad and San Nicolaas; most settlments tend to be located on the less mountainous western side of the island |
| **Australia** | population is primarily located on the periphery, with the highest concentration of people residing in the east and southeast; a secondary population center is located in and around Perth in the west; of the States and Territories, New South Wales has, by far, the largest population; the interior, or "outback", has a very sparse population |
| **Austria** | the northern and eastern portions of the country are more densely populated; nearly two-thirds of the populace lives in urban areas |
| **Azerbaijan** | highest population density is found in the far eastern area of the county, in and around Baku; apart from smaller urbanized areas, the rest of the country has a fairly light and evenly distributed population |
| **Bahamas, The** | most of the population lives in urban areas, with two-thirds living on New Providence Island where Nassau is located |
| **Bahrain** | smallest population of the Gulf States, but urbanization rate exceeds 90%; largest settlement concentration is found on the far northern end of the island in and around Manamah and Al Muharraq |
| **Barbados** | most densely populated country in the eastern Caribbean; approximately one-third live in urban areas |
| **Belarus** | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| **Belgium** | most of the population concentrated in the northern two-thirds of the country; the southeast is more thinly populated; considered to have one of the highest population densities in the world; approximately 97% live in urban areas |
| **Belize** | approximately 25% to 30% of the population lives in the former capital, Belize City; over half of the overall population is rural; population density is slightly higher in the north and east |
| **Benin** | the population is primarily located in the south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the north remains sparsely populated with higher concentrations of residents in the west |
| **Bermuda** | relatively even population distribution throughout |
| **Bolivia** | a high altitude plain in the west between two cordillera of the Andes, known as the Altiplano, is the focal area for most of the population; a dense settlement pattern is also found in and around the city of Santa Cruz, located on the eastern side of the Andes |
| **Bosnia and Herzegovina** | the northern and central areas of the country are the most densely populated |
| **Botswana** | the population is primarily concentrated in the east with a focus in and around the captial of Gaborone, and the far central-eastern city of Francistown; population density remains low in other areas in the country, especially in the Kalahari to the west |
| **Brazil** | the vast majority of people live along, or relatively near, the Atlantic coast in the east; the population core is in the southeast, anchored by the cities of Sao Paolo, Brasilia, and Rio de Janeiro |
| **British Virgin Islands** | a fairly even distribution throughout the inhabited islands, with the largest islands of Tortola, Anegada, Virgin Gorda, and Jost Van Dyke having the largest populations |
| **Bulgaria** | a fairly even distribution throughout most of the country, with urban areas attracting larger populations |
| **Burkina Faso** | Most of the population is located in the center and south. Nearly 31 percent of the population lives in cities. The capital and largest city is Ouagadougou (Ouaga), with a population of 1.8 million.Â  |
| | (2019) |
