Field Listing :: HIV/AIDS - adult prevalence rate :: The World Factbook - Central Intelligence Agency

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate |
| --- | --- |
| **Afghanistan** | <.1% (2016 est.) |
| **Akrotiri** | NA |
| **Albania** | <.1 (2017 est.) |
| **Algeria** | <.1% (2017 est.) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 1.9% (2017 est.) |
| **Anguilla** | NA |
| **Antigua and Barbuda** | NA |
| **Argentina** | 0.4% (2017 est.) |
| **Armenia** | 0.2% (2017 est.) |
| **Aruba** | NA |
| **Australia** | 0.1% (2017 est.) |
| **Austria** | 0.1% (2017 est.) |
| **Azerbaijan** | 0.1% (2017 est.) |
| **Bahamas, The** | 1.9% (2017 est.) |
| **Bahrain** | <.1% (2017 est.) |
| **Bangladesh** | <.1% (2017 est.) |
| **Barbados** | 1.6% (2017 est.) |
| **Belarus** | 0.4% (2017 est.) |
| **Belgium** | NA |
| **Belize** | 1.9% (2017 est.) |
| **Benin** | 1% (2017 est.) |
| **Bermuda** | NA |
| **Bhutan** | NA |
| **Bolivia** | 0.3% (2017 est.) |
| **Bosnia and Herzegovina** | NA |
| **Botswana** | 22.8% (2017 est.) |
| **Brazil** | 0.6% (2017 est.) |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | <.1% (2017 est.) |
| **Burkina Faso** | 0.8% (2017 est.) |
| **Burma** | 0.7% (2017 est.) |
| **Burundi** | 1.1% (2017 est.) |
| **Cabo Verde** | 0.6% (2017 est.) |
| **Cambodia** | 0.5% (2017 est.) |
| **Cameroon** | 3.7% (2017 est.) |
| **Canada** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | 4% (2017 est.) |
| **Chad** | 1.3% (2017 est.) |
| **Chile** | 0.6% (2017 est.) |
| **China** | NA |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 0.5% (2017 est.) |
| **Comoros** | <.1% (2017 est.) |
| **Congo, Democratic Republic of the** | 0.7% (2017 est.) |
| **Congo, Republic of the** | 3.1% (2017 est.) |
| **Cook Islands** | NA |
| **Costa Rica** | 0.4% (2017 est.) |
| **Cote d'Ivoire** | 2.8% (2017 est.) |
| **Croatia** | <.1% (2016 est.) |
| **Cuba** | 0.4% (2017 est.) |
| **Curacao** | NA |
| **Cyprus** | 0.1% (2017 est.) |
| **Czechia** | <.1% (2017 est.) |
| **Denmark** | 0.1% (2017 est.) |
| **Dhekelia** | NA |
| **Djibouti** | 1.3% (2017 est.) |
| **Dominica** | NA |
| **Dominican Republic** | 0.9% (2017 est.) |
| **Ecuador** | 0.3% (2017 est.) |
| **Egypt** | <.1% (2017 est.) |
| **El Salvador** | 0.6% (2017 est.) |
| **Equatorial Guinea** | 6.5% (2017 est.) |
| **Eritrea** | 0.6% (2017 est.) |
| **Estonia** | 0.7% (2017 est.) |
| **Eswatini** | 27.4% (2017 est.) |
| **Ethiopia** | 0.9% (2017 est.) |
| **European Union** | note - see individual entries of member states |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | 0.1% (2016 est.) |
| **Finland** | NA |
| **France** | 0.5% (2017 est.) |
| **French Polynesia** | NA |
| **Gabon** | 4.2% (2017 est.) |
| **Gambia, The** | 1.6% (2017 est.) |
| **Gaza Strip** | NA |
| **Georgia** | 0.4% (2017 est.) |
| **Germany** | 0.2% (2017 est.) |
| **Ghana** | 1.7% (2017 est.) |
| **Gibraltar** | NA |
| **Greece** | 0.2% (2017 est.) |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guam** | NA |
| **Guatemala** | 0.4% (2017 est.) |
| **Guernsey** | NA |
| **Guinea** | 1.5% (2017 est.) |
| **Guinea-Bissau** | 3.4% (2017 est.) |
| **Guyana** | 1.7% (2017 est.) |
| **Haiti** | 1.9% (2017 est.) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 0.3% (2017 est.) |
| **Hong Kong** | NA |
| **Hungary** | <.1% (2017 est.) |
| **Iceland** | NA |
| **India** | 0.2% (2017 est.) |
| **Indonesia** | 0.4% (2017 est.) |
| **Iran** | 0.1% (2017 est.) |
| **Iraq** | NA |
| **Ireland** | 0.2% (2017 est.) |
| **Isle of Man** | NA |
| **Israel** | NA |
| **Italy** | 0.2% (2017 est.) |
| **Jamaica** | 1.8% (2017 est.) |
| **Japan** | <.1% (2017 est.) |
| **Jersey** | NA |
| **Jordan** | <.1% (2016 est.) |
| **Kazakhstan** | 0.2% (2017 est.) |
| **Kenya** | 4.8% (2017 est.) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | NA |
| **Kosovo** | NA |
| **Kuwait** | <.1% (2017 est.) |
| **Kyrgyzstan** | 0.2% (2017 est.) |
| **Laos** | 0.3% (2017 est.) |
| **Latvia** | 0.7% (2016 est.) |
| **Lebanon** | <.1% (2017 est.) |
| **Lesotho** | 23.8% (2017 est.) |
| **Liberia** | 1.4% (2017 est.) |
| **Libya** | NA |
| **Liechtenstein** | NA |
| **Lithuania** | 0.2% (2017 est.) |
| **Luxembourg** | 0.3% (2017 est.) |
| **Macau** | NA |
| **Macedonia** | <.1% (201 est.) |
| **Madagascar** | 0.3% (2017 est.) |
| **Malawi** | 9.6% (2017 est.) |
| **Malaysia** | 0.4% (2017 est.) |
| **Maldives** | NA |
| **Mali** | 1.2% (2017 est.) |
| **Malta** | 0.1% (2016 est.) |
| **Marshall Islands** | NA |
| **Mauritania** | 0.3% (2017 est.) |
| **Mauritius** | NA |
| **Mexico** | 0.3% (2017 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 0.6% (2017 est.) |
| **Monaco** | NA |
| **Mongolia** | <.1% (2017 est.) |
| **Montenegro** | <.1% (2017 est.) |
| **Montserrat** | NA |
| **Morocco** | <.1% (2017 est.) |
| **Mozambique** | 12.5% (2017 est.) |
| **Namibia** | 12.1% (2017 est.) |
| **Nauru** | NA |
| **Nepal** | 0.2% (2017 est.) |
| **Netherlands** | 0.2% (2017 est.) |
| **New Caledonia** | NA |
| **New Zealand** | 0.1% (2017 est.) |
| **Nicaragua** | 0.2% (2017 est.) |
| **Niger** | 0.3% (2017 est.) |
| **Nigeria** | 2.8% (2017 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | NA |
| **Norway** | 0.1% (2017 est.) |
| **Oman** | NA |
| **Pakistan** | 0.1% (2017 est.) |
| **Palau** | NA |
| **Panama** | 1% (2017 est.) |
| **Papua New Guinea** | 0.9% (2017 est.) |
| **Paraguay** | 0.5% (2017 est.) |
| **Peru** | 0.3% (2017 est.) |
| **Philippines** | 0.1% (2017 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | NA |
| **Portugal** | 0.6% (2017 est.) |
| **Puerto Rico** | NA |
| **Qatar** | 0.1% (2017 est.) |
| **Romania** | 0.1% (2017 est.) |
| **Russia** | 1.2% (2017 est.) |
| **Rwanda** | 2.7% (2017 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | <.1% (2016 est.) |
| **Senegal** | 0.4% (2017 est.) |
| **Serbia** | <.1% (2017 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 1.4% (2017 est.) |
| **Singapore** | 0.2% (2017 est.) |
| **Sint Maarten** | NA |
| **Slovakia** | <.1% (2017 est.) |
| **Slovenia** | <.1% (2017 est.) |
| **Solomon Islands** | NA |
| **Somalia** | 0.1% (2017 est.) |
| **South Africa** | 18.8% (2017 est.) |
| **South Sudan** | 2.4% (2017 est.) |
| **Spain** | 0.4% (2017 est.) |
| **Sri Lanka** | <.1% (2017 est.) |
| **Sudan** | 0.2% (2017 est.) |
| **Suriname** | 1.3% (2017 est.) |
| **Sweden** | 0.2% (2016 est.) |
| **Switzerland** | NA |
| **Syria** | NA |
| **Taiwan** | NA |
| **Tajikistan** | 0.3% (2017 est.) |
| **Tanzania** | 4.5% (2017 est.) |
