Field Listing :: HIV/AIDS - adult prevalence rate :: The World Factbook

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate |
| --- | --- |
| **Afghanistan** | <.1% (2019 est.) |
| **Akrotiri** | NA |
| **Albania** | <.1 (2019 est.) |
| **Algeria** | <.1% (2019 est.) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 1.8% (2019 est.) |
| **Anguilla** | NA |
| **Antigua and Barbuda** | 1.1% (2018) |
| **Argentina** | 0.4% (2019 est.) |
| **Armenia** | 0.1% (2019 est.) |
| **Aruba** | NA |
| **Australia** | 0.1% (2019 est.) |
| **Austria** | 0.1% (2017 est.) |
| **Azerbaijan** | 0.1% (2019 est.) |
| **Bahamas, The** | 1.8% (2018 est.) |
| **Bahrain** | <.1% (2017 est.) |
| **Bangladesh** | <.1% (2018 est.) |
| **Barbados** | 1.1% (2019 est.) |
| **Belarus** | 0.4% (2019 est.) |
| **Belgium** | NA |
| **Belize** | 1.9% (2018 est.) |
| **Benin** | 1% (2019 est.) |
| **Bermuda** | NA |
| **Bhutan** | 0.3% (2018) |
| **Bolivia** | 0.2% (2019 est.) |
| **Bosnia and Herzegovina** | <.1% (2018) |
| **Botswana** | 22.2% (2019 est.) |
| **Brazil** | 0.5% (2018 est.) |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | <.1% (2019 est.) |
| **Burkina Faso** | 0.8% (2019 est.) |
| **Burma** | 0.6% (2019 est.) |
| **Burundi** | 1.2% (2019 est.) |
| **Cabo Verde** | 0.6% (2019 est.) |
| **Cambodia** | 0.6% (2019 est.) |
| **Cameroon** | 3.2% (2019 est.) |
| **Canada** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | 3.6% (2019 est.) |
| **Chad** | 1.2% (2019 est.) |
| **Chile** | 0.5% (2019 est.) |
| **China** | NA |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 0.5% (2019 est.) |
| **Comoros** | <.1% (2019 est.) |
| **Congo, Democratic Republic of the** | 0.8% (2019 est.) |
| **Congo, Republic of the** | 3.1% (2019 est.) |
| **Cook Islands** | NA |
| **Costa Rica** | 0.4% (2019 est.) |
| **Cote d'Ivoire** | 2.7% (2019 est.) |
| **Croatia** | <.1% (2019 est.) |
| **Cuba** | 0.3% (2019 est.) |
| **Curacao** | NA |
| **Cyprus** | 0.1% (2017 est.) |
| **Czechia** | <.1% (2018 est.) |
| **Denmark** | 0.1% (2018 est.) |
| **Dhekelia** | NA |
| **Djibouti** | 0.9% (2019 est.) |
| **Dominica** | 0.6% (2018) |
| **Dominican Republic** | 0.9% (2019 est.) |
| **Ecuador** | 0.4% (2019 est.) |
| **Egypt** | <.1% (2019 est.) |
| **El Salvador** | 0.6% (2019 est.) |
| **Equatorial Guinea** | 7% (2019 est.) |
| **Eritrea** | 0.7% (2019 est.) |
| **Estonia** | 0.9% (2018 est.) |
| **Eswatini** | 27.1% (2019 est.) |
| **Ethiopia** | 1.1% (2019 est.) |
| **European Union** | note - see individual entries of member states |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | 0.2% (2019 est.) |
| **Finland** | 0.1% (2018) |
| **France** | 0.3% (2019 est.) |
| **French Polynesia** | NA |
| **Gabon** | 3.6% (2019 est.) |
| **Gambia, The** | 2% (2019 est.) |
| **Gaza Strip** | NA |
| **Georgia** | 0.3% (2019 est.) |
| **Germany** | 0.1% (2018 est.) |
| **Ghana** | 1.7% (2019 est.) |
| **Gibraltar** | NA |
| **Greece** | 0.2% (2017 est.) |
| **Greenland** | NA |
| **Grenada** | 0.5% (2018) |
| **Guam** | NA |
| **Guatemala** | 0.3% (2019 est.) |
| **Guernsey** | NA |
| **Guinea** | 1.4% (2019 est.) |
| **Guinea-Bissau** | 3.4% (2019 est.) |
| **Guyana** | 1.4% (2019 est.) |
| **Haiti** | 1.9% (2019 est.) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 0.4% (2019 est.) |
| **Hong Kong** | NA |
| **Hungary** | <.1% (2018 est.) |
| **Iceland** | 0.1% (2018) |
| **India** | 0.2% (2017 est.) |
| **Indonesia** | 0.4% (2018 est.) |
| **Iran** | <.1% (2019 est.) |
| **Iraq** | NA |
| **Ireland** | 0.2% (2019 est.) |
| **Isle of Man** | NA |
| **Israel** | 0.2% (2018) |
| **Italy** | 0.3% (2019 est.) |
| **Jamaica** | 1.4% (2019 est.) |
| **Japan** | <.1% (2018 est.) |
| **Jersey** | NA |
| **Jordan** | <.1% (2018 est.) |
| **Kazakhstan** | 0.2% (2019 est.) |
| **Kenya** | 4.8% (2019 est.) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | NA |
| **Kosovo** | NA |
| **Kuwait** | <.1% (2018 est.) |
| **Kyrgyzstan** | 0.2% (2019 est.) |
| **Laos** | 0.3% (2019 est.) |
| **Latvia** | 0.3% (2019 est.) |
| **Lebanon** | <.1% (2019 est.) |
| **Lesotho** | 23.1% (2019 est.) |
| **Liberia** | 1.5% (2019 est.) |
| **Libya** | 0.2% (2019) |
| **Liechtenstein** | NA |
| **Lithuania** | 0.1% (2019 est.) |
| **Luxembourg** | 0.3% (2018 est.) |
| **Macau** | NA |
| **Madagascar** | 0.2% (2019 est.) |
| **Malawi** | 9.5% (2019 est.) |
| **Malaysia** | 0.4% (2019 est.) |
| **Maldives** | NA |
| **Mali** | 1.2% (2019 est.) |
| **Malta** | 0.1% (2016 est.) |
| **Marshall Islands** | NA |
| **Mauritania** | 0.2% (2019 est.) |
| **Mauritius** | 1% (2019) |
| **Mexico** | 0.2% (2018 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 0.6% (2019 est.) |
| **Monaco** | NA |
| **Mongolia** | <.1% (2019 est.) |
| **Montenegro** | <.1% (2019 est.) |
| **Montserrat** | NA |
| **Morocco** | <.1% (2019 est.) |
| **Mozambique** | 12.1% (2019 est.) |
| **Namibia** | 12.7% (2019 est.) |
| **Nauru** | NA |
| **Nepal** | 0.1% (2019 est.) |
| **Netherlands** | 0.2% (2019 est.) |
| **New Caledonia** | NA |
| **New Zealand** | <.1% (2019 est.) |
| **Nicaragua** | 0.2% (2019 est.) |
| **Niger** | 0.3% (2019 est.) |
| **Nigeria** | 1.3% (2019 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **North Macedonia** | <.1% (2018 est.) |
| **Northern Mariana Islands** | NA |
| **Norway** | 0.1% (2018 est.) |
| **Oman** | 0.1% (2019) |
| **Pakistan** | 0.1% (2019 est.) |
| **Palau** | NA |
| **Panama** | 0.9% (2018 est.) |
| **Papua New Guinea** | 0.8% (2019 est.) |
| **Paraguay** | 0.4% (2019 est.) |
| **Peru** | 0.4% (2019 est.) |
| **Philippines** | 0.1% (2019 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | NA |
| **Portugal** | 0.5% (2018 est.) |
| **Puerto Rico** | NA |
| **Qatar** | 0.1% (2017 est.) |
| **Romania** | 0.1% (2019 est.) |
| **Russia** | 1.2% (2017 est.) |
| **Rwanda** | 2.9% (2019 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | 0.5% (2018) |
| **Saint Lucia** | 0.6% (2018) |
| **Saint Martin** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | 1.5% (2018) |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | 0.7% (2018) |
| **Saudi Arabia** | <.1% (2016 est.) |
| **Senegal** | 0.4% (2019 est.) |
| **Serbia** | <.1% (2019 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 1.5% (2019 est.) |
| **Singapore** | 0.2% (2019 est.) |
| **Sint Maarten** | NA |
| **Slovakia** | <.1% (2018 est.) |
| **Slovenia** | <.1% (2018 est.) |
