CIA -- The World Factbook -- HIV/AIDS - adult prevalence rate

| Country | Background |
| --- | --- |
| **Afghanistan** | less than 0.01% (1999 est.) |
| **Albania** | less than 0.01% (1999 est.) |
| **Algeria** | 0.07% (1999 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | 2.78% (1999 est.) |
| **Anguilla** | NA% |
| **Antigua and Barbuda** | NA% |
| **Argentina** | 0.69% (1999 est.) |
| **Armenia** | 0.01% (1999 est.) |
| **Aruba** | NA% |
| **Australia** | 0.15% (1999 est.) |
| **Austria** | 0.23% (1999 est.) |
| **Azerbaijan** | less than 0.01% (1999 est.) |
| **Bahamas, The** | 4.13% (1999 est.) |
| **Bahrain** | 0.15% (1999 est.) |
| **Bangladesh** | 0.02% (1999 est.) |
| **Barbados** | 1.17% (1999 est.) |
| **Belarus** | 0.28% (1999 est.) |
| **Belgium** | 0.15% (1999 est.) |
| **Belize** | 2.01% (1999 est.) |
| **Benin** | 2.45% (1999 est.) |
| **Bermuda** | NA% |
| **Bhutan** | less than 0.01% (1999 est.) |
| **Bolivia** | 0.1% (1999 est.) |
| **Bosnia and Herzegovina** | 0.04% (1999 est.) |
| **Botswana** | 35.8% (1999 est.) |
| **Brazil** | 0.57% (1999 est.) |
| **British Virgin Islands** | NA% |
| **Brunei** | 0.2% (1999 est.) |
| **Bulgaria** | 0.01% (1999 est.) |
| **Burkina Faso** | 6.44% (1999 est.) |
| **Burma** | 1.99% (1999 est.) |
| **Burundi** | 11.32% (1999 est.) |
| **Cambodia** | 4.04% (1999 est.) |
| **Cameroon** | 7.73% (1999 est.) |
| **Canada** | 0.3% (1999 est.) |
| **Cape Verde** | NA% |
| **Cayman Islands** | NA% |
| **Central African Republic** | 13.84% (1999 est.) |
| **Chad** | 2.69% (1999 est.) |
| **Chile** | 0.19% (1999 est.) |
| **China** | 0.07% (1999 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 0.31% (1999 est.) |
| **Comoros** | 0.12% (1999 est.) |
| **Congo, Democratic Republic of the** | 5.07% (1999 est.) |
| **Congo, Republic of the** | 6.43% (1999 est.) |
| **Cook Islands** | NA% |
| **Costa Rica** | 0.54% (1999 est.) |
| **Cote d'Ivoire** | 10.76% (1999 est.) |
| **Croatia** | 0.02% (1999 est.) |
| **Cuba** | 0.03% (1999 est.) |
| **Cyprus** | 0.1% (1999 est.) |
| **Czech Republic** | 0.04% (1999 est.) |
| **Denmark** | 0.17% (1999 est.) |
| **Djibouti** | 11.75% (1999 est.) |
| **Dominica** | NA% |
| **Dominican Republic** | 2.8% (1999 est.) |
| **Ecuador** | 0.29% (1999 est.) |
| **Egypt** | 0.02% (1999 est.) |
| **El Salvador** | 0.6% (1999 est.) |
| **Equatorial Guinea** | 0.51% (1999 est.) |
| **Eritrea** | 2.87% (1999 est.) |
| **Estonia** | 0.04% (1999 est.) |
| **Ethiopia** | 10.63% (1999 est.) |
