Field Listing :: HIV/AIDS - adult prevalence rate :: The World Factbook - Central Intelligence Agency

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - adult prevalence rate |
| --- | --- |
| **Afghanistan** | <.1% (2018 est.) |
| **Akrotiri** | NA |
| **Albania** | <.1 (2017 est.) |
| **Algeria** | <.1% (2018 est.) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 2% (2018 est.) |
| **Anguilla** | NA |
| **Antigua and Barbuda** | 1.1% (2018) |
| **Argentina** | 0.4% (2018 est.) |
| **Armenia** | 0.2% (2018 est.) |
| **Aruba** | NA |
| **Australia** | 0.1% (2018 est.) |
| **Austria** | 0.1% (2017 est.) |
| **Azerbaijan** | 0.1% (2017 est.) |
| **Bahamas, The** | 1.8% (2018 est.) |
| **Bahrain** | <.1% (2017 est.) |
| **Bangladesh** | <.1% (2018 est.) |
| **Barbados** | 1.5% (2018 est.) |
| **Belarus** | 0.5% (2018 est.) |
| **Belgium** | NA |
| **Belize** | 1.9% (2018 est.) |
| **Benin** | 1% (2018 est.) |
| **Bermuda** | NA |
| **Bhutan** | 0.3% (2018) |
| **Bolivia** | 0.3% (2018 est.) |
| **Bosnia and Herzegovina** | <.1% (2018) |
| **Botswana** | 20.3% (2018 est.) |
| **Brazil** | 0.5% (2018 est.) |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | <.1% (2018 est.) |
| **Burkina Faso** | 0.7% (2018 est.) |
| **Burma** | 0.8% (2018 est.) |
| **Burundi** | 1% (2018 est.) |
| **Cabo Verde** | 0.6% (2018 est.) |
| **Cambodia** | 0.5% (2018 est.) |
| **Cameroon** | 3.6% (2018 est.) |
| **Canada** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | 3.6% (2018 est.) |
| **Chad** | 1.3% (2018 est.) |
| **Chile** | 0.5% (2018 est.) |
| **China** | NA |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 0.4% (2018 est.) |
| **Comoros** | <.1% (2018 est.) |
| **Congo, Democratic Republic of the** | 0.8% (2018 est.) |
| **Congo, Republic of the** | 2.6% (2018 est.) |
| **Cook Islands** | NA |
| **Costa Rica** | 0.4% (2018 est.) |
| **Cote d'Ivoire** | 2.6% (2018 est.) |
| **Croatia** | <.1% (2018 est.) |
| **Cuba** | 0.4% (2018 est.) |
| **Curacao** | NA |
| **Cyprus** | 0.1% (2017 est.) |
| **Czechia** | <.1% (2018 est.) |
| **Denmark** | 0.1% (2018 est.) |
| **Dhekelia** | NA |
| **Djibouti** | 1.2% (2018 est.) |
| **Dominica** | 0.6% (2018) |
| **Dominican Republic** | 0.9% (2018 est.) |
| **Ecuador** | 0.4% (2018 est.) |
| **Egypt** | <.1% (2018 est.) |
| **El Salvador** | 0.6% (2018 est.) |
| **Equatorial Guinea** | 7.1% (2018 est.) |
| **Eritrea** | 0.7% (2018 est.) |
| **Estonia** | 0.9% (2018 est.) |
| **Eswatini** | 27.3% (201 est.) |
| **Ethiopia** | 1% (2018 est.) |
| **European Union** | note - see individual entries of member states |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | 0.1% (2016 est.) |
| **Finland** | 0.1% (2018) |
| **France** | 0.3% (2018 est.) |
| **French Polynesia** | NA |
| **Gabon** | 3.8% (2018 est.) |
| **Gambia, The** | 1.9% (2018 est.) |
| **Gaza Strip** | NA |
| **Georgia** | 0.4% (2018 est.) |
| **Germany** | 0.1% (2018 est.) |
| **Ghana** | 1.7% (2018 est.) |
| **Gibraltar** | NA |
| **Greece** | 0.2% (2017 est.) |
| **Greenland** | NA |
| **Grenada** | 0.5% (2018) |
| **Guam** | NA |
| **Guatemala** | 0.4% (2018 est.) |
| **Guernsey** | NA |
| **Guinea** | 1.4% (2018 est.) |
| **Guinea-Bissau** | 3.5% (2018 est.) |
| **Guyana** | 1.4% (2018 est.) |
| **Haiti** | 2% (2018 est.) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 0.3% (2018 est.) |
| **Hong Kong** | NA |
| **Hungary** | <.1% (2018 est.) |
| **Iceland** | 0.1% (2018) |
| **India** | 0.2% (2017 est.) |
| **Indonesia** | 0.4% (2018 est.) |
| **Iran** | 0.1% (2018 est.) |
| **Iraq** | NA |
| **Ireland** | 0.2% (2018 est.) |
| **Isle of Man** | NA |
| **Israel** | 0.2% (2018) |
| **Italy** | 0.3% (2018 est.) |
