FIELD LISTING :: HIV/AIDS - ADULT PREVALENCE RATE

This entry gives an estimate of the percentage of adults (aged 15-49) living with HIV/AIDS. The adult prevalence rate is calculated by dividing the estimated number of adults living with HIV/AIDS at yearend by the total adult population at yearend.

| Country | HIV/AIDS - ADULT PREVALENCE RATE(%) |
| --- | --- |
| **Afghanistan** | <.1% (2016 est.) |
| **Albania** | 0.1% (2016 est.) |
| **Algeria** | <.01% (2016 est.) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 1.9% (2016 est.) |
| **Anguilla** | NA |
| **Antigua and Barbuda** | NA |
| **Argentina** | 0.4% (2016 est.) |
| **Armenia** | 0.2% (2016 est.) |
| **Aruba** | NA |
| **Australia** | 0.1% (2016 est.) |
| **Austria** | NA |
| **Azerbaijan** | 0.1% (2016 est.) |
| **Bahamas, The** | 3.3% (2016 est.) |
| **Bahrain** | <.01% (2016 est.) |
| **Bangladesh** | <.01% (2016 est.) |
| **Barbados** | 1.3% (2016 est.) |
| **Belarus** | 0.4% (2016 est.) |
| **Belgium** | NA |
| **Belize** | 1.8% (2016 est.) |
| **Benin** | 1% (2016 est.) |
| **Bermuda** | NA |
| **Bhutan** | NA |
| **Bolivia** | 0.3% (2016 est.) |
| **Bosnia and Herzegovina** | NA |
| **Botswana** | 21.9% (2016 est.) |
| **Brazil** | 0.6% (2016 est.) |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | <.1% (2016 est.) |
| **Burkina Faso** | 0.8% (2016 est.) |
| **Burma** | 0.8% (2016 est.) |
| **Burundi** | 1.1% (2016 est.) |
| **Cabo Verde** | 0.8% (2016 est.) |
| **Cambodia** | 0.6% (2016 est.) |
| **Cameroon** | 3.8% (2016 est.) |
| **Canada** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | 4% (2016 est.) |
| **Chad** | 1.3% (2016 est.) |
| **Chile** | 0.5% (2016 est.) |
| **China** | NA |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 0.4% (2016 est.) |
| **Comoros** | <.1% (2016 est.) |
| **Congo, Democratic Republic of the** | 0.7% (2016 est.) |
| **Congo, Republic of the** | 3.1% (2016 est.) |
| **Cook Islands** | NA |
| **Costa Rica** | 0.4% (2016 est.) |
| **Cote d'Ivoire** | 2.7% (2016 est.) |
| **Croatia** | <.1% (2016 est.) |
| **Cuba** | 0.4% (2016 est.) |
| **Curacao** | NA |
| **Cyprus** | NA |
| **Czechia** | <.1% (2016 est.) |
| **Denmark** | NA |
| **Djibouti** | 1.3% (2016 est.) |
| **Dominica** | NA |
| **Dominican Republic** | 1% (2016 est.) |
| **Ecuador** | 0.3% (2016 est.) |
| **Egypt** | <.1% (2016 est.) |
| **El Salvador** | 0.6% (2016 est.) |
| **Equatorial Guinea** | 6.2% (2016 est.) |
| **Eritrea** | 0.6% (2016 est.) |
| **Estonia** | NA |
| **Ethiopia** | 1.1% (2016 est.) |
| **European Union** | note - see individual entries of member states |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | 0.1% (2016 est.) |
| **Finland** | NA |
| **France** | 0.4% (2016 est.) |
| **French Polynesia** | NA |
| **Gabon** | 3.6% (2016 est.) |
| **Gambia, The** | 1.7% (2016 est.) |
| **Gaza Strip** | NA |
| **Georgia** | 0.5% (2016 est.) |
| **Germany** | NA |
| **Ghana** | 1.6% (2016 est.) |
| **Gibraltar** | NA |
| **Greece** | NA |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guam** | NA |
| **Guatemala** | 0.5% (2016 est.) |
| **Guernsey** | NA |
| **Guinea-Bissau** | 3.1% (2016 est.) |
| **Guinea** | 1.5% (2016 est.) |
| **Guyana** | 1.6% (2016 est.) |
| **Haiti** | 2.1% (2016 est.) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 0.4% (2016 est.) |
| **Hungary** | NA |
| **Iceland** | NA |
| **India** | 0.3% (2016 est.) |
| **Indonesia** | 0.4% (2016 est.) |
| **Iran** | 0.1% (2016 est.) |
| **Iraq** | NA |
| **Ireland** | 0.2% (2016 est.) |
| **Isle of Man** | NA |
| **Israel** | NA |
| **Italy** | 0.3% (2016 est.) |
| **Jamaica** | 1.7% (2016 est.) |
| **Japan** | NA |
| **Jersey** | NA |
| **Jordan** | <.1% (2016 est.) |
| **Kazakhstan** | 0.2% (2016 est.) |
| **Kenya** | 5.4% (2016 est.) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | NA |
| **Kuwait** | <.1% (2016 est.) |
| **Kyrgyzstan** | 0.2% (2016 est.) |
| **Laos** | 0.3% (2016 est.) |
| **Latvia** | 0.7% (2016 est.) |
| **Lebanon** | <.1% (2016 est.) |
| **Lesotho** | 25% (2016 est.) |
| **Liberia** | 1.6% (2016 est.) |
| **Liechtenstein** | NA |
| **Lithuania** | 0.2% (2016 est.) |
| **Luxembourg** | NA |
| **Macau** | NA |
| **Macedonia** | <.1% (2016 est.) |
| **Madagascar** | 0.2% (2016 est.) |
| **Malawi** | 9.2% (2016 est.) |
| **Malaysia** | 0.4% (2016 est.) |
| **Maldives** | NA |
| **Mali** | 1% (2016 est.) |
| **Malta** | 0.1% (2016 est.) |
| **Marshall Islands** | NA |
| **Mauritania** | 0.5% (2016 est.) |
| **Mauritius** | NA |
| **Mexico** | 0.3% (2016 est.) |
| **Micronesia, Federated States of** | NA |
| **Moldova** | 0.6% (2016 est.) |
| **Monaco** | NA |
| **Mongolia** | <.1% (2016 est.) |
| **Montenegro** | 0.1% (2016 est.) |
| **Montserrat** | NA |
| **Morocco** | 0.1% (2016 est.) |
| **Mozambique** | 12.3% (2016 est.) |
| **Namibia** | 13.8% (2016 est.) |
| **Nauru** | NA |
| **Nepal** | 0.2% (2016 est.) |
| **Netherlands** | 0.2% (2016 est.) |
| **New Caledonia** | NA |
| **New Zealand** | NA |
| **Nicaragua** | 0.2% (2016 est.) |
| **Nigeria** | 2.9% (2016 est.) |
| **Niger** | 0.4% (2016 est.) |
| **Niue** | NA |
| **Norfolk Island** | NA |
| **Northern Mariana Islands** | NA |
| **Norway** | NA |
| **Oman** | NA |
| **Pakistan** | 0.1% (2016 est.) |
| **Palau** | NA |
| **Panama** | 0.8% (2016 est.) |
| **Papua New Guinea** | 0.9% (2016 est.) |
| **Paraguay** | 0.5% (2016 est.) |
| **Peru** | 0.3% (2016 est.) |
| **Philippines** | 0.1% (2016 est.) |
| **Pitcairn Islands** | NA |
| **Poland** | NA |
| **Portugal** | NA |
| **Puerto Rico** | NA |
| **Qatar** | <.1% (2016 est.) |
| **Romania** | 0.1% (2016 est.) |
| **Russia** | NA |
| **Rwanda** | 3.1% (2016 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | NA |
| **Saint Kitts and Nevis** | NA |
| **Saint Lucia** | NA |
| **Saint Pierre and Miquelon** | NA |
| **Saint Vincent and the Grenadines** | NA |
| **Samoa** | NA |
| **San Marino** | NA |
| **Sao Tome and Principe** | NA |
| **Saudi Arabia** | <.1% (2016 est.) |
| **Senegal** | 0.4% (2016 est.) |
| **Serbia** | <.1% (2016 est.) |
| **Seychelles** | NA |
| **Sierra Leone** | 1.7% (2016 est.) |
| **Singapore** | NA |
| **Sint Maarten** | NA |
| **Slovakia** | <.1% (2016 est.) |
| **Slovenia** | <.1% (2016 est.) |
| **Solomon Islands** | NA |
| **Somalia** | 0.4% (2016 est.) |
| **South Africa** | 18.9% (2016 est.) |
| **South Sudan** | 2.7% (2016 est.) |
| **Spain** | 0.4% (2016 est.) |
| **Sri Lanka** | <.1% (2016 est.) |
| **Sudan** | 0.2% (2016 est.) |
| **Suriname** | 1.4% (2016 est.) |
| **Swaziland** | 27.2% (2016 est.) |
| **Sweden** | 0.2% (2016 est.) |
| **Switzerland** | NA |
| **Syria** | NA |
| **Taiwan** | NA |
| **Tajikistan** | 0.3% (2016 est.) |
| **Tanzania** | 4.7% (2016 est.) |
| **Thailand** | 1.1% (2016 est.) |
| **Timor-Leste** | NA |
| **Togo** | 2.1% (2016 est.) |
| **Tokelau** | NA |
| **Tonga** | NA |
| **Trinidad and Tobago** | 1.2% (2016 est.) |
| **Tunisia** | <.1% (2016 est.) |
| **Turkey** | NA |
| **Turkmenistan** | NA |
| **Turks and Caicos Islands** | NA |
| **Tuvalu** | NA |
