CIA - The World Factbook -- Field Listing - HIV/AIDS - adult prevalence rate

| Country | HIV/AIDS - adult prevalence rate (%) |
| --- | --- |
| **Afghanistan** | 0.01% (2001 est.) |
| **Albania** | NA |
| **Algeria** | 0.1% ; note - no country specific models provided (2001 est.) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 3.9% (2003 est.) |
| **Anguilla** | NA |
| **Antigua and Barbuda** | NA |
| **Argentina** | 0.7% (2001 est.) |
| **Armenia** | 0.1% (2003 est.) |
| **Aruba** | NA |
| **Australia** | 0.1% (2003 est.) |
| **Austria** | 0.3% (2003 est.) |
| **Azerbaijan** | less than 0.1% (2003 est.) |
| **Bahamas, The** | 3% (2003 est.) |
| **Bahrain** | 0.2% (2001 est.) |
| **Bangladesh** | less than 0.1% (2001 est.) |
| **Barbados** | 1.5% (2003 est.) |
| **Belarus** | 0.3% (2001 est.) |
| **Belgium** | 0.2% (2003 est.) |
| **Belize** | 2.4% (2003 est.) |
| **Benin** | 1.9% (2003 est.) |
| **Bermuda** | 0.297% (2005) |
| **Bhutan** | less than 0.1% (2001 est.) |
| **Bolivia** | 0.1% (2003 est.) |
| **Bosnia and Herzegovina** | less than 0.1% (2001 est.) |
| **Botswana** | 37.3% (2003 est.) |
| **Brazil** | 0.7% (2003 est.) |
| **British Virgin Islands** | NA |
| **Brunei** | less than 0.1% (2003 est.) |
| **Bulgaria** | less than 0.1% (2001 est.) |
| **Burkina Faso** | 4.2% (2003 est.) |
| **Burma** | 1.2% (2003 est.) |
| **Burundi** | 6% (2003 est.) |
| **Cambodia** | 2.6% (2003 est.) |
| **Cameroon** | 6.9% (2003 est.) |
| **Canada** | 0.3% (2003 est.) |
| **Cape Verde** | 0.035% (2001 est.) |
| **Cayman Islands** | NA |
| **Central African Republic** | 13.5% (2003 est.) |
| **Chad** | 4.8% (2003 est.) |
| **Chile** | 0.3% (2003 est.) |
| **China** | 0.1% (2003 est.) |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 0.7% (2003 est.) |
| **Comoros** | 0.12% (2001 est.) |
| **Congo, Democratic Republic of the** | 4.2% (2003 est.) |
| **Congo, Republic of the** | 4.9% (2003 est.) |
| **Cook Islands** | NA |
| **Costa Rica** | 0.6% (2003 est.) |
| **Cote d'Ivoire** | 7% (2003 est.) |
| **Croatia** | less than 0.1% (2001 est.) |
| **Cuba** | less than 0.1% (2003 est.) |
| **Cyprus** | 0.1% (2003 est.) |
| **Czech Republic** | less than 0.1% (2001 est.) |
| **Denmark** | 0.2% (2003 est.) |
| **Djibouti** | 2.9% (2003 est.) |
| **Dominica** | NA |
| **Dominican Republic** | 1.7% (2003 est.) |
| **East Timor** | NA |
| **Ecuador** | 0.3% (2003 est.) |
| **Egypt** | less than 0.1% (2001 est.) |
| **El Salvador** | 0.7% (2003 est.) |
| **Equatorial Guinea** | 3.4% (2001 est.) |
| **Eritrea** | 2.7% (2003 est.) |
| **Estonia** | 1.1% (2001 est.) |
| **Ethiopia** | 4.4% (2003 est.) |
| **European Union** | NA |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | 0.1% (2003 est.) |
| **Finland** | less than 0.1% (2003 est.) |
| **France** | 0.4% (2003 est.) |
| **French Guiana** | NA |
| **French Polynesia** | NA |
| **Gabon** | 8.1% (2003 est.) |
| **Gambia, The** | 1.2% (2003 est.) |
| **Gaza Strip** | NA |
| **Georgia** | less than 0.1% (2001 est.) |
| **Germany** | 0.1% (2001 est.) |
| **Ghana** | 3.1% (2003 est.) |
| **Gibraltar** | NA |
| **Greece** | 0.2% (2001 est.) |
| **Greenland** | NA |
| **Grenada** | NA |
| **Guadeloupe** | NA |
| **Guam** | NA |
| **Guatemala** | 1.1% (2003 est.) |
| **Guernsey** | NA |
| **Guinea** | 3.2% (2003 est.) |
| **Guinea-Bissau** | 10% (2003 est.) |
| **Guyana** | 2.5% (2003 est.) |
| **Haiti** | 5.6% (2003 est.) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 1.8% (2003 est.) |
| **Hong Kong** | 0.1% (2003 est.) |
| **Hungary** | 0.1% (2001 est.) |
| **Iceland** | 0.2% (2001 est.) |
| **India** | 0.9% (2001 est.) |
| **Indonesia** | 0.1% (2003 est.) |
| **Iran** | less than 0.1% (2001 est.) |
| **Iraq** | less than 0.1% (2001 est.) |
| **Ireland** | 0.1% (2001 est.) |
| **Isle of Man** | NA |
| **Israel** | 0.1% (2001 est.) |
| **Italy** | 0.5% (2001 est.) |
| **Jamaica** | 1.2% (2003 est.) |
| **Japan** | less than 0.1% (2003 est.) |
| **Jersey** | NA |
| **Jordan** | less than 0.1% (2001 est.) |
| **Kazakhstan** | 0.2% (2001 est.) |
| **Kenya** | 6.7% (2003 est.) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | less than 0.1% (2003 est.) |
| **Kuwait** | 0.12% (2001 est.) |
| **Kyrgyzstan** | less than 0.1% (2001 est.) |
| **Laos** | 0.1% (2003 est.) |
| **Latvia** | 0.6% (2001 est.) |
| **Lebanon** | 0.1% (2001 est.) |
| **Lesotho** | 28.9% (2003 est.) |
| **Liberia** | 5.9% (2003 est.) |
| **Libya** | 0.3% (2001 est.) |
| **Liechtenstein** | NA |
| **Lithuania** | 0.1% (2001 est.) |
| **Luxembourg** | 0.2% (2001 est.) |
| **Macau** | NA |
