Field Listing :: Military and security forces :: The World Factbook

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| --- | --- |
| **Afghanistan** | *Afghan National Defense and Security Forces (ANDSF) are comprised of military, police, and other security elements:* |
| | *Ministry of Defense:* Afghan National Army ((ANA), Afghan Air Force, Afghan Army Special Security Forces (includes ANA Special Operations Command), Afghanistan National Army Territorial Forces (ANA-TF)); Afghan Border Force (ABF); Afghan National Civil Order Force (ANCOF) |
| | *Ministry of Interior:* Afghan Uniform (National) Police (AUP); Public Security Police (PSP); Afghan Border Police (ABP); Afghan Anti-Crime Police; Afghan Local Police; Afghan Public Protection Force; Special Security Forces |
| | National Directorate of Security ((NDS), intelligence service) (2020) |
| **Albania** | Land Forces Command, Navy Force Command (includes Coast Guard), Air Forces Command, Support Command, Training and Doctrination Command (2019) |
| **Algeria** | Algerian People's National Army (ANP): Land Forces, Naval Forces (includes coast guard), Air Forces, Territorial Air Defense Forces, Republican Guard; National Gendarmerie (subordinate to the Ministry of National Defense); Ministry of Interior: General Directorate of National Security (2020) |
| **Andorra** | no regular military forces; Police Corps of Andorra |
| **Angola** | *Angolan Armed Forces (Forcas Armadas Angolanas, FAA):* Army, Navy (Marinha de Guerra Angola, MGA), Angolan National Air Force (Forca Aerea Nacional Angolana, FANA; under operational control of the Army); Rapid Reaction Police (paramilitary) (2019) |
| **Antigua and Barbuda** | *Antigua and Barbuda Defense Force (ABDF):* Coast Guard and the Antigua and Barbuda Regiment (2020) |
| **Argentina** | Armed Forces of the Argentine Republic (Fuerzas Armadas de la RepÃºblica Argentina): Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA); Ministry of Security: Gendarmerie, Prefectura Naval (coast guard) (2020) |
| **Armenia** | *Armenian Armed Forces:* Ground Forces (Armenian Army), Air Force, Air Defense; "Nagorno-Karabakh Republic": Nagorno-Karabakh Defense Army (2019) |
| **Aruba** | no regular military forces (2011) |
| **Australia** | *Australian Defense Force (ADF):* Australian Army (includes Special Operations Command), Royal Australian Navy (includes Naval Aviation Force), Royal Australian Air Force, Joint Operations Command (JOC) (2019) |
| **Austria** | *Austrian Armed Forces:* Land Forces Command, Air Forces Command, plus a Logistics Command and Service Support & Cyber Defence Command (2019) |
| **Azerbaijan** | *Land Forces, Air Forces, Navy Forces; Ministry of Internal Affairs:* State Border Service (includes Coast Guard), Internal Security Troops (2020) |
| **Bahamas, The** | *Royal Bahamas Defense Force:* Patrol Squadron, Commando Squadron, and Air Wing (2020) |
| **Bahrain** | Bahrain Defense Force (BDF): Royal Bahraini Army (includes the Royal Guard), Royal Bahraini Navy, Royal Bahraini Air Force, Royal Bahraini Air Defense Force; Ministry of Interior security forces: National Guard, Special Security Forces Command (SSFC), Coast Guard |
| | (2019) |
| | *note:* the Royal Guard is officially under the command of the Army, but exercises considerable autonomy |
| **Bangladesh** | *Bangladesh Defense Force:* Bangladesh Army, Bangladesh Navy, Bangladesh Air Force; Ministry of Home Affairs: Border Guard Bangladesh (BGB), Bangladesh Coast Guard, Ansars, Village Defense Party (VDP) (2019) |
| | *note:* the Ansars and VDP are paramilitary organizations for internal security |
| **Barbados** | *Royal Barbados Defense Force:* The Barbados Regiment, The Barbados Coast Guard (2020) |
| **Belarus** | *Belarus Armed Forces:* Army, Air and Air Defense Force, Special Operations Force; Ministry of Interior: State Border Troops, Militia, Internal Troops (2019) |
| **Belgium** | *Belgian Armed Forces:* Land Component, Naval Component, Air Component, Medical Service (2019) |
| **Belize** | *Belize Defense Force (BDF):* Army, Air Wing; Belize Coast Guard (2019) |
| **Benin** | Benin Armed Forces (Forces Armees Beninoises, FAB): Army, Navy, Air Force; Ministry of Public Security: Republican Police (2019) |
| **Bermuda** | Royal Bermuda Regiment (2019) |
| **Bhutan** | *Royal Bhutan Army (includes Royal Bodyguard, plus militia); Ministry of Home and Cultural Affairs:* Royal Bhutan Police (2019) |
| | *note:* Bhutan does not have an air force; India is responsible for military training, arms supplies, and the air defense of Bhutan |
| **Bolivia** | *Bolivian Armed Forces:* Bolivian Army (Ejercito Boliviano, EB), Bolivian Naval Force (Fuerza Naval Boliviana, FNB, includes Marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB); Ministry of Interior: National Police (PolicÃ­a Nacional de Bolivia, PNB; includes Anti-Narcotics Special Forces (Fuerza Especial de Lucha Contra el NarcotrÃ¡fico, FELCN) and other paramilitary units (2020) |
| **Bosnia and Herzegovina** | *Armed Forces of Bosnia and Herzegovina (Oruzanih Snaga Bosne i Hercegovine, OSBiH):* Operations Command (includes Army, Air, and Air Defense units), Support Command (2019) |
| **Botswana** | *Botswana Defence Force (BDF):* Ground Forces Command, Air Arm Command, Defense Logistics Command (2020) |
| **Brazil** | *Brazilian Armed Forces:* Brazilian Army (Exercito Brasileiro, EB), Brazilian Navy (Marinha do Brasil, MB, includes Naval Aviation and Marine Corps (Corpo de Fuzileiros Navais)), Brazilian Air Force (Forca Aerea Brasileira, FAB); Public Security Forces (2020) |
| **British Indian Ocean Territory** | no regular military forces (2014) |
| **Brunei** | *Royal Brunei Armed Forces:* Royal Brunei Land Force, Royal Brunei Navy, Royal Brunei Air Force (2019) |
| **Bulgaria** | *Bulgarian Armed Forces:* Land Forces (aka Army), Naval Forces, Bulgarian Air Forces (Voennovazdushni Sili, VVS), Special Forces; Ministry of Interior: Border Guards (2020) |
| **Burkina Faso** | *Armed Forces of Burkina Faso (FABF):* Army of Burkina Faso (Lâ€™Armee de Terre, LAT), Air Force of Burkina Faso (Force Aerienne de Burkina Faso, FABF), National Gendarmerie, National Fire Brigade (Brigade Nationale des Sapeurs-Pompiers, BNSP) (2019) |
| | *note:* the National Gendarmerie officially reports to the Ministry of Defense, but usually operates in support of the Ministry of Security and the Ministry of Justice; Gendarmerie troops are typically integrated with Army forces in anti-terrorism operations; for example, Gendarmerie, Army, and police forces were combined to form a task force known as the Groupement des Forces Anti-Terroristes (GFAT) to address terrorist activities along the country's northern border in 2013 |
| **Burma** | *Burmese Defense Service (Tatmadaw):* Army (Tatmadaw Kyi), Navy (Tatmadaw Yay), Air Force (Tatmadaw Lay), Directorate of Peopleâ€™s Militia and Border Guard Forces (2019) |
| **Burundi** | *National Defense Forces (Forces de Defense Nationale, FDN):* Army (includes maritime wing, air wing), National Police (Police Nationale du Burundi) (2019) |
| **Cabo Verde** | *Cabo Verdean Armed Forces (FACV):* Army (also called the National Guard, GN), Cabo Verde Coast Guard (Guardia Costeira de Cabo Verde, GCCV, includes naval infantry) (2013) |
| **Cambodia** | *Royal Cambodian Armed Forces:* High Command Headquarters, Royal Cambodian Army, Royal Khmer Navy, Royal Cambodian Air Force; Gendarmerie Royale Khmer (military police force responsible for internal security under Ministry of Interior); the National Counter Terrorism Committee; the National Committee for Maritime Security (performs Coast Guard functions and has representation from military and civilian agencies) (2019) |
| **Cameroon** | *Cameroon Armed Forces (Forces Armees Camerounaises, FAC):* Army (L'Armee de Terre), Navy (Marine Nationale Republique, MNR, includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC), Gendarmerie, Presidential Guard (2019) |
| **Canada** | *Canadian Forces:* Canadian Army, Royal Canadian Navy, Royal Canadian Air Force, Canadian Joint Operations Command, Canadian Special Operations Forces Command; Primary Reserve (army, air, naval reserves); Coast Guard (Department of Fisheries and Oceans) (2019) |
| | *note:* the Army reserves include the Canadian Rangers, which provides a limited presence in Canada's northern, coastal, and isolated areas for sovereignty, public safety, and surveillance roles |
| **Cayman Islands** | no regular military forces; Royal Cayman Islands Police Service (2019) |
| **Central African Republic** | *Central African Armed Forces (Forces Armees Centrafricaines, FACA):* Ground Forces (includes Military Air Service), General Directorate of Gendarmerie Inspection (DGIG); National Police (2019) |
| **Chad** | *Chadian National Army (Armee Nationale du Tchad, ANT):* Ground Forces (l'Armee de Terre, AdT), Chadian Air Force (l'Armee de l'Air Tchadienne, AAT), General Direction of the Security Services of State Institutions (Direction Generale des Services de Securite des Institutions de l'Etat, GDSSIE); National Gendarmerie; National Nomadic Guard of Chad (GNNT) (2019) |
| | *note(s):* the GDSSIE, formerly known as the Republican Guard, is the presidential guard force and considered an elite military unit; it is comprised of men from President DEBY's own Zaghawa ethnic group; the Chadian Army also includes the US-trained and equipped Special Anti-Terrorist Group (SATG) |
| **Chile** | Armed Forces of Chile (Fuerzas Armadas de Chile):Â  Chilean Army, Chilean Navy (Armada de Chile, includes Naval Aviation, Marine Corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh); Carabineros de Chile (National Police Force) (2020) |
| | *note:* Carabineros de Chile are responsible to both the Ministry of Defense and the Ministry of Interior |
| **China** | *People's Liberation Army (PLA):* Ground Forces, Navy (PLAN, includes marines and naval aviation), Air Force (PLAAF, includes airborne forces), Rocket Force (strategic missile force), and Strategic Support Force (information warfare, cyber, space forces); People's Armed Police (PAP, includes Coast Guard, Border Defense Force, Internal Security Forces); PLA Reserve Force (2020) |
| **Colombia** | *Military Forces of Colombia (Fuerzas Militares de Colombia):* National Army (Ejercito Nacional), Republic of Colombia Navy (Armada Republica de Colombia, ARC; includes Coast Guard), Colombian Air Force (Fuerza Aerea de Colombia, FAC); Colombian National Police (civilian force that is part of the Ministry of Defense) (2020) |
| **Comoros** | *National Army for Development (l'Armee Nationale de Developpement, AND):* Comoran Security Force (also called Comoran Defense Force (Force Comorienne de Defense, FCD), includes Gendarmerie), Comoran Coast Guard, Comoran Federal Police (2017) |
| **Congo, Democratic Republic of the** | *Armed Forces of the Democratic Republic of the Congo (Forces d'Armees de la Republique Democratique du Congo, FARDC):* Land Forces, National Navy (La Marine Nationale), Congolese Air Force (Force Aerienne Congolaise, FAC); Republican Guard (responsible for presidential security) (2019) |
| **Congo, Republic of the** | *Congolese Armed Forces (Forces Armees Congolaises, FAC):* Army (Armee de Terre), Navy, Congolese Air Force (Armee de l'Air Congolaise); Gendarmerie; Presidential Guard (2019) |
| **Cook Islands** | no regular military forces; Cook Islands Police Service. (2018) |
| **Costa Rica** | no regular military forces; Ministry of Public Security commands the Public Forces of Costa Rica, which includes the Public Force (National Police), Anti-Drug Police, and National Coast Guard Service (2020) |
| | *note:* Costa Rica's armed forces were constitutionally abolished in 1949 |
| **Cote d'Ivoire** | *Armed Forces of Cote d'Ivoire (Forces Armees de Cote d'Ivoire, FACI; aka Republican Forces of Ivory Coast, FRCI):* Army (Armee de Terre), Navy (Marine Nationale), Cote Air Force (Force Aerienne Cote), Special Forces (Forces Speciale) |
| | other security services include the National Gendarmerie (under the Ministry of Defense), the National Police (under the Ministry of Security and Civil Protection), and the Coordination Center for Operational Decisions (a mix of police, gendarmerie, and FACI personnel for assisting police in providing security in some large cities) (2019) |
| **Croatia** | *Armed Forces of the Republic of Croatia (Oruzane Snage Republike Hrvatske, OSRH) consists of five major commands directly subordinate to a General Staff:* Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM, includes Coast Guard), Air Force and Air Defense Command (Hrvatsko Ratno Zrakoplovstvo I Protuzracna Obrana), Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2019) |
| **Cuba** | Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR): Revolutionary Army (Ejercito Revolucionario, ER), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR, includes Marine Corps), Revolutionary Air and Air Defense Forces (Defensas Anti-Aereas y Fuerza Aerea Revolucionaria, DAAFAR); Paramilitary forces: Youth Labor Army (Ejercito Juvenil del Trabajo, EJT), Territorial Militia Troops (Milicia de Tropas de Territoriales, MTT), Civil Defense Force; Ministry of Interior: Border Guards, State Security (2020) |
| **Curacao** | no regular military forces; the Dutch Government controls foreign and defense policy; the Dutch Caribbean Coast Guard (DCCG) provides maritime security (2019) |
| **Cyprus** | *Republic of Cyprus:* Cypriot National Guard (Ethniki Froura, EF, includes Army Land Forces, Naval Command, Air Command) (2020) |
