CIA - The World Factbook --  Oil - exports   

This entry is the total oil exported in barrels per day (bbl/day), including both crude oil and oil products.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 8,728,000 | 2007 est. |
| 2 | Russia | 5,430,000 | 2009 |
| 3 | United Arab Emirates | 2,700,000 | 2007 est. |
| 4 | Kuwait | 2,349,000 | 2007 est. |
| 5 | Nigeria | 2,327,000 | 2007 est. |
| 6 | Iran | 2,210,000 | 2009 est. |
| 7 | European Union | 2,196,000 | 2008 est. |
| 8 | Venezuela | 2,182,000 | 2007 est. |
| 9 | Norway | 2,061,000 | 2008 est. |
| 10 | Canada | 2,001,000 | 2008 est. |
| 11 | Iraq | 1,910,000 | 2009 est. |
| 12 | Algeria | 1,891,000 | 2007 est. |
| 13 | United States | 1,704,000 | 2008 est. |
| 14 | Netherlands | 1,660,000 | 2008 est. |
| 15 | Libya | 1,542,000 | 2007 est. |
| 16 | Angola | 1,407,000 | 2007 est. |
| 17 | United Kingdom | 1,393,000 | 2008 est. |
| 18 | Kazakhstan | 1,345,000 | 2009 est. |
| 19 | Singapore | 1,289,000 | 2007 est. |
| 20 | Mexico | 1,225,000 | 2009 est. |
| 21 | Korea, South | 907,100 | 2009 |
| 22 | Qatar | 753,000 | 2008 est. |
| 23 | India | 738,600 | 2007 est. |
| 24 | France | 597,800 | 2008 est. |
| 25 | Oman | 593,700 | 2008 est. |
| 26 | Italy | 586,900 | 2008 est. |
| 27 | Brazil | 570,100 | 2007 est. |
| 28 | Germany | 536,600 | 2008 est. |
| 29 | Azerbaijan | 528,900 | 2007 est. |
| 30 | Malaysia | 511,900 | 2007 est. |
| 31 | Belgium | 433,700 | 2008 est. |
| 32 | China | 388,000 | 2008 est. |
| 33 | Virgin Islands | 388,000 | 2007 est. |
| 34 | Japan | 380,900 | 2008 est. |
| 35 | Equatorial Guinea | 362,900 | 2007 est. |
| 36 | Taiwan | 359,800 | 2009 est. |
| 37 | Ecuador | 327,600 | 2009 est. |
| 38 | Argentina | 314,400 | 2007 est. |
| 39 | Australia | 311,900 | 2008 est. |
| 40 | Belarus | 303,900 | 2007 est. |
| 41 | Sudan | 303,800 | 2007 est. |
| 42 | Colombia | 294,000 | 2008 est. |
| 43 | Yemen | 274,400 | 2007 est. |
| 44 | Thailand | 269,100 | 2009 est. |
| 45 | Denmark | 268,500 | 2008 est. |
| 46 | Sweden | 248,500 | 2008 est. |
| 47 | Trinidad and Tobago | 248,300 | 2007 est. |
| 48 | Congo, Republic of the | 241,100 | 2007 est. |
| 49 | Bahrain | 238,300 | 2007 est. |
| 50 | Aruba | 231,100 | 2007 est. |
