CIA - The World Factbook --  Total fertility rate   

This entry gives a figure for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. The total fertility rate (TFR) is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman. This indicator shows the potential for population change in the country. A rate of two children per woman is considered the replacement rate for a population, resulting in relative stability in terms of total numbers. Rates above two children indicate populations growing in size and whose median age is declining. Higher rates may also indicate difficulties for families, in some situations, to feed and educate their children and for women to enter the labor force. Rates below two children indicate populations decreasing in size and growing older. Global fertility rates are in general decline and this trend is most pronounced in industrialized countries, especially Western Europe, where populations are projected to decline dramatically over the next 50 years.

| Rank | country | (children born/woman) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 7.60 | 2011 est. |
| 2 | Uganda | 6.69 | 2011 est. |
| 3 | Mali | 6.44 | 2011 est. |
| 4 | Somalia | 6.35 | 2011 est. |
| 5 | Burundi | 6.16 | 2011 est. |
| 6 | Burkina Faso | 6.14 | 2011 est. |
| 7 | Ethiopia | 6.02 | 2011 est. |
| 8 | Zambia | 5.98 | 2011 est. |
| 9 | Angola | 5.97 | 2011 est. |
| 10 | Congo, Republic of the | 5.68 | 2011 est. |
| 11 | Mozambique | 5.46 | 2011 est. |
| 12 | Malawi | 5.43 | 2011 est. |
| 13 | Afghanistan | 5.39 | 2011 est. |
| 14 | Benin | 5.31 | 2011 est. |
| 15 | Congo, Democratic Republic of the | 5.24 | 2011 est. |
| 16 | Liberia | 5.13 | 2011 est. |
| 17 | Guinea | 5.10 | 2011 est. |
| 18 | Sao Tome and Principe | 5.08 | 2011 est. |
| 19 | Chad | 5.05 | 2011 est. |
| 20 | Madagascar | 5.02 | 2011 est. |
| 21 | Sierra Leone | 4.94 | 2011 est. |
| 22 | Equatorial Guinea | 4.91 | 2011 est. |
| 23 | Rwanda | 4.90 | 2011 est. |
| 24 | Sudan | 4.84 | 2011 est. |
| 25 | Senegal | 4.78 | 2011 est. |
| 26 | Gaza Strip | 4.74 | 2011 est. |
| 27 | Nigeria | 4.73 | 2011 est. |
| 28 | Comoros | 4.72 | 2011 est. |
| 29 | Togo | 4.69 | 2011 est. |
| 30 | Yemen | 4.63 | 2011 est. |
| 31 | Central African Republic | 4.63 | 2011 est. |
| 32 | Gabon | 4.59 | 2011 est. |
| 33 | Guinea-Bissau | 4.51 | 2011 est. |
| 34 | Eritrea | 4.48 | 2011 est. |
| 35 | Mauritania | 4.30 | 2011 est. |
| 36 | Western Sahara | 4.30 | 2011 est. |
| 37 | Gambia, The | 4.23 | 2011 est. |
| 38 | Kenya | 4.19 | 2011 est. |
| 39 | Cameroon | 4.17 | 2011 est. |
| 40 | Tanzania | 4.16 | 2011 est. |
| 41 | Cote d'Ivoire | 3.92 | 2011 est. |
| 42 | Iraq | 3.67 | 2011 est. |
| 43 | Tonga | 3.65 | 2011 est. |
| 44 | Zimbabwe | 3.63 | 2011 est. |
| 45 | Solomon Islands | 3.59 | 2011 est. |
| 46 | Ghana | 3.48 | 2011 est. |
| 47 | Papua New Guinea | 3.46 | 2011 est. |
| 48 | Marshall Islands | 3.44 | 2011 est. |
| 49 | Jordan | 3.39 | 2011 est. |
| 50 | Guatemala | 3.27 | 2011 est. |
| 51 | Samoa | 3.22 | 2011 est. |
| 52 | Belize | 3.21 | 2011 est. |
| 53 | Philippines | 3.19 | 2011 est. |
| 54 | Pakistan | 3.17 | 2011 est. |
| 55 | American Samoa | 3.16 | 2011 est. |
| 56 | Laos | 3.14 | 2011 est. |
| 57 | Timor-Leste | 3.13 | 2011 est. |
| 58 | Swaziland | 3.11 | 2011 est. |
| 59 | Tuvalu | 3.11 | 2011 est. |
| 60 | Honduras | 3.09 | 2011 est. |
| 61 | Nauru | 3.08 | 2011 est. |
| 62 | Haiti | 3.07 | 2011 est. |
| 63 | West Bank | 3.05 | 2011 est. |
| 64 | Bolivia | 3.00 | 2011 est. |
| 65 | Egypt | 2.97 | 2011 est. |
| 66 | Libya | 2.96 | 2011 est. |
| 67 | Lesotho | 2.94 | 2011 est. |
| 68 | Syria | 2.94 | 2011 est. |
| 69 | Tajikistan | 2.89 | 2011 est. |
| 70 | Oman | 2.87 | 2011 est. |
| 71 | Cambodia | 2.84 | 2011 est. |
| 72 | Kiribati | 2.78 | 2011 est. |
| 73 | Micronesia, Federated States of | 2.74 | 2011 est. |
| 74 | Djibouti | 2.71 | 2011 est. |
| 75 | Israel | 2.70 | 2011 est. |
| 76 | Malaysia | 2.67 | 2011 est. |
