CIA - The World Factbook --  Total fertility rate   

This entry gives a figure for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. The total fertility rate (TFR) is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman. This indicator shows the potential for population change in the country. A rate of two children per woman is considered the replacement rate for a population, resulting in relative stability in terms of total numbers. Rates above two children indicate populations growing in size and whose median age is declining. Higher rates may also indicate difficulties for families, in some situations, to feed and educate their children and for women to enter the labor force. Rates below two children indicate populations decreasing in size and growing older. Global fertility rates are in general decline and this trend is most pronounced in industrialized countries, especially Western Europe, where populations are projected to decline dramatically over the next 50 years.

| Rank | country | (children born/woman) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 7.16 | 2012 est. |
| 2 | Mali | 6.35 | 2012 est. |
| 3 | Somalia | 6.26 | 2012 est. |
| 4 | Uganda | 6.14 | 2012 est. |
| 5 | Burundi | 6.08 | 2012 est. |
| 6 | Burkina Faso | 6.07 | 2012 est. |
| 7 | Zambia | 5.85 | 2012 est. |
| 8 | South Sudan | 5.66 | 2012 est. |
| 9 | Afghanistan | 5.64 | 2012 est. |
| 10 | Congo, Republic of the | 5.59 | 2012 est. |
| 11 | Angola | 5.54 | 2012 est. |
| 12 | Mozambique | 5.40 | 2012 est. |
| 13 | Ethiopia | 5.39 | 2012 est. |
| 14 | Nigeria | 5.38 | 2012 est. |
| 15 | Malawi | 5.35 | 2012 est. |
| 16 | Timor-Leste | 5.32 | 2012 est. |
| 17 | Benin | 5.22 | 2012 est. |
| 18 | Congo, Democratic Republic of the | 5.09 | 2012 est. |
| 19 | Tanzania | 5.08 | 2012 est. |
| 20 | Guinea | 5.04 | 2012 est. |
| 21 | Liberia | 5.02 | 2012 est. |
| 22 | Sao Tome and Principe | 4.94 | 2012 est. |
| 23 | Chad | 4.93 | 2012 est. |
| 24 | Sierra Leone | 4.90 | 2012 est. |
| 25 | Equatorial Guinea | 4.83 | 2012 est. |
| 26 | Rwanda | 4.81 | 2012 est. |
| 27 | Senegal | 4.69 | 2012 est. |
| 28 | Togo | 4.64 | 2012 est. |
| 29 | Central African Republic | 4.57 | 2012 est. |
| 30 | Gaza Strip | 4.57 | 2012 est. |
| 31 | Gabon | 4.56 | 2012 est. |
| 32 | Madagascar | 4.45 | 2012 est. |
| 33 | Yemen | 4.45 | 2012 est. |
| 34 | Guinea-Bissau | 4.44 | 2012 est. |
| 35 | Eritrea | 4.37 | 2012 est. |
| 36 | Mauritania | 4.22 | 2012 est. |
| 37 | Western Sahara | 4.22 | 2012 est. |
| 38 | Sudan | 4.17 | 2012 est. |
| 39 | Ghana | 4.15 | 2012 est. |
