CIA - The World Factbook --  Stock of domestic credit   

This entry is the total quantity of credit, denominated in the domestic currency, provided by financial institutions to the central bank, state and local governments, public non-financial corporations, and the private sector. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of domestic credit | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 32,610,000,000,000 | 31 December 2009 est. |
| 2 | European Union | $ 21,290,000,000,000 | 31 December 2011 est. |
| 3 | Japan | $ 14,650,000,000,000 | 31 December 2012 est. |
| 4 | China | $ 12,590,000,000,000 | 31 December 2012 est. |
| 5 | Germany | $ 4,253,000,000,000 | 31 December 2012 est. |
| 6 | United Kingdom | $ 3,578,000,000,000 | 31 December 2012 est. |
| 7 | France | $ 3,484,000,000,000 | 31 December 2012 est. |
| 8 | Italy | $ 3,122,000,000,000 | 31 December 2012 est. |
| 9 | Canada | $ 3,046,000,000,000 | 31 December 2012 est. |
| 10 | Spain | $ 2,849,000,000,000 | 31 December 2012 est. |
| 11 | Brazil | $ 2,537,000,000,000 | 31 December 2012 est. |
| 12 | Australia | $ 2,303,000,000,000 | 31 December 2012 est. |
| 13 | Netherlands | $ 1,693,000,000,000 | 31 December 2012 est. |
| 14 | India | $ 1,402,000,000,000 | 31 December 2012 est. |
| 15 | Korea, South | $ 1,356,000,000,000 | 31 December 2011 est. |
| 16 | Switzerland | $ 1,286,000,000,000 | 31 December 2012 est. |
| 17 | Ireland | $ 892,300,000,000 | 31 December 2011 est. |
| 18 | Russia | $ 873,700,000,000 | 31 December 2012 est. |
| 19 | Sweden | $ 803,300,000,000 | 31 December 2012 est. |
| 20 | Taiwan | $ 772,000,000,000 | 31 December 2012 est. |
| 21 | Norway | $ 694,200,000,000 | 31 December 2012 est. |
| 22 | Denmark | $ 664,700,000,000 | 31 December 2012 est. |
| 23 | Austria | $ 549,000,000,000 | 31 December 2012 est. |
| 24 | Hong Kong | $ 544,600,000,000 | 31 December 2012 est. |
| 25 | Belgium | $ 542,400,000,000 | 31 December 2012 est. |
| 26 | Turkey | $ 520,900,000,000 | 31 December 2012 est. |
| 27 | Mexico | $ 445,600,000,000 | 31 December 2012 est. |
| 28 | Thailand | $ 420,400,000,000 | 31 December 2012 est. |
| 29 | Malaysia | $ 403,700,000,000 | 31 December 2012 est. |
| 30 | Luxembourg | $ 395,100,000,000 | 31 December 2009 est. |
| 31 | Portugal | $ 390,400,000,000 | 31 December 2012 est. |
| 32 | Greece | $ 388,500,000,000 | 31 December 2012 est. |
| 33 | Poland | $ 335,400,000,000 | 31 December 2012 est. |
| 34 | Indonesia | $ 323,000,000,000 | 31 December 2012 est. |
| 35 | United Arab Emirates | $ 313,700,000,000 | 31 December 2012 est. |
| 36 | South Africa | $ 287,900,000,000 | 31 December 2012 est. |
| 37 | Singapore | $ 278,800,000,000 | 31 December 2012 est. |
| 38 | Finland | $ 257,800,000,000 | 31 December 2012 est. |
| 39 | New Zealand | $ 233,800,000,000 | 31 December 2012 est. |
| 40 | Chile | $ 198,900,000,000 | 31 December 2012 est. |
| 41 | Israel | $ 180,100,000,000 | 31 December 2012 est. |
| 42 | Egypt | $ 178,400,000,000 | 31 December 2012 est. |
| 43 | Venezuela | $ 176,400,000,000 | 31 December 2012 est. |
| 44 | Colombia | $ 165,500,000,000 | 31 December 2012 est. |
| 45 | Argentina | $ 158,700,000,000 | 31 December 2012 est. |
| 46 | Vietnam | $ 156,900,000,000 | 31 December 2012 est. |
| 47 | Qatar | $ 140,900,000,000 | 31 December 2012 est. |
| 48 | Czech Republic | $ 139,900,000,000 | 31 December 2012 est. |
| 49 | Iran | $ 138,500,000,000 | 31 December 2012 est. |
| 50 | Philippines | $ 125,500,000,000 | 31 December 2012 est. |
| 51 | Ukraine | $ 117,500,000,000 | 31 December 2012 est. |
| 52 | Morocco | $ 104,900,000,000 | 31 December 2012 est. |
