CIA - The World Factbook --  Stock of domestic credit   

This entry is the total quantity of credit, denominated in the domestic currency, provided by financial institutions to the central bank, state and local governments, public non-financial corporations, and the private sector. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of domestic credit | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 32,610,000,000,000 | 31 December 2009 est. |
| 2 | European Union | $ 22,650,000,000,000 | 31 December 2009 est. |
| 3 | Japan | $ 16,390,000,000,000 | 31 December 2008 est. |
| 4 | China | $ 8,868,000,000,000 | 31 December 2010 est. |
| 5 | Germany | $ 5,200,000,000,000 | 31 December 2009 est. |
| 6 | United Kingdom | $ 5,151,000,000,000 | 31 December 2009 |
| 7 | France | $ 4,319,000,000,000 | 31 December 2009 est. |
| 8 | Spain | $ 3,683,000,000,000 | 31 December 2009 est. |
| 9 | Italy | $ 3,221,000,000,000 | 31 December 2009 est. |
| 10 | Canada | $ 2,731,000,000,000 | 31 December 2010 est. |
| 11 | Brazil | $ 2,193,000,000,000 | 31 December 2010 est. |
| 12 | Netherlands | $ 2,083,000,000,000 | 31 December 2009 est. |
| 13 | Australia | $ 1,927,000,000,000 | 31 December 2010 est. |
| 14 | India | $ 1,250,000,000,000 | 31 December 2010 est. |
| 15 | Switzerland | $ 1,119,000,000,000 | 31 December 2010 est. |
| 16 | Korea, South | $ 1,066,000,000,000 | 31 December 2010 est. |
| 17 | Belgium | $ 801,100,000,000 | 31 December 2009 est. |
| 18 | Taiwan | $ 751,500,000,000 | 31 December 2010 est. |
| 19 | Ireland | $ 745,700,000,000 | 31 December 2009 est. |
| 20 | Sweden | $ 705,400,000,000 | 31 December 2010 est. |
| 21 | Denmark | $ 672,900,000,000 | 31 December 2010 est. |
| 22 | Austria | $ 659,200,000,000 | 31 December 2009 est. |
| 23 | Norway | $ 584,400,000,000 | 31 December 2010 est. |
| 24 | Russia | $ 573,200,000,000 | 31 December 2010 est. |
| 25 | Portugal | $ 556,300,000,000 | 31 December 2009 est. |
| 26 | Turkey | $ 496,000,000,000 | 31 December 2010 est. |
| 27 | Hong Kong | $ 445,800,000,000 | 31 December 2010 est. |
| 28 | Greece | $ 442,800,000,000 | 31 December 2010 est. |
| 29 | Luxembourg | $ 395,100,000,000 | 31 December 2009 est. |
| 30 | Mexico | $ 374,200,000,000 | 31 December 2010 est. |
| 31 | Thailand | $ 365,500,000,000 | 31 December 2010 est. |
| 32 | South Africa | $ 339,900,000,000 | 31 December 2010 est. |
| 33 | Malaysia | $ 328,400,000,000 | 31 December 2010 est. |
| 34 | Poland | $ 303,100,000,000 | 31 December 2010 est. |
| 35 | United Arab Emirates | $ 274,700,000,000 | 31 December 2010 est. |
| 36 | Indonesia | $ 254,100,000,000 | 31 December 2010 est. |
| 37 | Finland | $ 242,600,000,000 | 31 December 2010 est. |
| 38 | New Zealand | $ 236,200,000,000 | 31 December 2010 est. |
| 39 | Singapore | $ 202,200,000,000 | 31 December 2010 est. |
| 40 | Israel | $ 175,600,000,000 | 31 December 2010 est. |
| 41 | Chile | $ 160,700,000,000 | 31 December 2010 est. |
| 42 | Egypt | $ 141,600,000,000 | 31 December 2010 est. |
| 43 | Vietnam | $ 138,000,000,000 | 31 December 2010 est. |
| 44 | Iran | $ 135,000,000,000 | 31 December 2010 est. |
| 45 | Czech Republic | $ 126,500,000,000 | 31 December 2010 est. |
| 46 | Colombia | $ 120,100,000,000 | 31 December 2010 est. |
| 47 | Ukraine | $ 108,100,000,000 | 31 December 2010 est. |
| 48 | Argentina | $ 104,900,000,000 | 31 December 2010 est. |
| 49 | Hungary | $ 104,800,000,000 | 31 December 2010 est. |
| 50 | Cyprus | $ 101,200,000,000 | 31 December 2009 est. |
| 51 | Kuwait | $ 99,520,000,000 | 31 December 2010 est. |
| 52 | Philippines | $ 98,220,000,000 | 31 December 2010 est. |
