CIA - The World Factbook --  REFINED PETROLEUM PRODUCTS - EXPORTS

Refined petroleum products - exports is the country's total exports of refined petroleum products, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 3,300,000 | 2014 est. |
| 2 | United States | 2,992,000 | 2013 est. |
| 3 | European Union | 2,196,000 | 2013 est. |
| 4 | Netherlands | 2,089,000 | 2013 est. |
| 5 | Singapore | 1,685,000 | 2012 est. |
| 6 | Saudi Arabia | 1,524,000 | 2012 est. |
| 7 | India | 1,380,000 | 2013 est. |
| 8 | Korea, South | 1,175,000 | 2013 est. |
| 9 | China | 593,400 | 2014 est. |
| 10 | United Kingdom | 559,800 | 2013 est. |
| 11 | Qatar | 554,300 | 2012 est. |
| 12 | Kuwait | 533,100 | 2012 est. |
| 13 | Canada | 515,600 | 2013 est. |
| 14 | Belgium | 497,500 | 2013 est. |
| 15 | Venezuela | 463,500 | 2012 est. |
| 16 | Italy | 461,600 | 2013 est. |
| 17 | Algeria | 432,700 | 2012 est. |
| 18 | France | 411,100 | 2013 est. |
| 19 | Germany | 407,300 | 2013 est. |
| 20 | Spain | 372,200 | 2013 est. |
| 21 | United Arab Emirates | 364,500 | 2012 est. |
| 22 | Norway | 358,800 | 2013 est. |
| 23 | Belarus | 357,300 | 2012 est. |
| 24 | Japan | 324,400 | 2013 est. |
| 25 | Taiwan | 315,000 | 2015 est. |
| 26 | Iran | 271,800 | 2012 est. |
| 27 | Greece | 265,400 | 2013 est. |
| 28 | Bahrain | 242,900 | 2012 est. |
| 29 | Malaysia | 235,600 | 2012 est. |
| 30 | Aruba | 234,600 | 2012 est. |
| 31 | Thailand | 233,800 | 2012 est. |
| 32 | Philippines | 219,800 | 2014 est. |
| 33 | Curacao | 211,100 | 2009 est. |
| 34 | Sweden | 192,900 | 2013 est. |
| 35 | Finland | 182,400 | 2013 est. |
| 36 | Brazil | 174,700 | 2012 est. |
| 37 | Mexico | 171,200 | 2013 est. |
| 38 | Portugal | 168,000 | 2013 est. |
| 39 | Lithuania | 160,300 | 2012 est. |
| 40 | Kazakhstan | 142,800 | 2012 est. |
| 41 | Turkey | 142,600 | 2013 est. |
| 42 | Denmark | 129,500 | 2013 est. |
| 43 | Poland | 127,300 | 2013 est. |
| 44 | Trinidad and Tobago | 111,000 | 2012 est. |
| 45 | Colombia | 96,530 | 2012 est. |
| 46 | Peru | 87,600 | 2012 est. |
| 47 | Bulgaria | 85,890 | 2012 est. |
| 48 | Slovakia | 84,830 | 2013 est. |
| 49 | Egypt | 83,000 | 2013 est. |
| 50 | South Africa | 81,660 | 2012 est. |
