CIA - The World Factbook --  Stock of broad money   

"Stock of quasi money compares the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with ""M1"" the total money supply is known as ""M2."" The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | country | Stock of broad money | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 18,150,000,000,000 | 31 December 2013 est. |
| 2 | Japan | $ 13,120,000,000,000 | 31 December 2011 est. |
| 3 | United States | $ 12,990,000,000,000 | 31 December 2011 est. |
| 4 | European Union | $ 12,900,000,000,000 | 31 December 2012 est. |
| 5 | Germany | $ 4,551,000,000,000 | 31 December 2013 est. |
| 6 | United Kingdom | $ 2,881,000,000,000 | 28 February 2014 est. |
| 7 | France | $ 2,299,000,000,000 | 31 December 2013 est. |
| 8 | Italy | $ 2,150,000,000,000 | 31 December 2013 est. |
| 9 | Spain | $ 2,003,000,000,000 | 31 December 2013 est. |
| 10 | Korea, South | $ 1,764,000,000,000 | 31 December 2013 est. |
| 11 | Australia | $ 1,661,000,000,000 | 31 December 2013 est. |
| 12 | Canada | $ 1,539,000,000,000 | 31 December 2013 est. |
| 13 | India | $ 1,376,000,000,000 | 31 December 2013 est. |
| 14 | Switzerland | $ 1,360,000,000,000 | 31 December 2013 est. |
| 15 | Hong Kong | $ 1,289,000,000,000 | 31 December 2013 est. |
| 16 | Taiwan | $ 1,189,000,000,000 | 31 December 2013 est. |
| 17 | Netherlands | $ 1,169,000,000,000 | 31 December 2013 est. |
| 18 | Russia | $ 1,061,000,000,000 | 31 December 2012 est. |
| 19 | Brazil | $ 870,800,000,000 | 31 December 2013 est. |
| 20 | Mexico | $ 713,000,000,000 | 31 December 2013 est. |
| 21 | Belgium | $ 591,700,000,000 | 31 December 2013 est. |
| 22 | Singapore | $ 519,900,000,000 | 31 December 2013 est. |
| 23 | Thailand | $ 516,400,000,000 | 31 December 2013 est. |
| 24 | Malaysia | $ 439,700,000,000 | 31 December 2013 est. |
| 25 | Austria | $ 419,000,000,000 | 31 December 2013 est. |
| 26 | Saudi Arabia | $ 416,300,000,000 | 31 December 2013 est. |
| 27 | Turkey | $ 383,500,000,000 | 31 December 2013 est. |
| 28 | Sweden | $ 349,400,000,000 | 31 December 2013 est. |
| 29 | Indonesia | $ 325,000,000,000 | 31 December 2013 est. |
| 30 | Norway | $ 312,900,000,000 | 31 December 2013 est. |
| 31 | Poland | $ 291,100,000,000 | 31 December 2013 est. |
| 32 | Portugal | $ 283,900,000,000 | 31 December 2013 est. |
| 33 | United Arab Emirates | $ 260,200,000,000 | 31 December 2013 est. |
| 34 | Greece | $ 247,400,000,000 | 31 December 2013 est. |
| 35 | Ireland | $ 238,000,000,000 | 31 December 2013 est. |
| 36 | Luxembourg | $ 235,800,000,000 | 31 December 2013 est. |
| 37 | South Africa | $ 198,000,000,000 | 31 December 2013 est. |
| 38 | Egypt | $ 191,200,000,000 | 31 December 2013 est. |
| 39 | Venezuela | $ 185,600,000,000 | 31 December 2013 est. |
| 40 | Vietnam | $ 184,900,000,000 | 31 December 2013 est. |
| 41 | Finland | $ 183,300,000,000 | 31 December 2013 est. |
| 42 | Denmark | $ 180,200,000,000 | 31 December 2013 est. |
| 43 | Colombia | $ 163,200,000,000 | 31 December 2013 est. |
| 44 | Chile | $ 159,000,000,000 | 31 December 2013 est. |
| 45 | Czech Republic | $ 154,000,000,000 | 30 September 2013 est. |
| 46 | Israel | $ 151,200,000,000 | 31 December 2013 est. |
| 47 | Argentina | $ 145,000,000,000 | 31 December 2013 est. |
| 48 | Algeria | $ 140,200,000,000 | 31 December 2013 est. |
| 49 | Philippines | $ 137,700,000,000 | 31 December 2013 est. |
| 50 | Qatar | $ 136,000,000,000 | 31 December 2013 est. |
| 51 | Kuwait | $ 110,100,000,000 | 31 December 2013 est. |
| 52 | Ukraine | $ 100,300,000,000 | 31 December 2013 est. |
| 53 | Nigeria | $ 98,750,000,000 | 31 December 2013 est. |
| 54 | Lebanon | $ 97,040,000,000 | 31 December 2011 est. |
| 55 | Pakistan | $ 93,110,000,000 | 31 December 2013 est. |
| 56 | New Zealand | $ 91,280,000,000 | 31 December 2013 est. |
| 57 | Morocco | $ 90,760,000,000 | 31 December 2013 est. |
| 58 | Bangladesh | $ 85,610,000,000 | 31 December 2013 est. |
| 59 | Peru | $ 80,910,000,000 | 31 December 2013 est. |
| 60 | Iraq | $ 74,810,000,000 | 31 December 2013 est. |
| 61 | Romania | $ 74,210,000,000 | 31 December 2013 est. |
| 62 | Oman | $ 71,420,000,000 | 31 December 2010 est. |
