CIA - The World Factbook --  STOCK OF BROAD MONEY

"Stock of quasi money compares the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with ""M1"" the total money supply is known as ""M2."" The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | Country | STOCK OF BROAD MONEY | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $20,930,000,000,000 | 31 December 2015 est. |
| 2 | European Union | $12,490,000,000,000 | 31 December 2012 est. |
| 3 | United States | $11,790,000,000,000 | 31 December 2014 est. |
| 4 | Japan | $8,073,000,000,000 | 31 December 2014 est. |
| 5 | Germany | $4,347,000,000,000 | 31 December 2014 est. |
| 6 | United Kingdom | $3,567,000,000,000 | 31 December 2014 est. |
| 7 | France | $2,541,000,000,000 | 31 December 2014 est. |
| 8 | Italy | $2,134,000,000,000 | 31 December 2014 est. |
| 9 | Korea, South | $1,973,000,000,000 | 31 December 2014 est. |
| 10 | India | $1,711,000,000,000 | 31 December 2015 est. |
| 11 | Australia | $1,661,000,000,000 | 31 December 2013 est. |
| 12 | Hong Kong | $1,576,000,000,000 | 31 December 2015 est. |
| 13 | Canada | $1,486,000,000,000 | 31 December 2014 est. |
| 14 | Switzerland | $1,347,000,000,000 | 31 December 2014 est. |
| 15 | Spain | $1,257,000,000,000 | 31 December 2015 est. |
| 16 | Taiwan | $1,249,000,000,000 | 31 December 2014 est. |
| 17 | Netherlands | $1,119,000,000,000 | 31 December 2014 est. |
| 18 | Brazil | $928,900,000,000 | 31 December 2014 est. |
| 19 | Russia | $926,800,000,000 | 31 October 2014 est. |
| 20 | Mexico | $826,700,000,000 | 31 December 2014 est. |
| 21 | Belgium | $606,900,000,000 | 31 December 2014 est. |
| 22 | Thailand | $517,400,000,000 | 31 December 2014 est. |
| 23 | Saudi Arabia | $513,300,000,000 | 31 December 2015 est. |
| 24 | Malaysia | $478,700,000,000 | 31 December 2014 est. |
| 25 | Turkey | $474,700,000,000 | 31 December 2014 est. |
| 26 | Austria | $428,900,000,000 | 31 December 2014 est. |
| 27 | Singapore | $413,700,000,000 | 31 December 2014 est. |
| 28 | Venezuela | $360,000,000,000 | 31 December 2014 est. |
| 29 | Indonesia | $348,600,000,000 | 31 December 2014 est. |
