CIA - The World Factbook --  Stock of broad money   

This entry covers all of "Narrow money," plus the total quantity of time and savings deposits, credit union deposits, institutional money market funds, short-term repurchase agreements between the central bank and commercial deposit banks, and other large liquid assets held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. In addition to serving as a medium of exchange, broad money includes assets that are slightly less liquid than narrow money and the assets tend to function as a "store of value" - a means of holding wealth.

| Rank | country | Stock of broad money | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | $ 16,460,000,000,000 | 31 December 2010 |
| 2 | United States | $ 12,140,000,000,000 | 31 December 2010 est. |
| 3 | European Union | $ 11,170,000,000,000 | 31 December 2010 est. |
| 4 | China | $ 10,960,000,000,000 | 31 December 2010 est. |
| 5 | Germany | $ 4,173,000,000,000 | 31 December 2010 est. |
| 6 | United Kingdom | $ 3,362,000,000,000 | 31 December 2010 est. |
| 7 | France | $ 2,570,000,000,000 | 31 December 2011 est. |
| 8 | Spain | $ 2,388,000,000,000 | 31 December 2010 est. |
| 9 | Italy | $ 2,065,000,000,000 | 31 December 2010 est. |
| 10 | Brazil | $ 1,826,000,000,000 | 31 December 2010 est. |
| 11 | Australia | $ 1,392,000,000,000 | 31 December 2010 est. |
| 12 | Canada | $ 1,356,000,000,000 | 31 December 2010 est. |
| 13 | Korea, South | $ 1,346,000,000,000 | 31 December 2009 |
| 14 | India | $ 1,323,000,000,000 | 31 December 2010 est. |
| 15 | Netherlands | $ 1,088,000,000,000 | 31 December 2010 est. |
| 16 | Taiwan | $ 1,022,000,000,000 | 31 December 2010 est. |
| 17 | Switzerland | $ 982,600,000,000 | 31 December 2010 est. |
| 18 | Hong Kong | $ 914,900,000,000 | 31 December 2009 |
| 19 | Russia | $ 780,600,000,000 | 31 December 2010 est. |
| 20 | Mexico | $ 582,900,000,000 | 31 December 2010 est. |
| 21 | Belgium | $ 548,300,000,000 | 31 December 2010 est. |
| 22 | Austria | $ 401,700,000,000 | 31 December 2010 est. |
| 23 | Turkey | $ 400,300,000,000 | 31 December 2010 est. |
| 24 | Thailand | $ 390,600,000,000 | 31 December 2010 est. |
| 25 | Malaysia | $ 358,100,000,000 | 31 December 2010 est. |
| 26 | Portugal | $ 319,400,000,000 | 31 December 2010 est. |
| 27 | Greece | $ 316,800,000,000 | 31 December 2010 est. |
