CIA - The World Factbook --  Stock of broad money   

This entry covers all of "Narrow money," plus the total quantity of time and savings deposits, credit union deposits, institutional money market funds, short-term repurchase agreements between the central bank and commercial deposit banks, and other large liquid assets held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. In addition to serving as a medium of exchange, broad money includes assets that are slightly less liquid than narrow money and the assets tend to function as a "store of value" - a means of holding wealth.

| Rank | country | Stock of broad money | Date of Information |
| --- | --- | --- | --- |
| 1 | World | $ 75,860,000,000,000 | NA |
| 2 | Japan | $ 18,300,000,000,000 | NA |
| 3 | United States | $ 12,390,000,000,000 | NA |
| 4 | European Union | $ 11,170,000,000,000 | NA |
| 5 | China | $ 10,080,000,000,000 | NA |
| 6 | Germany | $ 4,288,000,000,000 | NA |
| 7 | United Kingdom | $ 3,344,000,000,000 | NA |
| 8 | France | $ 2,292,000,000,000 | NA |
| 9 | Spain | $ 2,264,000,000,000 | NA |
| 10 | Italy | $ 1,884,000,000,000 | NA |
| 11 | Brazil | $ 1,522,000,000,000 | NA |
| 12 | Canada | $ 1,469,000,000,000 | NA |
| 13 | Korea, South | $ 1,346,000,000,000 | NA |
| 14 | India | $ 1,290,000,000,000 | NA |
| 15 | Australia | $ 1,134,000,000,000 | NA |
| 16 | Netherlands | $ 1,124,000,000,000 | NA |
| 17 | Taiwan | $ 952,200,000,000 | NA |
| 18 | Hong Kong | $ 850,800,000,000 | NA |
| 19 | Switzerland | $ 834,600,000,000 | NA |
| 20 | Russia | $ 650,700,000,000 | NA |
| 21 | Mexico | $ 583,800,000,000 | NA |
| 22 | Belgium | $ 539,400,000,000 | NA |
| 23 | Austria | $ 402,800,000,000 | NA |
| 24 | Thailand | $ 354,500,000,000 | NA |
| 25 | Malaysia | $ 337,600,000,000 | NA |
| 26 | Greece | $ 335,900,000,000 | NA |
| 27 | Singapore | $ 295,800,000,000 | NA |
| 28 | Sweden | $ 293,200,000,000 | NA |
| 29 | Saudi Arabia | $ 286,900,000,000 | NA |
| 30 | Portugal | $ 282,000,000,000 | NA |
| 31 | Indonesia | $ 276,800,000,000 | NA |
| 32 | Ireland | $ 257,100,000,000 | NA |
| 33 | Norway | $ 256,300,000,000 | NA |
| 34 | South Africa | $ 256,200,000,000 | NA |
| 35 | Luxembourg | $ 255,500,000,000 | NA |
| 36 | Turkey | $ 255,500,000,000 | NA |
| 37 | Poland | $ 251,900,000,000 | NA |
| 38 | United Arab Emirates | $ 228,500,000,000 | NA |
| 39 | Denmark | $ 209,000,000,000 | NA |
| 40 | Israel | $ 208,800,000,000 | NA |
| 41 | Iran | $ 167,400,000,000 | NA |
| 42 | Egypt | $ 166,200,000,000 | NA |
| 43 | Syria | $ 161,000,000,000 | NA |
| 44 | Finland | $ 160,400,000,000 | NA |
| 45 | Chile | $ 160,300,000,000 | NA |
| 46 | Czech Republic | $ 138,600,000,000 | NA |
| 47 | Vietnam | $ 118,800,000,000 | NA |
| 48 | New Zealand | $ 118,100,000,000 | NA |
| 49 | Argentina | $ 112,900,000,000 | NA |
| 50 | Algeria | $ 109,700,000,000 | NA |
| 51 | Morocco | $ 108,700,000,000 | NA |
| 52 | Colombia | $ 104,900,000,000 | NA |
| 53 | Lebanon | $ 92,010,000,000 | NA |
| 54 | Nigeria | $ 91,970,000,000 | NA |
| 55 | Philippines | $ 91,500,000,000 | NA |
| 56 | Kuwait | $ 88,710,000,000 | NA |
| 57 | Pakistan | $ 85,220,000,000 | NA |
