CIA - The World Factbook --  STOCK OF BROAD MONEY

"Stock of quasi money compares the total quantity of time and savings deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. When added together with ""M1"" the total money supply is known as ""M2."" The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | Country | STOCK OF BROAD MONEY | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $20,340,000,000,000 | 31 December 2014 est. |
| 2 | European Union | $12,900,000,000,000 | 31 December 2012 est. |
| 3 | United States | $11,790,000,000,000 | 31 December 2014 est. |
| 4 | Japan | $8,073,000,000,000 | 31 December 2014 est. |
| 5 | Germany | $4,347,000,000,000 | 31 December 2014 est. |
| 6 | United Kingdom | $3,567,000,000,000 | 31 December 2014 est. |
| 7 | France | $2,637,000,000,000 | 31 December 2014 est. |
| 8 | Italy | $2,134,000,000,000 | 31 December 2014 est. |
| 9 | Spain | $2,010,000,000,000 | 31 December 2014 est. |
| 10 | Korea, South | $1,955,000,000,000 | 31 December 2014 est. |
| 11 | India | $1,664,000,000,000 | 31 December 2014 est. |
| 12 | Australia | $1,661,000,000,000 | 31 December 2013 est. |
| 13 | Canada | $1,486,000,000,000 | 31 December 2014 est. |
| 14 | Hong Kong | $1,414,000,000,000 | 31 December 2014 est. |
| 15 | Switzerland | $1,347,000,000,000 | 31 December 2014 est. |
| 16 | Taiwan | $1,249,000,000,000 | 31 December 2014 est. |
| 17 | Netherlands | $1,119,000,000,000 | 31 December 2014 est. |
| 18 | Brazil | $928,900,000,000 | 31 December 2014 est. |
| 19 | Russia | $926,800,000,000 | 31 October 2014 est. |
| 20 | Mexico | $826,700,000,000 | 31 December 2014 est. |
| 21 | Belgium | $606,900,000,000 | 31 December 2014 est. |
| 22 | Thailand | $520,800,000,000 | 31 December 2014 est. |
| 23 | Singapore | $519,900,000,000 | 31 December 2013 est. |
| 24 | Malaysia | $478,700,000,000 | 31 December 2014 est. |
| 25 | Turkey | $474,700,000,000 | 31 December 2014 est. |
| 26 | Saudi Arabia | $461,100,000,000 | 31 December 2014 est. |
| 27 | Austria | $428,900,000,000 | 31 December 2014 est. |
| 28 | Venezuela | $360,000,000,000 | 31 December 2014 est. |
| 29 | Indonesia | $348,600,000,000 | 31 December 2014 est. |
| 30 | United Arab Emirates | $343,600,000,000 | 31 December 2014 est. |
| 31 | Sweden | $336,800,000,000 | 31 December 2014 est. |
| 32 | Norway | $323,900,000,000 | 31 December 2014 est. |
| 33 | Poland | $306,700,000,000 | 31 December 2014 est. |
| 34 | Portugal | $296,100,000,000 | 31 December 2014 est. |
| 35 | Luxembourg | $265,500,000,000 | 31 December 2014 est. |
| 36 | Greece | $260,900,000,000 | 31 December 2014 est. |
| 37 | Ireland | $255,300,000,000 | 31 December 2014 est. |
| 38 | Vietnam | $232,700,000,000 | 31 December 2014 est. |
| 39 | Egypt | $219,000,000,000 | 31 December 2014 est. |
| 40 | South Africa | $204,100,000,000 | 31 December 2014 est. |
| 41 | Philippines | $184,800,000,000 | 31 December 2014 est. |
| 42 | Denmark | $181,100,000,000 | 31 December 2014 est. |
| 43 | Finland | $179,800,000,000 | 31 December 2014 est. |
| 44 | Colombia | $177,500,000,000 | 31 December 2014 est. |
| 45 | Algeria | $164,500,000,000 | 31 December 2014 est. |
| 46 | Chile | $154,400,000,000 | 31 December 2014 est. |
| 47 | Israel | $153,500,000,000 | 31 December 2014 est. |
| 48 | Czech Republic | $152,900,000,000 | 31 December 2014 est. |
| 49 | Qatar | $142,100,000,000 | 31 December 2014 est. |
| 50 | Argentina | $120,800,000,000 | 31 December 2014 est. |
| 51 | Kuwait | $116,300,000,000 | 31 December 2014 est. |
| 52 | Nigeria | $108,700,000,000 | 31 December 2014 est. |
| 53 | New Zealand | $105,100,000,000 | 31 December 2014 est. |
| 54 | Bangladesh | $98,430,000,000 | 31 December 2014 est. |
| 55 | Pakistan | $97,270,000,000 | 31 October 2014 est. |
| 56 | Morocco | $92,720,000,000 | 31 December 2014 est. |
| 57 | Peru | $91,260,000,000 | 31 December 2014 est. |
| 58 | Iraq | $78,520,000,000 | 31 December 2014 est. |
| 59 | Ukraine | $78,020,000,000 | 31 December 2014 est. |
| 60 | Hungary | $69,770,000,000 | 31 December 2014 est. |
| 61 | Romania | $68,630,000,000 | 31 December 2014 est. |
| 62 | Iran | $67,420,000,000 | 31 December 2014 est. |
| 63 | Macau | $64,670,000,000 | 31 December 2014 est. |
| 64 | Slovakia | $60,020,000,000 | 31 December 2014 est. |
| 65 | Libya | $54,660,000,000 | 31 December 2014 est. |
| 66 | Kazakhstan | $52,890,000,000 | 31 December 2014 est. |
| 67 | Angola | $51,710,000,000 | 31 December 2014 est. |
| 68 | Lebanon | $48,040,000,000 | 11 December 2014 est. |
| 69 | Zimbabwe | $47,640,000,000 | 31 December 2013 est. |
| 70 | Bulgaria | $46,420,000,000 | 31 December 2014 est. |
| 71 | Croatia | $46,320,000,000 | 31 December 2014 est. |
| 72 | Cyprus | $43,410,000,000 | 31 December 2014 est. |
| 73 | Jordan | $42,260,000,000 | 31 December 2014 est. |
| 74 | Ecuador | $34,530,000,000 | 31 December 2014 est. |
| 75 | Oman | $34,210,000,000 | 31 December 2014 est. |
| 76 | Tunisia | $31,320,000,000 | 31 December 2014 est. |
| 77 | Panama | $28,220,000,000 | 31 December 2014 est. |
| 78 | Sri Lanka | $27,190,000,000 | 31 December 2014 est. |
| 79 | Slovenia | $26,110,000,000 | 31 December 2014 est. |
| 80 | Bahrain | $25,910,000,000 | 31 December 2014 est. |
| 81 | Cuba | $24,630,000,000 | 31 December 2013 est. |
| 82 | Azerbaijan | $24,180,000,000 | 31 December 2014 est. |
| 83 | Kenya | $24,020,000,000 | 31 December 2014 est. |
| 84 | Guatemala | $23,830,000,000 | 31 December 2013 est. |
| 85 | Lithuania | $22,250,000,000 | 31 December 2014 est. |
| 86 | Bolivia | $20,190,000,000 | 31 December 2013 est. |
| 87 | Serbia | $19,820,000,000 | 31 December 2014 est. |
| 88 | Ethiopia | $19,230,000,000 | 31 December 2014 est. |
| 89 | Dominican Republic | $17,420,000,000 | 31 December 2014 est. |
| 90 | Costa Rica | $17,410,000,000 | 31 December 2014 est. |
