CIA - The World Factbook --  Refugees and internally displaced persons   

This entry includes those persons residing in a country as refugees or internally displaced persons (IDPs). Each country's refugee entry includes only countries of origin that are the source of refugee populations of 5,000 or more. The definition of a refugee according to a United Nations Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state.

| Rank | country | Refugees and internally displaced persons | Date of Information |
| --- | --- | --- | --- |
| 1 | Syria | 6,500,000.00 | NA |
| 2 | Pakistan | 2,900,000.00 | NA |
| 3 | Congo, Democratic Republic of the | 2,669,069.00 | NA |
| 4 | Iran | 2,400,000.00 | NA |
| 5 | Jordan | 1,979,580.00 | NA |
| 6 | Lebanon | 842,482.00 | NA |
| 7 | Burma | 808,075.00 | NA |
| 8 | Nepal | 800,000.00 | NA |
| 9 | Pakistan | 758,000.00 | NA |
| 10 | West Bank | 727,471.00 | NA |
| 11 | Central African Republic | 710,000.00 | NA |
| 12 | Cote d'Ivoire | 700,000.00 | NA |
| 13 | Burma | 649,000.00 | NA |
| 14 | Afghanistan | 612,000.00 | NA |
| 15 | Azerbaijan | 600,000.00 | NA |
| 16 | Jordan | 567,111.00 | NA |
| 17 | Turkey | 553,281.00 | NA |
| 18 | Thailand | 506,197.00 | NA |
| 19 | Syria | 486,946.00 | NA |
| 20 | Kenya | 474,226.00 | NA |
| 21 | Lebanon | 436,154.00 | NA |
| 22 | Chad | 346,000.00 | NA |
