CIA - The World Factbook --  Refugees and internally displaced persons   

This entry includes those persons residing in a country as refugees or internally displaced persons (IDPs). The definition of a refugee according to a United Nations Convention is "a person who is outside his/her country of nationality or habitual residence; has a well-founded fear of persecution because of his/her race, religion, nationality, membership in a particular social group or political opinion; and is unable or unwilling to avail himself/herself of the protection of that country, or to return there, for fear of persecution." The UN established the Office of the UN High Commissioner for Refugees (UNHCR) in 1950 to handle refugee matters worldwide. The UN Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) has a different operational definition for a Palestinian refugee: "a person whose normal place of residence was Palestine during the period 1 June 1946 to 15 May 1948 and who lost both home and means of livelihood as a result of the 1948 conflict." However, UNHCR also assists some 400,000 Palestinian refugees not covered under the UNRWA definition. The term "internally displaced person" is not specifically covered in the UN Convention; it is used to describe people who have fled their homes for reasons similar to refugees, but who remain within their own national territory and are subject to the laws of that state.

| Rank | country | Refugees and internally displaced persons | Date of Information |
| --- | --- | --- | --- |
| 1 | Iraq | 2,400,000.00 | 2007 |
| 2 | Jordan | 1,835,704.00 | 2007 |
| 3 | Congo, Democratic Republic of the | 1,400,000.00 | 2007 |
| 4 | Uganda | 1,270,000.00 | 2007 |
| 5 | Somalia | 1,100,000.00 | 2007 |
| 6 | Pakistan | 1,043,984.00 | 2007 |
| 7 | Gaza Strip | 1,017,000.00 | 2007 |
| 8 | Iran | 914,268.00 | 2007 |
| 9 | West Bank | 722,000.00 | 2007 |
| 10 | Cote d'Ivoire | 709,000.00 | 2007 |
| 11 | Zimbabwe | 569,685.00 | 2007 |
| 12 | Syria | 522,100.00 | 2007 |
| 13 | Burma | 503,000.00 | 2007 |
| 14 | Jordan | 500,000.00 | 2007 |
| 15 | Sri Lanka | 460,000.00 | 2007 |
| 16 | Lebanon | 405,425.00 | 2007 |
| 17 | Tanzania | 352,640.00 | 2007 |
| 18 | Syria | 305,000.00 | 2007 |
| 19 | China | 300,897.00 | 2007 |
| 20 | Philippines | 300,000.00 | 2007 |
| 21 | Saudi Arabia | 240,015.00 | 2007 |
| 22 | Chad | 234,000.00 | 2007 |
| 23 | Uganda | 215,700.00 | 2007 |
| 24 | Cyprus | 210,000.00 | 2007 |
| 25 | Serbia | 206,000.00 | 2007 |
| 26 | Ethiopia | 200,000.00 | 2007 |
| 27 | Lebanon | 200,000.00 | 2007 |
| 28 | Central African Republic | 197,000.00 | 2007 |
| 29 | Chad | 178,918.00 | 2007 |
| 30 | Kenya | 173,702.00 | 2007 |
| 31 | Jordan | 160,000.00 | 2007 |
| 32 | Sudan | 157,220.00 | 2007 |
| 33 | Congo, Democratic Republic of the | 132,295.00 | 2007 |
| 34 | Thailand | 132,241.00 | 2007 |
| 35 | Bosnia and Herzegovina | 131,600.00 | 2007 |
| 36 | Tanzania | 127,973.00 | 2007 |
| 37 | Armenia | 113,295.00 | 2007 |
| 38 | Nepal | 107,803.00 | 2007 |
| 39 | Burundi | 100,000.00 | 2007 |
| 40 | Timor-Leste | 100,000.00 | 2007 |
| 41 | Yemen | 91,587.00 | 2007 |
| 42 | Algeria | 90,000.00 | 2007 |
| 43 | China | 90,000.00 | 2007 |
| 44 | India | 77,200.00 | 2007 |
| 45 | Kenya | 73,004.00 | 2007 |
| 46 | Serbia | 71,111.00 | 2007 |
| 47 | Egypt | 70,198.00 | 2007 |
| 48 | India | 69,609.00 | 2007 |
| 49 | Ethiopia | 66,980.00 | 2007 |
| 50 | Bangladesh | 65,000.00 | 2007 |
| 51 | Angola | 61,700.00 | 2007 |
| 52 | Zambia | 60,874.00 | 2007 |
| 53 | Chad | 54,200.00 | 2007 |
| 54 | Iran | 54,024.00 | 2007 |
| 55 | Congo, Republic of the | 48,000.00 | 2007 |
| 56 | Congo, Republic of the | 46,341.00 | 2007 |
| 57 | Rwanda | 46,272.00 | 2007 |
| 58 | Zambia | 42,565.00 | 2007 |
| 59 | Uzbekistan | 39,202.00 | 2007 |
| 60 | Congo, Democratic Republic of the | 37,313.00 | 2007 |
| 61 | Ghana | 35,653.00 | 2007 |
| 62 | Pakistan | 34,000.00 | 2007 |
| 63 | Eritrea | 32,000.00 | 2007 |
| 64 | Uganda | 28,880.00 | 2007 |
| 65 | Serbia | 27,414.00 | 2007 |
| 66 | Sierra Leone | 27,311.00 | 2007 |
| 67 | Bangladesh | 26,268.00 | 2007 |
| 68 | Cote d'Ivoire | 25,615.00 | 2007 |
| 69 | Sudan | 25,023.00 | 2007 |
| 70 | Uganda | 24,900.00 | 2007 |
| 71 | Cameroon | 24,000.00 | 2007 |
| 72 | Senegal | 22,400.00 | 2007 |
| 73 | Guinea | 21,856.00 | 2007 |
| 74 | Malaysia | 21,544.00 | 2007 |
| 75 | Kosovo | 21,000.00 | 2007 |
| 76 | Nepal | 20,153.00 | 2007 |
| 77 | Senegal | 19,630.00 | 2007 |
| 78 | Guinea | 19,000.00 | 2007 |
| 79 | Congo, Democratic Republic of the | 17,777.00 | 2007 |
