CIA - The World Factbook --  Television broadcast stations   

| Rank | country | Television broadcast stations | Date of Information |
| --- | --- | --- | --- |
| 1 | Russia | 7,306.00 | 1998 |
| 2 | China | 3,240.00 | 1997 |
| 3 | European Union | 2,700.00 | NA |
| 4 | United States | 2,218.00 | 2006 |
| 5 | India | 1,400.00 | 2009 |
| 6 | United Kingdom | 940.00 | 2008 |
| 7 | Mexico | 729.00 | 2009 |
| 8 | Ukraine | 647.00 | 2006 |
| 9 | Romania | 623.00 | 2006 |
| 10 | France | 584.00 | 1995 |
| 11 | South Africa | 556.00 | 1997 |
| 12 | Spain | 379.00 | 2008 |
| 13 | Germany | 373.00 | 1995 |
| 14 | Italy | 358.00 | 1995 |
| 15 | Netherlands | 342.00 | 2009 |
| 16 | Philippines | 297.00 | 2008 |
| 17 | Sweden | 252.00 | 2008 |
| 18 | Turkey | 251.00 | 2009 |
| 19 | Japan | 211.00 | 1999 |
| 20 | Denmark | 172.00 | 2008 |
| 21 | Canada | 148.00 | 2007 |
| 22 | Brazil | 138.00 | 1997 |
| 23 | Serbia | 138.00 | 2009 |
| 24 | Finland | 120.00 | NA |
| 25 | Saudi Arabia | 117.00 | 1997 |
| 26 | Thailand | 111.00 | 2006 |
| 27 | Switzerland | 106.00 | 2007 |
| 28 | Australia | 104.00 | 1997 |
| 29 | Mongolia | 99.00 | 2009 |
| 30 | Hungary | 95.00 | 2008 |
| 31 | Malaysia | 88.00 | 2006 |
| 32 | Taiwan | 76.00 | 2007 |
| 33 | Macedonia | 76.00 | 2009 |
| 34 | Poland | 75.00 | 2008 |
| 35 | Czech Republic | 71.00 | 2008 |
| 36 | Norway | 69.00 | 2008 |
| 37 | Vietnam | 67.00 | 2006 |
| 38 | Venezuela | 66.00 | 1997 |
| 39 | Albania | 65.00 | 2005 |
| 40 | Egypt | 64.00 | 2010 |
| 41 | Chile | 63.00 | 1997 |
| 42 | Uruguay | 62.00 | 2005 |
| 43 | Colombia | 60.00 | 1997 |
| 44 | Cuba | 58.00 | 1997 |
| 45 | Korea, South | 57.00 | 2008 |
| 46 | Indonesia | 54.00 | 2006 |
| 47 | Bolivia | 48.00 | 1997 |
| 48 | Armenia | 48.00 | 2006 |
| 49 | Belarus | 47.00 | 1995 |
| 50 | Algeria | 46.00 | 1995 |
| 51 | Syria | 44.00 | 1995 |
| 52 | Lithuania | 44.00 | 2008 |
| 53 | Portugal | 42.00 | 2008 |
| 54 | Argentina | 42.00 | 1997 |
| 55 | New Zealand | 41.00 | 1997 |
| 56 | Moldova | 40.00 | 2006 |
| 57 | Bulgaria | 39.00 | 2001 |
| 58 | Panama | 38.00 | 1998 |
| 59 | Slovakia | 37.00 | 2008 |
| 60 | Latvia | 37.00 | 2008 |
| 61 | Greece | 36.00 | 1995 |
| 62 | Croatia | 36.00 | 1995 |
| 63 | Puerto Rico | 34.00 | 2008 |
| 64 | Bosnia and Herzegovina | 33.00 | 1995 |
| 65 | Slovenia | 31.00 | 2006 |
| 66 | West Bank | 31.00 | 2010 |
| 67 | Iran | 29.00 | 1997 |
| 68 | Laos | 28.00 | 2010 |
| 69 | Uzbekistan | 28.00 | 2006 |
| 70 | Iraq | 28.00 | 2009 |
| 71 | Tunisia | 26.00 | 1995 |
| 72 | Guatemala | 26.00 | 1997 |
| 73 | Dominican Republic | 25.00 | 2003 |
| 74 | Belgium | 25.00 | 1997 |
| 75 | Tajikistan | 24.00 | 2009 |
| 76 | Pakistan | 20.00 | 2006 |
| 77 | Costa Rica | 20.00 | 2002 |
| 78 | Bangladesh | 17.00 | 2009 |
| 79 | Afghanistan | 16.00 | 2009 |
| 80 | Nicaragua | 16.00 | 2009 |
| 81 | Zimbabwe | 16.00 | 1997 |
| 82 | Estonia | 15.00 | 2008 |
| 83 | United Arab Emirates | 15.00 | 2004 |
| 84 | Iceland | 14.00 | 1997 |
| 85 | Cote d'Ivoire | 14.00 | 1998 |
| 86 | Kuwait | 13.00 | 1997 |
| 87 | Peru | 13.00 | 1997 |
| 88 | Oman | 13.00 | 1999 |
| 89 | Montenegro | 13.00 | 2004 |
| 90 | Swaziland | 12.00 | 2004 |
| 91 | Kazakhstan | 12.00 | 1998 |
| 92 | Georgia | 12.00 | 1998 |
| 93 | Libya | 12.00 | 1999 |
| 94 | Sri Lanka | 12.00 | 2009 |
| 95 | Lebanon | 12.00 | 2009 |
| 96 | Honduras | 11.00 | 1997 |
| 97 | Azerbaijan | 10.00 | 2010 |
| 98 | Zambia | 9.00 | 2001 |
| 99 | Cambodia | 9.00 | 2009 |
| 100 | Austria | 9.00 | 2010 |
| 101 | Nepal | 9.00 | 2008 |
| 102 | Kenya | 8.00 | 2008 |
| 103 | Kyrgyzstan | 8.00 | 2007 |
| 104 | Cyprus | 8.00 | 2004 |
| 105 | Uganda | 8.00 | 2001 |
| 106 | Morocco | 8.00 | 2009 |
| 107 | Jamaica | 7.00 | 1997 |
| 108 | Senegal | 7.00 | 2008 |
| 109 | Belize | 7.00 | 2008 |
| 110 | Israel | 7.00 | 2009 |
| 111 | French Polynesia | 7.00 | 1997 |
| 112 | Ghana | 7.00 | 2007 |
| 113 | Ecuador | 7.00 | 2000 |
| 114 | Malta | 6.00 | 2009 |
| 115 | New Caledonia | 6.00 | 1997 |
| 116 | Paraguay | 6.00 | 2009 |
| 117 | Guinea | 6.00 | 2001 |
| 118 | Angola | 6.00 | 2000 |
| 119 | Benin | 6.00 | 2007 |
| 120 | Trinidad and Tobago | 6.00 | 2005 |
| 121 | Virgin Islands | 5.00 | 2006 |
| 122 | Liberia | 5.00 | 2007 |
| 123 | El Salvador | 5.00 | 1997 |
| 124 | Monaco | 5.00 | 1998 |
| 125 | Niger | 5.00 | 2007 |
| 126 | Luxembourg | 5.00 | 1999 |
| 127 | Jordan | 4.00 | 2009 |
| 128 | Korea, North | 4.00 | 2003 |
| 129 | Mozambique | 4.00 | 2008 |
| 130 | Somalia | 4.00 | 2001 |
| 131 | Turkmenistan | 4.00 | 2008 |
| 132 | Bahrain | 4.00 | 1997 |
| 133 | Gabon | 4.00 | 2001 |
| 134 | Brunei | 4.00 | 2006 |
| 135 | Congo, Democratic Republic of the | 4.00 | 2001 |
| 136 | Cayman Islands | 4.00 | 2004 |
| 137 | Cocos (Keeling) Islands | 4.00 | 2007 |
| 138 | Ireland | 4.00 | 2008 |
| 139 | Burma | 4.00 | 2008 |
| 140 | Yemen | 3.00 | 2007 |
| 141 | Nigeria | 3.00 | 2001 |
| 142 | Suriname | 3.00 | 2000 |
| 143 | Papua New Guinea | 3.00 | 2004 |
| 144 | Sudan | 3.00 | 1997 |
| 145 | Tonga | 3.00 | 2004 |
| 146 | Guyana | 3.00 | 1997 |
| 147 | Tanzania | 3.00 | 1999 |
| 148 | Burkina Faso | 3.00 | NA |
| 149 | Bermuda | 3.00 | 2005 |
