Field Listing :: Military and security service personnel strengths :: The World Factbook

This entry provides estimates of military and security services personnel strengths. The numbers are based on a wide-range of publicly available information. Unless otherwise noted, military estimates focus on the major services (army, navy, air force, and where applicable, gendarmeries) and do not account for activated reservists or delineate military service members assigned to joint staffs or defense ministries.

| Country | Military and security service personnel strengths |
| --- | --- |
| **Afghanistan** | Afghan National Defense and Security Forces (ANDSF) have approximately 290,000 active personnel; Ministry of Defense: 185,000; Ministry of Interior: 105,000 (2020) |
| | *note:* the authorized strength of the ANDSF, the force level that the international community is willing to fund, is 352,000 personnel |
| **Albania** | the Albanian military has approximately 10,000 total active duty personnel (8,000 Army; 1,500 Navy; 500 Air Force; note - as many as 4,000 personnel are assigned to support forces) (2019 est.) |
| **Algeria** | the Algerian People's National Army (ANP) has approximately 130,000 total active personnel (110,000 Army; 6,000 Navy; 14,000 Air Force); est. 40,000 Gendarmerie |
| | (2019 est.) |
| **Angola** | the Angolan Armed Forces (FAA) are comprised of approximately 107,000 active troops (100,000 Army; 1,000 Navy; 6,000 Air Force); est. 10,000 Rapid Reaction Police (2019) |
| **Antigua and Barbuda** | the Antigua and Barbuda Defense Force (ABDF) has approximately 200 active personnel (2019 est.) |
| **Argentina** | Argentina's armed forces have approximately 75,000 (45,000 Army; 17,000 Navy; 13,000 Air Force); est. 18,000 Gendarmerie (2019 est.) |
| **Armenia** | the Armenian Armed Forces have approximately 45,000 active troops (42,000 Army; 3,000 Air Force/Air Defense) (2019 est.) |
| **Australia** | the Australian Defense Force has approximately 60,000 total active troops (30,800 Army; 14,700 Navy; 14,300 Air Force) (2019 est.) |
| **Austria** | the Austrian Armed Forces have approximately 23,000 total active duty personnel (13,000 Land Forces; 2,500 Air Force; 7,500 support) (2019 est.) |
| **Azerbaijan** | the Azerbaijan military has approximately 67,000 total active personnel; 56,000 Army; 2,500 Navy; 8,500 Air Force) (2019 est.) |
| **Bahamas, The** | the Royal Bahamas Defense Force (RBDF) has approximately 1,300 total personnel (2019 est.) |
| **Bahrain** | size assessments for the Bahrain Defense Force vary; approximately 10,000 active personnel (7,500 Army; 1,000 Navy; 1,500 Air Force); est. 2,500 National Guard |
| | (2019 est.) |
| **Bangladesh** | estimates of the size of the Bangladesh Defense Force vary; approximately 165,000 total active personnel (135,000 Army; 16,000 Navy; 14,000 Air Force); 38,000 Border Guards (2019 est.) |
| **Barbados** | the Royal Barbados Defense Force (RBDF) has approximately 550 active personnel (450 Barbados Regiment; 100 Coast Guard) (2019 est.) |
| **Belarus** | the Belarus Armed Forces have approximately 45,000 active troops (29,000 Army, including Special Operations Force; 16,000 Air and Air Defense) (2020 est.) |
| **Belgium** | the Belgian Armed Forces have approximately 27,000 active duty personnel (10,500 Army; 1,500 Navy; 5,000 Air Force; 1,200 Medical Service; 9,000 other, including joint staff, support, and training schools) (2019) |
| **Belize** | the Belize Defense Force (BDF) has approximately 1,300 active Army personnel; 150 Belize Coast Guard (2019 est.) |
| **Benin** | the Benin Armed Forces (FAB) are comprised of approximately 7,200 active duty troops (6,500 Army; 500 Navy; 200 Air Force); est. 5,000 Republican Police (2019) |
| **Bhutan** | the Royal Bhutan Army has approximately 8,000 personnel (2019 est.) |
| **Bolivia** | size assessments for the Bolivian Armed Forces vary; approximately 39,000 total active troops (26,000 Army; 5,500 Navy; 7,500 Air Force) (2019 est.) |
| **Bosnia and Herzegovina** | the Armed Forces of Bosnia and Herzegovina have approximately 9,200 active duty personnel (2019) |
| **Botswana** | the Botswana Defense Force (BDF) has approximately 9,000 active personnel (8,500 Ground; 500 Air) (2019) |
| **Brazil** | size assessments for the Brazilian Armed Forces vary; approximately 360,000 active personnel (215,000 Army; 75,000 Navy; 70,000 Air Force) (2019 est.) |
| **Brunei** | the Royal Brunei Armed Forces is comprised of approximately 6,800 total active troops (4,500 Army; 1,200 Navy; 1,100 Air Force) (2019) |
| **Bulgaria** | the Bulgarian Armed Forces have approximately 35,000 active duty personnel (17,000 Army; 4,000 Navy; 7,000 Air Force; 7,000 Joint Service/Central Staff) (2019 est.) |
| **Burkina Faso** | the Armed Forces of Burkina Faso (FABF) have approximately 12,000 personnel (7,000 Army; 500 Air Force; 4,500 National Gendarmerie) (2019 est.) |
| **Burma** | estimates of the Burmese Defense Service (Tatmadaw) vary widely; approximately 380,000 total active troops (est. 340,000 Army; 20,000 Navy; 20,000 Air Force); est. 35,000 Peopleâ€™s Militia |
| | (2019 est.) |
| **Burundi** | the National Defense Forces (FDN) have approximately 25,000 active duty Army troops (includes small air and maritime wings) (2019 est.) |
| **Cabo Verde** | the Cabo Verdean Armed Forces (FACV) consist of approximately 1,100 Army (includes an air component of about 100 personnel) and 100 Coast Guard active duty troops (2019) |
| **Cambodia** | assessments of the size of the Royal Cambodian Armed Forces vary; approximately 115,000 total active troops (110,000 Army; 3,000 Navy; 1,000 Air Force); 10,000 Gendarmerie (2019 est.) |
| **Cameroon** | size assessments for the Cameroon Armed Forces (FAC) vary widely; approximately 40,000 active duty troops; (25,000 Army, including the Presidential Guard; 2,000 Navy; 1,000 Air Force; 12,000 Gendarmerie) (2019 est.) |
| **Canada** | the Canadian Armed (CAF) Forces have approximately 66,000 total active personnel (23,000 Army; 8,300 Navy; 12,000 Air Force; 23,000 other uniformed personnel) (2019 est.) |
| **Central African Republic** | the Central African Armed Forces (FACA) have an estimated 8,000 Army troops (including an Air Service component of about 150) and 1,500 Gendarmerie |
| | (2019 est.) |
| **Chad** | the Chadian National Army (ANT) has approximately 34,000 active personnel (29,000 Ground Forces; 300 Air Force; 4,500 General Direction of the Security Services of State Institutions); 5,000 National Gendarmerie; 3,500 National Nomadic Guard of Chad (2019 est.) |
| **Chile** | the Armed Forces of Chile have approximately 80,000 active personnel (45,000 Army; 22,000 Navy; 13,000 Air Force); approximately 45,000 Carabineros (2019 est.) |
| **China** | assessments of the size of the Peopleâ€™s Liberation Army (PLA) vary; approximately 2 million total active duty troops (approximately 1.0 million Ground; 250,000 Navy/Marines; 350,000 Air Force; 120,000 Rocket Forces; 150,000 Strategic Support Forces); 650,000 Peopleâ€™s Armed Police (2019) |
| **Colombia** | size estimates for the Military Forces of Colombia (FMC) vary; approximately 295,000 total active troops (235,000 Army; 45,000 Navy, including about 22,000 marines; 14,000 Air Force) (2019 ) |
| **Congo, Democratic Republic of the** | size estimates for the Armed Forces of the Democratic Republic of Congo (FARDC) vary widely because of inconsistent and unreliable data, as well as the ongoing integration of various non-state armed groups/militias; approximately 100,000 active troops (80,000 Army; 7,000 Navy; 2,000 Air Force; 10,000 Republican Guard) (2019 est.) |
| **Congo, Republic of the** | the Congolese Armed Forces (FAC) have an estimated 12,000 active duty troops (8,000 Army; 800 Navy; 1-1,200 Air Force; 2,000 Gendarmerie) (2019 est.) |
| **Costa Rica** | the Public Forces of Costa Rica have approximately 12,000 personnel (2019 est.) |
| **Cote d'Ivoire** | the Armed Forces of Cote dâ€™Ivoire have approximately 25,000 active troops (23,000 Army; 1,000 Navy; 1,000 Air Force) (2019 est.) |
| **Croatia** | the Armed Forces of the Republic of Croatia have approximately 15,000 active duty personnel (10,000 Army; 1,500 Navy; 1,500 Air force; 2,000 other) (2019 est.) |
| **Cuba** | the Revolutionary Armed Forces (FAR) of Cuba have approximately 50,000 active personnel (39,000 Army; 3,000 Navy; 8,000 Air Force) (2019 est.) |
| **Cyprus** | the Cypriot National Guard has approximately 13-15,000 total active duty personnel (2019 est.) |
| **Czechia** | the Czech military has approximately 25,000 active personnel (20,000 Army; 5,000 Air Force) (2019) |
| **Denmark** | the Danish military has approximately 16,000 active duty personnel (8,500 Army; 2,500 Navy; 3,000 Air Force; 2,000 joint service, other) (2019 est.) |
| **Djibouti** | the Djibouti Armed Forces (FAD) have approximately 10,500 active troops (8,000 Army; 250 Naval; 250 Air; 2,000 Gendarmerie); 150 Coast Guard (2019 est.) |
| **Dominican Republic** | the Armed Forces of the Dominican Republic have approximately 62,000 active personnel (33,000 Army; 12,000 Navy; 17,000 Air Force) (2019 est.) |
