CIA - The World Factbook --  STOCK OF DIRECT FOREIGN INVESTMENT - AT HOME

Stock of direct foreign investment - at home compares the cumulative US dollar value of all investments in the home country made directly by residents - primarily companies - of other countries as of the end of the time period indicated. Direct investment excludes investment through purchase of shares.

| Rank | Country | STOCK OF DIRECT FOREIGN INVESTMENT - AT HOME | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $3,258,000,000,000 | 31 December 2014 est. |
| 2 | Hong Kong | $1,523,000,000,000 | 31 December 2014 est. |
| 3 | United Kingdom | $1,446,000,000,000 | 31 December 2014 est. |
| 4 | Germany | $1,424,000,000,000 | 31 December 2014 est. |
| 5 | China | $1,287,000,000,000 | 31 December 2014 est. |
| 6 | Belgium | $1,196,000,000,000 | 31 December 2014 est. |
| 7 | France | $1,108,000,000,000 | 31 December 2014 est. |
| 8 | Switzerland | $1,091,000,000,000 | 31 December 2014 est. |
| 9 | Canada | $1,065,000,000,000 | 31 December 2014 est. |
| 10 | Singapore | $900,200,000,000 | 31 December 2014 est. |
| 11 | Spain | $851,200,000,000 | 31 December 2014 est. |
| 12 | Ireland | $831,500,000,000 | 31 December 2014 est. |
| 13 | Brazil | $728,500,000,000 | 31 December 2014 est. |
| 14 | Australia | $646,400,000,000 | 31 December 2014 est. |
| 15 | Netherlands | $646,400,000,000 | 31 December 2013 est. |
| 16 | Russia | $606,000,000,000 | 31 December 2014 est. |
| 17 | Italy | $552,100,000,000 | 31 December 2014 est. |
| 18 | Sweden | $509,900,000,000 | 31 December 2014 est. |
| 19 | Mexico | $389,100,000,000 | 31 December 2013 est. |
| 20 | Austria | $300,700,000,000 | 31 December 2014 est. |
| 21 | Norway | $294,200,000,000 | 31 December 2014 est. |
| 22 | Poland | $273,700,000,000 | 31 December 2014 est. |
| 23 | India | $261,700,000,000 | 31 December 2014 est. |
| 24 | Indonesia | $255,000,000,000 | 31 December 2014 est. |
| 25 | Saudi Arabia | $242,100,000,000 | 31 December 2014 est. |
| 26 | Turkey | $208,600,000,000 | 31 December 2014 est. |
| 27 | Thailand | $208,300,000,000 | 31 December 2014 est. |
| 28 | Japan | $205,500,000,000 | 31 December 2014 est. |
| 29 | Chile | $204,000,000,000 | 31 December 2014 est. |
| 30 | Korea, South | $186,600,000,000 | 31 December 2014 est. |
| 31 | South Africa | $177,500,000,000 | 31 December 2014 est. |
| 32 | Macedonia | $156,500,000,000 | 31 December 2014 est. |
| 33 | Portugal | $152,500,000,000 | 31 December 2014 est. |
| 34 | Colombia | $144,800,000,000 | 31 December 2014 est. |
| 35 | Malaysia | $144,000,000,000 | 31 December 2013 est. |
| 36 | Kazakhstan | $141,600,000,000 | 31 December 2014 est. |
| 37 | Czech Republic | $140,500,000,000 | 31 December 2014 est. |
| 38 | Finland | $138,000,000,000 | 31 December 2014 est. |
| 39 | Denmark | $136,000,000,000 | 31 December 2014 est. |
| 40 | Argentina | $116,700,000,000 | 31 December 2014 est. |
| 41 | Hungary | $115,600,000,000 | 31 December 2014 est. |
| 42 | United Arab Emirates | $114,900,000,000 | 31 December 2014 est. |
| 43 | Trinidad and Tobago | $102,000,000,000 | 31 December 2008 est. |
| 44 | Israel | $97,050,000,000 | 31 December 2014 est. |
| 45 | Vietnam | $93,610,000,000 | 31 December 2014 est. |
| 46 | Romania | $89,620,000,000 | 31 December 2014 est. |
| 47 | New Zealand | $85,640,000,000 | 31 December 2014 est. |
| 48 | Nigeria | $81,720,000,000 | 31 December 2013 est. |
| 49 | Peru | $81,630,000,000 | 31 December 2014 est. |
| 50 | Egypt | $79,190,000,000 | 31 December 2014 est. |
| 51 | Slovakia | $69,760,000,000 | 31 December 2014 est. |
| 52 | Taiwan | $66,780,000,000 | 31 December 2014 est. |
| 53 | Ukraine | $61,970,000,000 | 31 December 2014 est. |
| 54 | Azerbaijan | $57,470,000,000 | 31 December 2014 est. |
| 55 | Venezuela | $57,140,000,000 | 31 December 2014 est. |
| 56 | Bulgaria | $52,750,000,000 | 31 December 2014 est. |
| 57 | Morocco | $49,260,000,000 | 31 December 2013 est. |
| 58 | Iran | $43,500,000,000 | 31 December 2014 est. |
| 59 | Panama | $39,390,000,000 | 31 December 2014 est. |
| 60 | Croatia | $37,070,000,000 | 31 December 2014 est. |
| 61 | Philippines | $36,350,000,000 | 31 December 2014 est. |
| 62 | Tunisia | $35,470,000,000 | 31 December 2014 est. |
| 63 | Sudan | $32,430,000,000 | 31 December 2012 est. |
| 64 | Qatar | $32,040,000,000 | 31 December 2014 est. |
| 65 | Pakistan | $31,250,000,000 | 30 June 2014 est. |
| 66 | Greece | $30,710,000,000 | 31 December 2014 est. |
| 67 | Jordan | $28,650,000,000 | 31 December 2014 est. |
| 68 | Dominican Republic | $28,520,000,000 | 31 December 2014 est. |
| 69 | Algeria | $27,100,000,000 | 31 December 2014 est. |
