CIA - The World Factbook --  Telephones - mobile cellular   

Telephones - mobile cellular compares the total number of mobile cellular telephone subscribers.

| Rank | country | Telephones - mobile cellular | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,100,000,000 | 2012 |
| 2 | India | 893,862,000 | 2013 |
| 3 | United States | 310,000,000 | 2012 |
| 4 | Indonesia | 281,960,000 | 2012 |
| 5 | Russia | 261,900,000 | 2012 |
| 6 | Brazil | 248,324,000 | 2012 |
| 7 | Japan | 138,363,000 | 2011 |
| 8 | Vietnam | 134,066,000 | 2012 |
| 9 | Pakistan | 125,000,000 | 2013 |
| 10 | Nigeria | 112,780,000 | 2012 |
| 11 | Germany | 107,700,000 | 2012 |
| 12 | Philippines | 103,000,000 | 2012 |
| 13 | Mexico | 100,786,000 | 2012 |
| 14 | Italy | 97,225,000 | 2012 |
| 15 | Bangladesh | 97,180,000 | 2011 |
| 16 | Egypt | 96,800,000 | 2012 |
| 17 | Thailand | 84,075,000 | 2012 |
| 18 | United Kingdom | 82,109,000 | 2012 |
| 19 | South Africa | 68,400,000 | 2012 |
| 20 | Turkey | 67,680,000 | 2012 |
| 21 | France | 62,280,000 | 2012 |
| 22 | Ukraine | 59,344,000 | 2012 |
| 23 | Argentina | 58,600,000 | 2012 |
| 24 | Iran | 58,160,000 | 2012 |
| 25 | Korea, South | 53,625,000 | 2012 |
| 26 | Saudi Arabia | 53,000,000 | 2012 |
| 27 | Poland | 50,840,000 | 2012 |
| 28 | Spain | 50,663,000 | 2012 |
| 29 | Colombia | 49,066,000 | 2012 |
| 30 | Malaysia | 41,325,000 | 2012 |
| 31 | Morocco | 39,016,000 | 2012 |
| 32 | Algeria | 37,692,000 | 2012 |
| 33 | Kenya | 30,732,000 | 2012 |
| 34 | Venezuela | 30,520,000 | 2012 |
| 35 | Taiwan | 29,455,000 | 2012 |
| 36 | Peru | 29,400,000 | 2012 |
| 37 | Kazakhstan | 28,731,000 | 2012 |
| 38 | Sudan | 27,659,000 | 2012 |
| 39 | Tanzania | 27,220,000 | 2012 |
| 40 | Iraq | 26,760,000 | 2012 |
| 41 | Canada | 26,263,000 | 2012 |
| 42 | Ghana | 25,618,000 | 2012 |
| 43 | Australia | 24,400,000 | 2012 |
| 44 | Chile | 24,130,000 | 2012 |
| 45 | Romania | 22,700,000 | 2012 |
| 46 | Guatemala | 20,787,000 | 2012 |
