CIA - The World Factbook --  Telephones - mobile cellular   

This entry gives the total number of mobile cellular telephone subscribers.

| Rank | country | Telephones - mobile cellular | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 986,253,000 | 2011 |
| 2 | India | 893,862,000 | 2011 |
| 3 | United States | 290,300,000 | 2011 |
| 4 | Indonesia | 249,800,000 | 2011 |
| 5 | Brazil | 244,358,000 | 2011 |
| 6 | Russia | 236,700,000 | 2011 |
| 7 | Japan | 132,760,000 | 2011 |
| 8 | Vietnam | 127,318,000 | 2011 |
| 9 | Pakistan | 111,000,000 | 2011 |
| 10 | Germany | 108,700,000 | 2011 |
| 11 | Italy | 96,005,000 | 2011 |
| 12 | Nigeria | 95,167,000 | 2011 |
| 13 | Mexico | 94,565,000 | 2011 |
| 14 | Philippines | 94,190,000 | 2011 |
| 15 | Bangladesh | 84,369,000 | 2011 |
| 16 | Egypt | 83,425,000 | 2011 |
| 17 | United Kingdom | 81,612,000 | 2012 |
| 18 | Thailand | 77,605,000 | 2011 |
| 19 | Turkey | 65,322,000 | 2011 |
| 20 | South Africa | 64,000,000 | 2011 |
| 21 | France | 59,840,000 | 2011 |
| 22 | Iran | 56,043,000 | 2011 |
| 23 | Ukraine | 55,576,000 | 2011 |
| 24 | Argentina | 55,000,000 | 2011 |
| 25 | Saudi Arabia | 53,706,000 | 2011 |
| 26 | Spain | 52,598,000 | 2011 |
| 27 | Korea, South | 52,507,000 | 2011 |
| 28 | Poland | 50,160,000 | 2011 |
| 29 | Colombia | 46,200,000 | 2011 |
| 30 | Malaysia | 36,661,000 | 2012 |
| 31 | Morocco | 36,554,000 | 2011 |
| 32 | Algeria | 35,616,000 | 2011 |
| 33 | Peru | 32,461,000 | 2011 |
| 34 | Taiwan | 28,865,000 | 2011 |
| 35 | Venezuela | 28,782,000 | 2011 |
| 36 | Kenya | 28,080,000 | 2011 |
| 37 | Canada | 27,387,000 | 2011 |
| 38 | Iraq | 27,000,000 | 2012 |
| 39 | Tanzania | 25,666,000 | 2011 |
| 40 | Uzbekistan | 25,442,000 | 2011 |
| 41 | Kazakhstan | 25,240,000 | 2011 |
| 42 | Sudan | 25,056,000 | 2011 |
| 43 | Australia | 24,490,000 | 2011 |
| 44 | Romania | 23,400,000 | 2011 |
| 45 | Chile | 22,400,000 | 2011 |
| 46 | Ghana | 21,166,000 | 2011 |
| 47 | Guatemala | 20,716,000 | 2011 |
| 48 | Netherlands | 19,835,000 | 2011 |
| 49 | Sri Lanka | 18,319,000 | 2011 |
| 50 | Afghanistan | 17,558,000 | 2011 |
| 51 | Cote d'Ivoire | 17,344,000 | 2011 |
| 52 | Uganda | 16,697,000 | 2011 |
| 53 | Congo, Democratic Republic of the | 15,645,000 | 2011 |
| 54 | Ecuador | 15,333,000 | 2011 |
| 55 | Hong Kong | 15,293,000 | 2011 |
| 56 | Ethiopia | 14,127,000 | 2011 |
| 57 | Cambodia | 13,757,000 | 2011 |
| 58 | Nepal | 13,355,000 | 2011 |
| 59 | Syria | 13,117,000 | 2011 |
| 60 | Austria | 13,023,000 | 2011 |
| 61 | Czech Republic | 13,000,000 | 2011 |
| 62 | Belgium | 12,541,000 | 2011 |
| 63 | Tunisia | 12,388,000 | 2011 |
| 64 | Portugal | 12,335,000 | 2011 |
| 65 | Greece | 12,128,000 | 2011 |
| 66 | United Arab Emirates | 11,727,000 | 2011 |
| 67 | Hungary | 11,690,000 | 2011 |
| 68 | Yemen | 11,668,000 | 2011 |
| 69 | Sweden | 11,194,000 | 2011 |
| 70 | Mali | 10,822,000 | 2011 |
| 71 | Belarus | 10,695,000 | 2011 |
| 72 | Cameroon | 10,486,000 | 2011 |
| 73 | Bulgaria | 10,475,000 | 2011 |
| 74 | Serbia | 10,182,000 | 2011 |
| 75 | Switzerland | 10,122,000 | 2011 |
| 76 | Azerbaijan | 10,120,000 | 2011 |
| 77 | Libya | 10,000,000 | 2011 |
| 78 | Angola | 9,491,000 | 2011 |
| 79 | Senegal | 9,353,000 | 2011 |
| 80 | Israel | 9,200,000 | 2011 |
| 81 | Zimbabwe | 9,200,000 | 2011 |
| 82 | Finland | 8,940,000 | 2009 |
| 83 | Dominican Republic | 8,770,000 | 2011 |
| 84 | Madagascar | 8,665,000 | 2011 |
| 85 | Bolivia | 8,355,000 | 2011 |
| 86 | El Salvador | 8,316,000 | 2011 |
| 87 | Zambia | 8,165,000 | 2011 |
| 88 | Honduras | 8,062,000 | 2011 |
| 89 | Mozambique | 7,855,000 | 2011 |
| 90 | Singapore | 7,794,000 | 2011 |
| 91 | Benin | 7,765,000 | 2011 |
| 92 | Burkina Faso | 7,682,000 | 2011 |
| 93 | Jordan | 7,483,000 | 2011 |
| 94 | Denmark | 7,159,000 | 2011 |
| 95 | Panama | 6,735,000 | 2011 |
| 96 | Paraguay | 6,529,000 | 2011 |
| 97 | Tajikistan | 6,324,000 | 2011 |
| 98 | Kyrgyzstan | 6,277,000 | 2011 |
| 99 | Slovakia | 5,983,000 | 2011 |
| 100 | Norway | 5,700,000 | 2011 |
| 101 | Laos | 5,481,000 | 2011 |
| 102 | Croatia | 5,115,000 | 2011 |
| 103 | Lithuania | 5,004,000 | 2011 |
| 104 | Kuwait | 4,935,000 | 2011 |
| 105 | Ireland | 4,906,000 | 2011 |
| 106 | Nicaragua | 4,822,000 | 2011 |
| 107 | New Zealand | 4,820,000 | 2011 |
| 108 | Oman | 4,809,000 | 2011 |
| 109 | Uruguay | 4,757,000 | 2011 |
| 110 | Niger | 4,743,000 | 2011 |
| 111 | Guinea | 4,500,000 | 2011 |
| 112 | Rwanda | 4,446,000 | 2011 |
| 113 | Georgia | 4,430,000 | 2011 |
| 114 | Costa Rica | 4,358,000 | 2011 |
| 115 | Haiti | 4,200,000 | 2011 |
| 116 | Malawi | 3,952,000 | 2011 |
| 117 | Congo, Republic of the | 3,885,000 | 2011 |
| 118 | Moldova | 3,715,000 | 2011 |
| 119 | Chad | 3,666,000 | 2011 |
| 120 | Turkmenistan | 3,511,000 | 2011 |
| 121 | Lebanon | 3,350,000 | 2011 |
| 122 | Mauritania | 3,315,000 | 2011 |
| 123 | Armenia | 3,211,000 | 2011 |
| 124 | Bosnia and Herzegovina | 3,171,000 | 2011 |
| 125 | Puerto Rico | 3,108,000 | 2011 |
| 126 | Togo | 3,105,000 | 2011 |
| 127 | Albania | 3,100,000 | 2011 |
| 128 | Jamaica | 2,975,000 | 2011 |
| 129 | Mongolia | 2,942,000 | 2011 |
| 130 | Botswana | 2,900,000 | 2011 |
| 131 | West Bank | 2,405,000 | 2010 |
| 132 | Gaza Strip | 2,405,000 | 2010 |
| 133 | Papua New Guinea | 2,400,000 | 2011 |
| 134 | Latvia | 2,309,000 | 2011 |
| 135 | Qatar | 2,302,000 | 2011 |
| 136 | Namibia | 2,240,000 | 2011 |
| 137 | Macedonia | 2,213,000 | 2011 |
| 138 | Slovenia | 2,168,000 | 2011 |
| 139 | Sierra Leone | 2,137,000 | 2011 |
| 140 | Liberia | 2,030,000 | 2011 |
| 141 | Burundi | 1,915,000 | 2011 |
| 142 | Estonia | 1,863,000 | 2011 |
| 143 | Trinidad and Tobago | 1,825,000 | 2011 |
| 144 | Central African Republic | 1,824,000 | 2011 |
| 145 | Gabon | 1,800,000 | 2011 |
| 146 | Bahrain | 1,694,000 | 2011 |
| 147 | Gambia, The | 1,400,000 | 2011 |
| 148 | Macau | 1,353,000 | 2011 |
| 149 | Cuba | 1,315,000 | 2011 |
| 150 | Mauritius | 1,294,000 | 2011 |
| 151 | Burma | 1,244,000 | 2011 |
| 152 | Lesotho | 1,232,000 | 2011 |
| 153 | Montenegro | 1,170,000 | 2010 |
| 154 | Cyprus | 1,090,000 | 2011 |
