CIA - The World Factbook --  Telephones - mobile cellular   

This entry gives the total number of mobile cellular telephone subscribers.

| Rank | country | Telephones - mobile cellular | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 634,000,000 | 2008 |
| 2 | India | 427,300,000 | 2009 |
| 3 | United States | 270,000,000 | 2008 |
| 4 | Russia | 187,500,000 | 2008 |
| 5 | Brazil | 150,641,000 | 2008 |
| 6 | Indonesia | 140,578,000 | 2008 |
| 7 | Japan | 110,395,000 | 2008 |
| 8 | Germany | 107,245,000 | 2008 |
| 9 | Pakistan | 91,440,000 | 2009 |
| 10 | Italy | 88,580,000 | 2008 |
| 11 | United Kingdom | 75,565,000 | 2008 |
| 12 | Mexico | 75,304,000 | 2008 |
| 13 | Vietnam | 70,000,000 | 2008 |
| 14 | Philippines | 68,102,000 | 2008 |
| 15 | Turkey | 65,824,000 | 2008 |
| 16 | Nigeria | 62,988,000 | 2008 |
| 17 | Thailand | 62,000,000 | 2008 |
| 18 | France | 59,259,000 | 2008 |
| 19 | Ukraine | 55,695,000 | 2008 |
| 20 | Spain | 49,682,000 | 2008 |
| 21 | Argentina | 46,509,000 | 2008 |
| 22 | Bangladesh | 45,750,000 | 2009 |
| 23 | Korea, South | 45,607,000 | 2008 |
| 24 | South Africa | 45,000,000 | 2008 |
| 25 | Poland | 44,004,000 | 2008 |
| 26 | Iran | 43,000,000 | 2008 |
| 27 | Colombia | 41,365,000 | 2008 |
| 28 | Egypt | 41,272,000 | 2008 |
| 29 | Saudi Arabia | 36,000,000 | 2008 |
| 30 | Algeria | 31,871,000 | 2008 |
| 31 | Malaysia | 27,125,000 | 2008 |
| 32 | Venezuela | 27,084,000 | 2008 |
| 33 | Taiwan | 25,412,000 | 2008 |
| 34 | Romania | 24,467,000 | 2008 |
| 35 | Morocco | 22,816,000 | 2008 |
| 36 | Australia | 22,120,000 | 2008 |
| 37 | Canada | 21,455,000 | 2008 |
| 38 | Peru | 20,952,000 | 2008 |
| 39 | Netherlands | 19,927,000 | 2008 |
| 40 | Iraq | 17,529,000 | 2008 |
