Field Listing :: Crude oil - exports :: The World Factbook

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Country | Crude oil - exports |
| --- | --- |
| **Afghanistan** | 0 bbl/day (2015 est.) |
| **Albania** | 17,290 bbl/day (2015 est.) |
| **Algeria** | 756,400 bbl/day (2015 est.) |
| **American Samoa** | 0 bbl/day (2015 est.) |
| **Andorra** | 0 bbl/day (2016) (2016) |
| **Angola** | 1.782 million bbl/day (2015 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2015 est.) |
| **Argentina** | 36,630 bbl/day (2015 est.) |
| **Armenia** | 0 bbl/day (2015 est.) |
| **Aruba** | 0 bbl/day (2015 est.) |
| **Australia** | 192,500 bbl/day (2017 est.) |
| **Austria** | 0 bbl/day (2017 est.) |
| **Azerbaijan** | 718,800 bbl/day (2015 est.) |
| **Bahamas, The** | 0 bbl/day (2015 est.) |
| **Bahrain** | 0 bbl/day (2015 est.) |
| **Bangladesh** | 0 bbl/day (2015 est.) |
| **Barbados** | 674 bbl/day (2015 est.) |
| **Belarus** | 31,730 bbl/day (2015 est.) |
| **Belgium** | 0 bbl/day (2017 est.) |
| **Belize** | 1,220 bbl/day (2015 est.) |
| **Benin** | 0 bbl/day (2015 est.) |
| **Bermuda** | 0 bbl/day (2015 est.) |
| **Bhutan** | 0 bbl/day (2015 est.) |
| **Bolivia** | 1,274 bbl/day (2015 est.) |
| **Bosnia and Herzegovina** | 0 bbl/day (2015 est.) |
| **Botswana** | 0 bbl/day (2015 est.) |
| **Brazil** | 736,600 bbl/day (2015 est.) |
| **British Virgin Islands** | 0 bbl/day (2015 est.) |
| **Brunei** | 127,400 bbl/day (2015 est.) |
| **Bulgaria** | 0 bbl/day (2015 est.) |
| **Burkina Faso** | 0 bbl/day (2015 est.) |
| **Burma** | 1,824 bbl/day (2015 est.) |
| **Burundi** | 0 bbl/day (2015 est.) |
| **Cabo Verde** | 0 bbl/day (2015 est.) |
| **Cambodia** | 0 bbl/day (2015 est.) |
| **Cameroon** | 96,370 bbl/day (2015 est.) |
| **Canada** | 2.818 million bbl/day (2017 est.) |
| **Cayman Islands** | 0 bbl/day (2015 est.) |
| **Central African Republic** | 0 bbl/day (2015 est.) |
| **Chad** | 70,440 bbl/day (2015 est.) |
| **Chile** | 0 bbl/day (2017 est.) |
| **China** | 57,310 bbl/day (2015 est.) |
| **Colombia** | 726,700 bbl/day (2015 est.) |
| **Comoros** | 0 bbl/day (2015 est.) |
| **Congo, Democratic Republic of the** | 20,000 bbl/day (2015 est.) |
| **Congo, Republic of the** | 254,100 bbl/day (2015 est.) |
| **Cook Islands** | 0 bbl/day (2015 est.) |
| **Costa Rica** | 0 bbl/day (2015 est.) |
| **Cote d'Ivoire** | 26,700 bbl/day (2015 est.) |
| **Croatia** | 0 bbl/day (2015 est.) |
| **Cuba** | 0 bbl/day (2015 est.) |
| **Curacao** | 0 bbl/day (2015 est.) |
| **Cyprus** | 0 bbl/day (2015 est.) |
| **Czechia** | 446 bbl/day (2017 est.) |
| **Denmark** | 82,980 bbl/day (2017 est.) |
| **Djibouti** | 0 bbl/day (2015 est.) |
| **Dominica** | 0 bbl/day (2015 est.) |
| **Dominican Republic** | 0 bbl/day (2015 est.) |
| **Ecuador** | 383,500 bbl/day (2017 est.) |
| **Egypt** | 246,500 bbl/day (2017 est.) |
| **El Salvador** | 0 bbl/day (2015 est.) |
| **Equatorial Guinea** | 308,700 bbl/day (2017 est.) |
| **Eritrea** | 0 bbl/day (2015 est.) |
| **Estonia** | 0 bbl/day (2015 est.) |
| **Eswatini** | 0 bbl/day (2015 est.) |
| **Ethiopia** | 0 bbl/day (2015 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 bbl/day (2015 est.) |
| **Faroe Islands** | 0 bbl/day (2015 est.) |
| **Fiji** | 0 bbl/day (2015 est.) |
| **Finland** | 0 bbl/day (2015 est.) |
| **France** | 0 bbl/day (2015 est.) |
| **French Polynesia** | 0 bbl/day (2015 est.) |
| **Gabon** | 214,200 bbl/day (2017 est.) |
| **Gambia, The** | 0 bbl/day (2015 est.) |
| **Georgia** | 3,006 bbl/day (2017 est.) |
| **Germany** | 6,569 bbl/day (2017 est.) |
| **Ghana** | 104,000 bbl/day (2017 est.) |
| **Gibraltar** | 0 bbl/day (2015 est.) |
| **Greece** | 3,229 bbl/day (2017 est.) |
| **Greenland** | 0 bbl/day (2015 est.) |
