FIELD LISTING :: CRUDE OIL - EXPORTS

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Country | CRUDE OIL - EXPORTS(BBL/DAY) |
| --- | --- |
| **Afghanistan** | 0 bbl/day (2013 est.) |
| **Albania** | 23,320 bbl/day (2014 est.) |
| **Algeria** | 1.146 million bbl/day (2013 est.) |
| **American Samoa** | 0 bbl/day (2013 est.) |
| **Angola** | 1.745 million bbl/day (2013 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2013 est.) |
| **Argentina** | 37,690 bbl/day (2013 est.) |
| **Armenia** | 0 bbl/day (2013 est.) |
| **Aruba** | 0 bbl/day (2013 est.) |
| **Australia** | 248,400 bbl/day (2015 est.) |
| **Austria** | 0 bbl/day (2015 est.) |
| **Azerbaijan** | 744,400 bbl/day (2013 est.) |
| **Bahamas, The** | 0 bbl/day (2013 est.) |
| **Bahrain** | 0 bbl/day (2013 est.) |
| **Bangladesh** | 313 bbl/day (2013 est.) |
| **Barbados** | 764.5 bbl/day (2013 est.) |
| **Belarus** | 31,810 bbl/day (2013 est.) |
| **Belgium** | 73,090 bbl/day (2015 est.) |
| **Belize** | 3,000 bbl/day (2013 est.) |
| **Benin** | 0 bbl/day (2013 est.) |
| **Bermuda** | 0 bbl/day (2013 est.) |
| **Bhutan** | 0 bbl/day (2013 est.) |
| **Bolivia** | 0 bbl/day (2013 est.) |
| **Bosnia and Herzegovina** | 0 bbl/day (2013 est.) |
| **Botswana** | 0 bbl/day (2013 est.) |
| **Brazil** | 397,100 bbl/day (2013 est.) |
| **British Virgin Islands** | 0 bbl/day (2013 est.) |
| **Brunei** | 117,600 bbl/day (2014 est.) |
| **Bulgaria** | 0 bbl/day (2013 est.) |
| **Burkina Faso** | 0 bbl/day (2013 est.) |
| **Burma** | 2,775 bbl/day (2013 est.) |
| **Burundi** | 0 bbl/day (2013 est.) |
| **Cabo Verde** | 0 bbl/day (2013 est.) |
| **Cambodia** | 0 bbl/day (2013 est.) |
| **Cameroon** | 50,830 bbl/day (2013 est.) |
| **Canada** | 3.21 million bbl/day (2015 est.) |
| **Cayman Islands** | 0 bbl/day (2013 est.) |
| **Central African Republic** | 0 bbl/day (2013 est.) |
| **Chad** | 105,000 bbl/day (2013 est.) |
| **Chile** | 0 bbl/day (2015 est.) |
| **China** | 12,000 bbl/day (2014 est.) |
| **Colombia** | 711,900 bbl/day (2013 est.) |
| **Comoros** | 0 bbl/day (2013 est.) |
| **Congo, Democratic Republic of the** | 20,000 bbl/day (2013 est.) |
| **Congo, Republic of the** | 252,300 bbl/day (2013 est.) |
| **Cook Islands** | 0 bbl/day (2013 est.) |
| **Costa Rica** | 1,300 bbl/day (2013 est.) |
| **Cote d'Ivoire** | 35,150 bbl/day (2013 est.) |
| **Croatia** | 0 bbl/day (2014 est.) |
| **Cuba** | 74,000 bbl/day (2013 est.) |
| **Cyprus** | 0 bbl/day (2013 est.) |
| **Czechia** | 520.1 bbl/day (2015 est.) |
| **Denmark** | 98,430 bbl/day (2015 est.) |
| **Djibouti** | 0 bbl/day (2013 est.) |
| **Dominica** | 0 bbl/day (2013 est.) |
| **Dominican Republic** | 0 bbl/day (2014 est.) |
| **Ecuador** | 378,000 bbl/day (2013 est.) |
| **Egypt** | 193,400 bbl/day (2013 est.) |
| **El Salvador** | 220 bbl/day (2013 est.) |
| **Equatorial Guinea** | 290,100 bbl/day (2013 est.) |
| **Eritrea** | 0 bbl/day (2013 est.) |
| **Estonia** | 15,190 bbl/day (2015 est.) |
| **Ethiopia** | 0 bbl/day (2013 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 bbl/day (2013 est.) |
| **Faroe Islands** | 0 bbl/day (2013 est.) |
| **Fiji** | 0 bbl/day (2013 est.) |
| **Finland** | 0 bbl/day (2015 est.) |
| **France** | 21,960 bbl/day (2015 est.) |
| **French Polynesia** | 0 bbl/day (2013 est.) |
| **Gabon** | 200,000 bbl/day (2013 est.) |
| **Gambia, The** | 0 bbl/day (2013 est.) |
| **Georgia** | 1,120 bbl/day (2013 est.) |
| **Germany** | 6,569 bbl/day (2015 est.) |
| **Ghana** | 98,700 bbl/day (2013 est.) |
| **Gibraltar** | 0 bbl/day (2013 est.) |
| **Greece** | 1,667 bbl/day (2015 est.) |
| **Greenland** | 0 bbl/day (2013 est.) |
| **Grenada** | 0 bbl/day (2013 est.) |
| **Guam** | 0 bbl/day (2013 est.) |
| **Guatemala** | 8,711 bbl/day (2015 est.) |
| **Guinea-Bissau** | 0 bbl/day (2013 est.) |
| **Guinea** | 0 bbl/day (2013 est.) |
| **Guyana** | 0 bbl/day (2013 est.) |
| **Haiti** | 0 bbl/day (2013 est.) |
| **Honduras** | 0 bbl/day (2013 est.) |
| **Hong Kong** | 0 bbl/day (2013 est.) |
| **Hungary** | 1,740 bbl/day (2015 est.) |
| **Iceland** | 0 bbl/day (2015 est.) |
| **India** | 0 bbl/day (2013 est.) |
| **Indonesia** | 310,100 bbl/day (2013 est.) |
| **Iran** | 1.042 million bbl/day (2013 est.) |
| **Iraq** | 2.462 million bbl/day (2013 est.) |
| **Ireland** | 0 bbl/day (2013 est.) |
