Field Listing :: Terrorist groups - home based :: The World Factbook - Central Intelligence Agency

This entry provides information on the US State Department's designated Foreign Terrorist Organizations headquartered in a specific country, which may or may not be a group's country of origin. Details on each organization's aim(s) and area(s) of operation are provided.

| Country | Terrorist groups - home based |
| --- | --- |
| **Afghanistan** | al-Qa'ida (AQ): aim(s): eject Western influence from the Islamic world, unite the worldwide Muslim community, overthrow governments perceived as un-Islamic, and ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| | *area(s) of operation:* maintains established networks and a longtime operational presence in Afghanistan, especially in the south, northwest, and northeast near the Afghanistan-Pakistan border; continues to view Afghanistan as a safe haven for its leadership (2019) |
| | Islamic Jihad Union (IJU): aim(s): drive NATO forces out of Afghanistan and destabilize the country; overthrow the Government of Uzbekistan |
| | *area(s) of operation:* conducts attacks in collaboration with other extremist groups, including the Taliban and al-Qa'ida, against NATO and Afghan forces across the country, especially in the northern and eastern Paktika, Paktia, and Nangarhar provinces |
| | *note:*Â  IJU is a splinter movement of the Islamic Movement of Uzbekistan (IMU); IJU emerged in the early 2000s after internal splits over goals; IMU is focused on Central Asia, but the IJU sought a more global focus Â  (2019) |
| | *Islamic Movement of Uzbekistan (IMU):* |
| | *aim(s):* enhance its networks and secure territory in Afghanistan to establish a secure presence from which it can pursue its historic goal of establishing an Islamic state in the Fergana Valley, a fertile valley spread across eastern Uzbekistan, southern Kyrgyzstan, and northern Tajikistan |
| | *area(s) of operation:* operates mostly in the north along the Afghanistan-Pakistan border, with its heaviest presence in Badakhshan Province, where IMU has operated paramilitary training camps and bases |
| | *note:* the IMU is fractured and mostly supports ISIS-K although some members have continued working with the Taliban and al-Qa'ida (2019) |
| | *Islamic State of Iraq and ash-Sham-Khorasan (ISIS-K):* |
| | *aim(s):* establish an Islamic caliphate in Afghanistan, Pakistan, and parts of Central Asia; counter Westerners and Shia Muslims |
| | *area(s) of operation:* strongholds in Nangarhar and Kunar provinces near the Afghanistan-Pakistan border and operating in Laghman, Jowzjan provinces with pockets of support throughout Afghanistan |
| | *note:* recruits from among the local population, Central Asian extremists in Afghanistan, and other militant groups, such as Tehrik-e Taliban Pakistan, the Afghan Taliban, and the Islamic Movement of Uzbekistan; ISIS-K and Afghan Taliban forces have fought sometimes over control of territory or because of political or differences (2019) |
| | *Tehrik-e-Taliban Pakistan (TTP):* |
| | *aim(s):* drive foreign troops from Afghanistan; remove Pakistani forces from Pakistan's Federally Administered Tribal Areas (FATA) and, ultimately, overthrow the Pakistan Government to implement TTP's strict interpretation of sharia |
| | *area(s) of operation:* headquartered in several eastern Afghanistan provinces near the Afghanistan-Pakistan border; operates primarily along the northeastern Afghanistan-Pakistan border, especially in Kunar and Paktika provinces, where TTP has established sanctuaries (2019) |
| **Algeria** | al-Qa'ida in the Islamic Maghreb (AQIM): aim: overthrow various African regimes and replace them with one ruled by sharia; establish a regional Islamic caliphate across all of North and West Africa |
| | *area(s) of operation:* based in southern and eastern Algeria (including isolated parts of the Kabylie region); also operates in Burkina Faso, Cote Dâ€™Ivoire, Libya, northern Mali, Niger, and Tunisia |
| | *note:* al-Qa'ida's affiliate in North Africa; Tunisia-based branch known as the Uqbah bin Nafi Battalion; Mali-based cadre merged with allies to form Jamaat Nusrat al-Islam wal-Muslimin (JNIM) in March 2017, which pledged allegiance to AQIM and al-Qa'ida (2019) |
| | Islamic State of Iraq and ash-Sham (ISIS)-Algeria: aim(s): replace the Algerian Government with an Islamic state and implement ISIS's strict interpretation of sharia;Â  attack Algerian security services, local government targets, and Western interests |
| | *area(s) of operation:* maintains an operational and recruitment presence mostly in the northeast |
| | *note:* formerly known as Jund al-Khilafa - Algeria (JAK-A) (2019) |
| **Bangladesh** | Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B): aim(s): install an Islamic state in Bangladesh |
| | *area(s) of operation:* headquartered in Bangladesh and mostly active in the southeast; maintains a network of madrassas in Bangladesh; has links with al-Qa'ida and Pakistan-based terror groups advocating similar objectives, including Harakat-ul Jihad Islami (HUJI) and Lashkar e-Tayibba (LeT) (2019) |
| | Islamic State of Iraq and ash-Sham (ISIS) networks in Bangladesh: aim(s): replace the Bangladesh Government with an Islamic state and implement ISIS's strict interpretation of Sharia; ISIS operates in Bangladesh under the name Islamic State in Bangladesh (ISB) |
| | *area(s) of operation:* operates primarily in Dhaka |
| | *note:* targets foreigners, foreign aid workers, university professors, students, and secular bloggers for assassination; core ISIS refers to its Bangladesh branch as Bengal (2019) |
| **Burkina Faso** | *Ansarul Islam:* aim(s): to end government control in parts of the north of the country and enforce sharia in the area of the ancient Fulani Empire of Djeelgodji |
| | *area(s) of operation:* targets Burkinabe security forces and civilians primarily in the country's northern Sahel Region (along the border with Mali) (2019) |
| | Islamic State of Iraq and ash-sham networks in the Greater Sahara (ISGS): aim(s): replace regional governments with an Islamic state |
| | *area(s) of operation:* mostly concentrated in the Mali-Burkina Faso-Niger tri-border region; targets primarily security forces |
| | (2019) |
| **Colombia** | *National Liberation Army (Ejercito de Liberacion Nacional, ELN):* |
| | *aim(s):* Marxist-Leninist group that seeks to defend Colombians whom they believed to be victims of social, political, and economic injustices perpetrated by the Colombian government |
| | *area(s) of operation:* the nation's largest remaining insurgent group operates mainly in the rural and mountainous areas of northern, northeastern, and southwestern Colombia as well as border regions with Venezuela |
| | *note:* the group has a long history of engaging in narcotics production and trafficking, extortion of foreign and local companies, and kidnappings for ransom to fund operations; historically focused on attacking economic infrastructure, in particular oil and gas pipelines and electricity pylons (2019) |
| | *Revolutionary Armed Forces of Colombia (Fuerzas Armadas Revolucionarias de Colombia, FARC):* |
| | *aim(s):* signed a peace accord with the Colombian Government in 2016 (approved by the Colombian Congress on 30 November 2016) and entered the political arena in September 2017 as the People's Alternative Revolutionary Force (also known as FARC) in order to change Colombia's economic model, push an agenda focused on social justice and development of rural areas; historically, the FARC's aim has been to install a Marxist-Leninist regime in Colombia through a violent revolution |
| | *area(s) of operation:* NA (2018) |
| **Egypt** | Harakat Sawaâ€™d Misr (HASM): aim(s): overthrow the Egyptian Government |
| | *area(s) of operation:* Cairo, Nile Delta, Western Desert (2018) |
| | Islamic State of Iraq and ash-Sham (ISIS)-Sinai Province: aim(s): spread the ISIS caliphate by eliminating the Egyptian Government, destroying Israel, and establishing an Islamic emirate in the Sinai |
| | *area(s) of operation:* operations are based out of the Sinai Peninsula, but its reach extends to Cairo, the Egyptian Nile Valley, and Gaza; operations mainly target Egyptian security forces, but also include attacks on civilians, as well as kidnappings |
| | *note:* formerly known as Ansar Bayt al-Maqdis; core ISIS refers to Egypt as its Wilayat Sinai (2018) |
| | Liwa al-Thawra: aim(s): overthrow the Egyptian Government |
| | *area(s) of operation:* Cairo, Monofeya, and Qalyubia governorates (2019) |
| **Ethiopia** | al-Shabaab: aim(s): punish Ethiopia for participating in the African Union Mission in Somalia; compel Ethiopia to withdraw troops from Somalia |
| | *area(s) of operation:* aspires to conduct attacks in Addis Ababa; no permanent presence (2018) |
| **Gaza Strip** | Army of Islam (AOI): aim(s): stage attacks against Israel and Egypt from the Gaza Strip and, ultimately, establish an Islamic emirate in the region |
| | *area(s) of operation:* headquartered in Gaza; heaviest presence and operational activity is in the Gaza Strip |
| | *note:* operatives have a history of launching low-impact rockets into Israeli and Egyptian territory; the Army of Islam (Jaish al-Islam, JAI) in Syria is unrelated to AOI (2018) |
| | *HAMAS:* aim(s): maintain control of the Gaza Strip to facilitate Palestinian nationalist aims |
| | *area(s) of operation:* headquartered in Gaza (2018) |
| | Mujahidin Shura Council in the Environs of Jerusalem (MSC): aim(s): bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, destroy the state of Israel |
| | *area(s) of operation:* headquartered in Gaza, although present in Egypt, Libya, Syria, and Israel (2018) |
| | Palestine Islamic Jihad (PIJ): aim(s): enhance its staging capabilities in the Gaza Strip to launch attacks against Israel |
| | *area(s) of operation:* stages rocket attacks against civilians and military personnel primarily in southern Israel (2018) |
| | Palestine Liberation Front (PLF): aim(s): bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, destroy the state of Israel in order to establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| | *area(s) of operation:* based in Gaza; maintains a recruitment and paramilitary training presence in most of the refugee camps across the Gaza Strip (2018) |
| | *PFLP-General Command (PFLP-GC):* |
| | *aim(s):* bolster its staging capabilities to prepare fighters for deployment to Syria and to launch occasional attacks inside Israel; ultimately, seeks to establish a Palestinian state |
| | *area(s) of operation:* headquartered in Gaza; as a longtime supporter of the Syrian Government, the group trains and deploys fighters to Syria to fight on behalf of President Bashar al-ASAD; stages occasional small-scale attacks inside Israel (2018) |
| | Popular Front for the Liberation of Palestine (PFLP): aim(s): destroy the state of Israel and, ultimately, establish a secular, Marxist Palestinian state |
